ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.apache.catalina.AccessLog;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Authenticator;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.CatalinaFactory;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.Cluster;11.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Contained;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Container;43.0;47.5;1.0277777777777777;2.916666666666667;0;0
org.apache.catalina.ContainerEvent;8.0;47.5;1.3333333333333333;2.916666666666667;0;0
org.apache.catalina.ContainerListener;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.ContainerServlet;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Context;145.0;47.5;1.0071428571428571;2.916666666666667;0;0
org.apache.catalina.Engine;6.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Executor;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Globals;39.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Group;11.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Host;20.0;47.5;1.0588235294117647;2.916666666666667;0;0
org.apache.catalina.InstanceEvent;32.0;47.5;1.1666666666666667;2.916666666666667;0;0
org.apache.catalina.InstanceListener;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Lifecycle;19.0;47.5;1.1428571428571428;2.916666666666667;0;0
org.apache.catalina.LifecycleEvent;8.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.LifecycleException;9.0;47.5;1.25;2.916666666666667;0;0
org.apache.catalina.LifecycleListener;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Loader;14.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Manager;35.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Pipeline;9.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Realm;13.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Role;5.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Server;14.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Service;14.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Session;36.0;47.5;1.032258064516129;2.916666666666667;0;0
org.apache.catalina.SessionEvent;8.0;47.5;1.3333333333333333;2.916666666666667;0;0
org.apache.catalina.SessionListener;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Store;11.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.User;17.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.UserDatabase;16.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Valve;7.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.Wrapper;41.0;47.5;1.0263157894736843;2.916666666666667;0;0
org.apache.catalina.ant.AbstractCatalinaTask;17.0;47.5;1.1;2.916666666666667;0;0
org.apache.catalina.ant.BaseRedirectorHelperTask;31.0;47.5;1.0315789470547123;2.916666666666667;0;0
org.apache.catalina.ant.DeployTask;20.0;47.5;1.0694444440305233;2.916666666666667;0;0
org.apache.catalina.ant.JKStatusUpdateTask;44.0;47.5;1.0280612241476774;2.916666666666667;0;0
org.apache.catalina.ant.JMXGetTask;8.0;47.5;1.25;2.916666666666667;0;0
org.apache.catalina.ant.JMXQueryTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.JMXSetTask;11.0;47.5;1.1666666666666667;2.916666666666667;0;0
org.apache.catalina.ant.ListTask;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.ant.ReloadTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.ResourcesTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.RolesTask;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.ant.ServerinfoTask;2.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.ant.SessionsTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.StartTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.StopTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.UndeployTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.ValidatorTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.ant.jmx.Arg;8.0;47.5;1.25;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorCondition;47.0;47.5;1.032258064516129;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorCreateTask;15.0;47.5;1.1111111111111112;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorEqualsCondition;33.0;47.5;1.0476190476190477;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorGetTask;8.0;47.5;1.25;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorInvokeTask;12.0;47.5;1.1428571428571428;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorQueryTask;9.0;47.5;1.2;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorSetTask;18.0;47.5;1.0909090909090908;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorTask;60.0;47.5;1.021520803432639;2.916666666666667;0;0
org.apache.catalina.ant.jmx.JMXAccessorUnregisterTask;5.0;47.5;1.5;2.916666666666667;0;0
org.apache.catalina.authenticator.AuthenticatorBase;47.0;47.5;1.0378947368264198;2.916666666666667;0;0
org.apache.catalina.authenticator.BasicAuthenticator;5.0;47.5;2.0;2.916666666666667;0;0
org.apache.catalina.authenticator.Constants;20.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.authenticator.DigestAuthenticator;14.0;47.5;1.0571428558656148;2.916666666666667;0;0
org.apache.catalina.authenticator.FormAuthenticator;14.0;47.5;1.1111111111111112;2.916666666666667;0;0
org.apache.catalina.authenticator.NonLoginAuthenticator;4.0;47.5;2.0;2.916666666666667;0;0
org.apache.catalina.authenticator.SSLAuthenticator;4.0;47.5;2.0;2.916666666666667;0;0
org.apache.catalina.authenticator.SavedRequest;30.0;47.5;1.005847952867809;2.916666666666667;0;0
org.apache.catalina.authenticator.SingleSignOn;22.0;47.5;1.0714285714285714;2.916666666666667;0;0
org.apache.catalina.authenticator.SingleSignOnEntry;17.0;47.5;1.125;2.916666666666667;0;0
org.apache.catalina.comet.CometEvent;6.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.comet.CometFilter;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.comet.CometFilterChain;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.comet.CometProcessor;1.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.connector.ClientAbortException;10.0;47.5;1.3333333283662796;2.916666666666667;0;0
org.apache.catalina.connector.CometEventImpl;16.0;47.5;1.1111111111111112;2.916666666666667;0;0
org.apache.catalina.connector.Connector;84.0;47.5;1.0179045092887604;2.916666666666667;0;0
org.apache.catalina.connector.Constants;8.0;47.5;0.0;2.916666666666667;0;0
org.apache.catalina.connector.CoyoteAdapter;22.0;47.5;1.0833333333333333;2.916666666666667;0;0
org.apache.catalina.connector.CoyoteInputStream;10.0;47.5;1.1428571428571428;2.916666666666667;0;0
org.apache.catalina.connector.CoyoteOutputStream;9.0;47.5;1.1666666666666667;2.916666666666667;0;0
org.apache.catalina.connector.CoyotePrincipal;5.0;47.5;2.0;2.916666666666667;0;0
org.apache.catalina.connector.CoyoteReader;17.0;47.5;1.0909090909090908;2.916666666666667;0;0
org.apache.catalina.connector.CoyoteWriter;34.0;47.5;1.0344827586206897;2.916666666666667;0;0
org.apache.catalina.connector.InputBuffer;41.0;47.5;1.0476190476190477;2.916666666666667;0;0
org.apache.catalina.connector.MapperListener;20.0;47.5;1.0769230769230769;2.916666666666667;0;0
org.apache.catalina.connector.OutputBuffer;48.0;47.5;1.0333333333333334;2.916666666666667;0;0
org.apache.catalina.connector.Request;208.0;47.5;1.0036904760574301;2.916666666666667;0;0
org.apache.catalina.connector.RequestFacade;72.0;47.5;1.0147058823529411;2.916666666666667;0;0
org.apache.catalina.connector.Response;96.0;47.5;1.0119298245509465;2.916666666666667;0;0
org.apache.catalina.connector.ResponseFacade;43.0;47.5;1.0256410256410255;2.916666666666667;0;0
org.apache.catalina.core.ApplicationContext;82.0;47.5;1.0029296875;2.916666666666667;0;0
org.apache.catalina.core.ApplicationContextFacade;61.0;47.5;1.0059523805975914;2.916666666666667;0;0
org.apache.catalina.core.ApplicationDispatcher;28.0;47.5;1.0769230769230769;2.916666666666667;0;0
org.apache.catalina.core.ApplicationFilterChain;25.0;47.5;1.1;2.916666666666667;0;0
org.apache.catalina.core.ApplicationFilterConfig;24.0;47.5;1.0714285714285714;2.916666666666667;0;0
org.apache.catalina.core.ApplicationFilterFactory;10.0;47.5;1.2;2.916666666666667;0;0
org.apache.catalina.core.ApplicationFilterRegistration;15.0;47.5;1.1;2.916666666666667;0;0
org.apache.catalina.core.ApplicationHttpRequest;54.0;47.5;1.011764705819743;2.916666666666667;0;0
org.apache.catalina.core.ApplicationHttpResponse;26.0;47.5;1.05;2.916666666666667;0;0
org.apache.catalina.core.ApplicationJspConfigDescriptor;5.0;47.5;2.0;2.916666666666667;0;0
org.apache.catalina.core.ApplicationJspPropertyGroupDescriptor;14.0;47.5;1.0909090909090908;2.916666666666667;0;0
org.apache.catalina.core.ApplicationPart;14.0;47.5;1.1;2.916666666666667;0;0
org.apache.catalina.core.ApplicationRequest;10.0;47.5;0.799999988079071;2.916666666666667;0;0
org.apache.catalina.core.ApplicationResponse;12.0;47.5;1.1428571428571428;2.916666666666667;0;0
org.apache.catalina.core.ApplicationServletRegistration;18.0;47.5;1.0769230769230769;2.916666666666667;0;0
org.apache.catalina.core.ApplicationSessionCookieConfig;28.0;47.5;1.0588235294117647;2.916666666666667;0;0
org.apache.catalina.core.ApplicationTaglibDescriptor;7.0;47.5;0.6666666666666666;2.916666666666667;0;0
org.apache.catalina.core.AprLifecycleListener;25.0;47.5;1.125;2.916666666666667;0;0
