Snapshot;Class;ChangeType
c241cad754ecf27c96b09f1e585b8be341dfcb71;com.android.internal.telephony.RIL;M
135bf68d7638dc5d8524ba84db80e35452772aa1;com.android.internal.telephony.RIL;M
135bf68d7638dc5d8524ba84db80e35452772aa1;com.android.internal.telephony.SMSDispatcher;M
135bf68d7638dc5d8524ba84db80e35452772aa1;com.android.internal.telephony.ServiceStateTracker;M
135bf68d7638dc5d8524ba84db80e35452772aa1;com.android.internal.telephony.cdma.SmsMessage;M
135bf68d7638dc5d8524ba84db80e35452772aa1;com.android.internal.telephony.cdma.sms.BearerData;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.RIL;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.SMSDispatcher;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.ServiceStateTracker;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.cat.BerTlv;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.cat.CommandParamsFactory;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.cdma.SmsMessage;M
9edadf11a7ac700a529f49e46822e2983ed551e4;com.android.internal.telephony.cdma.sms.BearerData;M
c26fb77c4e637466cf0483a4995fe82e6f68b8d3;com.android.internal.telephony.ServiceStateTracker;M
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;com.android.internal.telephony.cdma.sms.BearerData;M
392afa3290831e856edfe16155638879c8218be6;com.android.internal.telephony.RIL;M
392afa3290831e856edfe16155638879c8218be6;com.android.internal.telephony.SMSDispatcher;M
392afa3290831e856edfe16155638879c8218be6;com.android.internal.telephony.cdma.sms.BearerData;M
e72ec3f4031a24982d402bb35a7d17dc1868958d;com.android.internal.telephony.RIL;M
e72ec3f4031a24982d402bb35a7d17dc1868958d;com.android.internal.telephony.SMSDispatcher;M
e72ec3f4031a24982d402bb35a7d17dc1868958d;com.android.internal.telephony.cdma.SmsMessage;M
e72ec3f4031a24982d402bb35a7d17dc1868958d;com.android.internal.telephony.cdma.sms.BearerData;M
eabfd15c321499201e9d150fe16288c2d43b7787;com.android.internal.telephony.SMSDispatcher;M
dc4460132214aeb1b4767c0225b4595a7ae4a4d4;com.android.internal.telephony.RIL;M
ac57a399534677ebfcfef530f1529d5d7f3d3c49;com.android.internal.telephony.RIL;M
ac57a399534677ebfcfef530f1529d5d7f3d3c49;com.android.internal.telephony.SMSDispatcher;M
ac57a399534677ebfcfef530f1529d5d7f3d3c49;com.android.internal.telephony.cdma.sms.BearerData;M
892e1fecf3c3736c4c04cf219d01034f71307065;com.android.internal.telephony.RIL;M
892e1fecf3c3736c4c04cf219d01034f71307065;com.android.internal.telephony.cdma.sms.BearerData;M
713f879213955e734d7b092033797c0f756fd95c;com.android.internal.telephony.cdma.sms.BearerData;M
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;com.android.internal.telephony.mockril.MockRilController;M
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;android.provider.Telephony;M
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;android.telephony.SmsMessage;M
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;com.android.internal.telephony.AdnRecord;D
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;com.android.internal.telephony.AdnRecordCache;D
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;com.android.internal.telephony.AdnRecordLoader;D
cd17a8e56bf5fa1af49d4447e65dc69e4741e7bf;com.android.internal.telephony.ApnContext;M
