Snapshot;Class;ChangeType
5426ab1212ae49b0c1b4bdcce66f4a90ccbc29c8;org.apache.lucene.index.IndexWriter;M
5d4bddceef4eee6df89c84ea5a07f79f1dce655d;org.apache.lucene.search.FilteredQuery;M
7bd8188ba606fb446ed900e2a2d928c86a192779;org.apache.lucene.index.FilterIndexReader;M
7bd8188ba606fb446ed900e2a2d928c86a192779;org.apache.lucene.index.SegmentTermDocs;M
7bd8188ba606fb446ed900e2a2d928c86a192779;org.apache.lucene.index.TermInfosReader;M
7bd8188ba606fb446ed900e2a2d928c86a192779;org.apache.lucene.index.TestFilterIndexReader;M
7bd8188ba606fb446ed900e2a2d928c86a192779;org.apache.lucene.index.TestSegmentTermEnum;M
7bd8188ba606fb446ed900e2a2d928c86a192779;org.apache.lucene.index.store.FSDirectoryTestCase;A
5ca4cb27e26448af68123db2e293e15e758c4759;org.apache.lucene.index.IndexWriter;M
27821a7f9af2dd78cbab8b6a3d46380b140d180a;org.apache.lucene.index.TermInfosReader;M
cdd960115840de3d09e37a7b0e22e76f85e15f3c;org.apache.lucene.analysis.de.GermanAnalyzer;M
cdd960115840de3d09e37a7b0e22e76f85e15f3c;org.apache.lucene.analysis.de.GermanStemmer;M
cdd960115840de3d09e37a7b0e22e76f85e15f3c;org.apache.lucene.queryParser.TestQueryParser;M
5884c9c8a89c1246843d135964635b170e6dc938;org.apache.lucene.search.CheckHits;A
5884c9c8a89c1246843d135964635b170e6dc938;org.apache.lucene.search.TestBasics;D
5884c9c8a89c1246843d135964635b170e6dc938;org.apache.lucene.search.spans.TestBasics;A
5884c9c8a89c1246843d135964635b170e6dc938;org.apache.lucene.search.spans.TestSpans;M
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;org.apache.lucene.search.FieldCacheImpl;M
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;org.apache.lucene.search.FieldDocSortedHitQueue;M
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;org.apache.lucene.search.FieldSortedHitQueue;M
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;org.apache.lucene.search.SortField;M
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;org.apache.lucene.search.TestSort;M
ee00e19246fa777e891202422a22316445585210;org.apache.lucene.queryParser.QueryParser;M
d6a64bf03e8c7b998f2cb34ddf13587b9b9872ed;org.apache.lucene.analysis.StopAnalyzer;M
c67d8e8050fefcfa11f1f343f37cae6f183af280;org.apache.lucene.index.TermInfosReader;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.FieldCache;A
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.FieldCacheImpl;A
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.FieldDocSortedHitQueue;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.FieldSortedHitQueue;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.FloatSortedHitQueue;D
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.IndexSearcher;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.IntegerSortedHitQueue;D
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.MultiFieldSortedHitQueue;D
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.ScoreDocComparator;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.ScoreDocLookupComparator;D
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.SortComparator;A
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.SortComparatorSource;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.StringSortedHitQueue;D
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.SampleComparable;M
4e486c14349b20278c5d1e00b9335db0a1dffe86;org.apache.lucene.search.TestSort;M
1e2715d18d980e4f8c8cb5ac12abf3752851ee10;org.apache.lucene.store.FSDirectory;M
2a4dd6cb6297d5b318a502a35f79736f7f8b991c;org.apache.lucene.store.FSDirectory;M
aaf0f4b01df406944e05d2ba09f08081317b6c0e;org.apache.lucene.index.MultiTermEnum;M
aaf0f4b01df406944e05d2ba09f08081317b6c0e;org.apache.lucene.index.MultiTermPositions;M
aaf0f4b01df406944e05d2ba09f08081317b6c0e;org.apache.lucene.index.MultiTermDocs;M
b72f93d1b50ebb49140363868ffc4f06818ed6a2;org.apache.lucene.search.BooleanQuery;M
59f64337a9b585b5e86648ddf4e404317fd7db65;org.apache.lucene.document.DateField;M
e5d98fe28a849188e5f994cc5a2743b1d3cf298f;org.apache.lucene.search.TestFilteredQuery;M
43d7d6905478fee9a6e15a4d46fc621216237fb2;org.apache.lucene.search.TestFilteredQuery;M
840d9f1bb5265723629cfc81d2754bfaf51a237b;org.apache.lucene.store.FSDirectory;M
07013dfaf9115c446552c56241bcd6d84ba2e759;org.apache.lucene.search.BooleanScorer;M
03b25ce6bb7098d2ef5d249ef2018019c94d8af7;org.apache.lucene.search.spans.NearSpans;M
fd147a146efb3c460b7d7848818ee504bd66bbd1;org.apache.lucene.search.spans.NearSpans;M
2a2158c439a7a3fa90865ac935a948e912abef12;org.apache.lucene.index.FilterIndexReader;M
2a2158c439a7a3fa90865ac935a948e912abef12;org.apache.lucene.index.TestFilterIndexReader;M
6809069823fbac59930ebbccab18268ee8019c98;org.apache.lucene.search.FilteredQuery;M
9ed56d3d04ad1cdc3853988c3e97d9abe33ee200;org.apache.lucene.store.FSDirectory;M
9ed56d3d04ad1cdc3853988c3e97d9abe33ee200;org.apache.lucene.store.Lock;M
440be55927f03e0d66856252be624fb77541ce4a;org.apache.lucene.search.FilteredTermEnum;M
440be55927f03e0d66856252be624fb77541ce4a;org.apache.lucene.search.FuzzyTermEnum;M
440be55927f03e0d66856252be624fb77541ce4a;org.apache.lucene.search.WildcardTermEnum;M
c735ac4d006827a332248776eb05310f1da60c9c;org.apache.lucene.search.BooleanQuery;M
c735ac4d006827a332248776eb05310f1da60c9c;org.apache.lucene.search.BooleanScorer;M
c735ac4d006827a332248776eb05310f1da60c9c;org.apache.lucene.search.MultiSearcherThread;M
30c553aedce6586ee45982ab2d64e3a718903662;org.apache.lucene.index.FilterIndexReader;M
30c553aedce6586ee45982ab2d64e3a718903662;org.apache.lucene.index.MultiReader;M
7e5763e5ca7c02fc51214633283590000387547e;org.apache.lucene.store.FSDirectory;M
7e5763e5ca7c02fc51214633283590000387547e;org.apache.lucene.store.Lock;M
