Snapshot;Class;ChangeType
5ff87f7f52577bb133c0897cd9ae6b7a10051c20;org.argouml.uml.diagram.static_structure.ui.FigClass;M
2878ecdefc3aeb273fe8dac5073358d4a6c61a87;org.argouml.model.uml.XmiReaderImpl;M
2388ecd7e2aa8c0297084694e46619f6b478fd3c;org.argouml.application.Main;M
2388ecd7e2aa8c0297084694e46619f6b478fd3c;org.argouml.notation.NotationProviderFactory2;M
f186d1c3d6d5c4b9f70a7ba7fd5a39872c751943;org.argouml.uml.cognitive.critics.CrUnconventionalAttrName;M
6423cd87eb94397f554e33ee34e1028d9e0800fa;org.argouml.persistence.XMIParser;M
6423cd87eb94397f554e33ee34e1028d9e0800fa;org.argouml.persistence.XmiFilePersister;M
6423cd87eb94397f554e33ee34e1028d9e0800fa;org.argouml.persistence.ZipFilePersister;M
758a48ff644e66f10a0e8042c326fadd7d638413;org.argouml.model.XmiReader;M
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.application.Main;M
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.notation.NotationProviderFactory2;M
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.diagram.activity.ui.FigActionState;M
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.ActionStateNotation;A
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.AttributeNotation;A
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.OperationNotation;A
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.uml.ActionStateNotationUml;A
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.uml.AttributeNotationUml;A
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.uml.InitNotationUml;M
77590bb2705700eec0bc342571938e8b1dcb123a;org.argouml.uml.notation.uml.OperationNotationUml;A
8dac1516c04a9848c5748be8d953077fbd547409;org.argouml.uml.generator.Parser;D
8dac1516c04a9848c5748be8d953077fbd547409;org.argouml.uml.generator.ParserDisplay;M
43be254f188289d73af79a5136ba87dee6b8d29e;org.argouml.uml.ui.behavior.use_cases.UMLIncludeAdditionListModel;M
43be254f188289d73af79a5136ba87dee6b8d29e;org.argouml.uml.ui.behavior.use_cases.UMLIncludeBaseListModel;M
30736ea4d37668a56298e5086eb0a8daf3ae47c7;org.argouml.uml.ui.foundation.core.UMLModelElementNamespaceComboBoxModel;M
ced1fc8c112a9a33ff7b2f7699f2b96a1439ecc1;org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel;M
605dedceb7e98a5af1b52c8a5d9427577fb300e6;org.argouml.uml.ui.UMLComboBoxModel2;M
b3175c6d4e9e5e1a824a1116fc10f51d94957114;org.argouml.uml.ui.foundation.core.TestUMLStructuralFeatureTypeComboBoxModel;M
697e454dac4c1adc94cb79f6b62d40804f8d57a5;org.argouml.uml.ui.behavior.collaborations.TestUMLAssociationRoleBaseComboBoxModel;M
697e454dac4c1adc94cb79f6b62d40804f8d57a5;org.argouml.uml.ui.behavior.collaborations.TestUMLMessageActivatorComboBoxModel;M
697e454dac4c1adc94cb79f6b62d40804f8d57a5;org.argouml.uml.ui.foundation.core.TestUMLGeneralizationPowertypeComboBoxModel;M
16a49b6f23c897e038e0bca00b97a5211f073781;org.argouml.uml.ui.foundation.core.TestUMLStructuralFeatureTypeComboBoxModel;M
66c7ea7c275ab20bffcc7a7f47476f170ba0b30a;org.argouml.uml.ui.foundation.core.UMLStructuralFeatureTypeComboBoxModel;M
b39e4e77255377c07a360446b62014decca8b7f5;org.argouml.uml.diagram.state.ui.FigStateVertex;M
b39e4e77255377c07a360446b62014decca8b7f5;org.argouml.uml.notation.java.ModelElementNameNotationJava;M
b39e4e77255377c07a360446b62014decca8b7f5;org.argouml.uml.notation.uml.ModelElementNameNotationUml;M
c0fc385dea218a16af3478518e3d48e80370a6cb;org.argouml.uml.ui.behavior.collaborations.TestUMLAssociationRoleBaseComboBoxModel;M
c0fc385dea218a16af3478518e3d48e80370a6cb;org.argouml.uml.ui.behavior.collaborations.TestUMLMessageActivatorComboBoxModel;M
c0fc385dea218a16af3478518e3d48e80370a6cb;org.argouml.uml.ui.foundation.core.TestUMLGeneralizationPowertypeComboBoxModel;M
c0fc385dea218a16af3478518e3d48e80370a6cb;org.argouml.uml.ui.foundation.core.TestUMLStructuralFeatureTypeComboBoxModel;M
350317a690531b4911c846dca21812cf6ec87efe;org.argouml.uml.diagram.state.ui.FigState;M
8bc9fd9da184b986ce2bfe76a191aab79fbf66cb;org.argouml.uml.diagram.sequence.MessageNode;M
755619a2d3d982aa1976e835670fd3084f39ea29;org.argouml.uml.diagram.sequence.ui.FigClassifierRole;M
43ce83ae3ec82a4c6868a5a7920f12b15a34e3fa;org.argouml.uml.diagram.sequence.ui.FigMessagePort;M
cdbdc260b3724d824d4ff09d45fa92794a9878f5;org.argouml.uml.diagram.sequence.ui.FigClassifierRole;M
cdbdc260b3724d824d4ff09d45fa92794a9878f5;org.argouml.uml.diagram.sequence.ui.FigMessage;M
cdbdc260b3724d824d4ff09d45fa92794a9878f5;org.argouml.uml.diagram.sequence.ui.ModeCreateMessage;M
cdbdc260b3724d824d4ff09d45fa92794a9878f5;org.argouml.uml.reveng.ui.RESequenceDiagramDialog;M
78873fff1206e63f786be1abc2ec764998edc62c;org.argouml.uml.generator.ParserDisplay;M
cd5cc9295f6dac43068ee4c02e946dc9741739f9;org.argouml.uml.diagram.static_structure.ui.FigClass;M
fa033b779c1d619fe8fd76b0fe530a3568b12299;org.argouml.kernel.SingleStereotypeEnabler;D
fa033b779c1d619fe8fd76b0fe530a3568b12299;org.argouml.uml.ui.foundation.core.PropPanelModelElement;M
fa033b779c1d619fe8fd76b0fe530a3568b12299;org.argouml.uml.ui.foundation.core.UMLModelElementStereotypeComboBoxModel;D
