Snapshot;Class;ChangeType
b83672fd3afdc71dbf6ceb725a04769c8b3f12bf;org.apache.xerces.impl.XMLErrorReporter;M
b83672fd3afdc71dbf6ceb725a04769c8b3f12bf;org.apache.xerces.impl.xs.traversers.XSDHandler;M
c89d914be961a8a35f7c69d17737186142ae72f6;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
6bca4e973a7bceb763f3ad0159389aff65468f1b;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
caf98da7c32542d3a976e555127e62b9cd71013d;org.apache.xerces.parsers.AbstractSAXParser;M
caf98da7c32542d3a976e555127e62b9cd71013d;org.apache.xerces.parsers.DOMParser;M
90e2d35c820c6f4568dcd2393c180d77b7c6bea4;org.apache.xml.serialize.Encodings;M
537c8bd133507ed2cf47c1cc952bbb365399ca89;org.apache.xerces.util.URI;M
537c8bd133507ed2cf47c1cc952bbb365399ca89;org.apache.xerces.xinclude.XIncludeHandler;M
5607854a23b9005214c759e798e87b7b021d0af6;org.apache.xerces.impl.xs.XSAttributeUseImpl;M
090ea682991fbb4df8f1e997f4a521d39c9cb3f6;org.apache.xerces.impl.xs.identity.IdentityConstraint;M
9231cb3a3675ca5bbd7fbbca689bf7b0fa258ee1;org.apache.xerces.impl.xs.XMLSchemaValidator;M
e529fd488d55b50d38ca50ee68875cbe70d0c73e;org.apache.xerces.impl.xpath.regex.ParserForXMLSchema;M
33b2bb963817ddd1de1cb550aebed0f6eb18200f;org.apache.xerces.jaxp.validation.DOMValidatorHelper;M
33b2bb963817ddd1de1cb550aebed0f6eb18200f;org.apache.xerces.util.NamespaceSupport;M
bbd33f7ee5bf50d399e33d54cc56840d4085da93;org.apache.xerces.util.ErrorHandlerProxy;M
5a1e552d7f8611562a5a6ae47d5f331068d27a7e;org.apache.xerces.jaxp.JAXPValidatorComponent;M
5a1e552d7f8611562a5a6ae47d5f331068d27a7e;org.apache.xerces.jaxp.SchemaValidatorConfiguration;M
5a1e552d7f8611562a5a6ae47d5f331068d27a7e;org.apache.xerces.jaxp.UnparsedEntityHandler;M
15ec01bdecd822f07bcb8dfc42d13dbc78c6aaf7;org.apache.xerces.jaxp.UnparsedEntityHandler;M
727257f5afd5baf9e0f8b8941647e601650175f7;org.apache.xerces.jaxp.DocumentBuilderImpl;M
727257f5afd5baf9e0f8b8941647e601650175f7;org.apache.xerces.jaxp.SAXParserImpl;M
727257f5afd5baf9e0f8b8941647e601650175f7;org.apache.xerces.jaxp.SchemaValidatorConfiguration;M
bab6fe5b1e630f99bdd9eb36750a31b5c534e496;org.apache.xerces.jaxp.JAXPValidatorComponent;M
bab6fe5b1e630f99bdd9eb36750a31b5c534e496;org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl;M
bab6fe5b1e630f99bdd9eb36750a31b5c534e496;org.apache.xerces.jaxp.UnparsedEntityHandler;M
52265dfd01732473b7ef2de4ce850ce96aea8de2;org.apache.xerces.jaxp.UnparsedEntityHandler;A
1053418f95034f098e876012709e9f1547e53a99;org.apache.xerces.jaxp.DocumentBuilderFactoryImpl;M
c12fd694626841e15a23993537a61d1ef75260c4;org.apache.xerces.dom.ElementImpl;M
b7cf3c745fb8d0080893c0a43e09e8415a2ff4e6;org.apache.xerces.jaxp.JAXPValidatorComponent;M
a7bb5d3c058a8d3f6215825f94f39af1394c7469;org.apache.xerces.jaxp.DocumentBuilderImpl;M
a7bb5d3c058a8d3f6215825f94f39af1394c7469;org.apache.xerces.jaxp.SAXParserImpl;M
7a6a29a6fd6917e095fbc1c5de43d64971e592d1;org.apache.xerces.util.ErrorHandlerProxy;M
8301519e0389cb3d96e9c08ce61e208bed9c8d23;org.apache.xerces.jaxp.JAXPValidatorComponent;A
8301519e0389cb3d96e9c08ce61e208bed9c8d23;org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl;A
894a1fdb84230e6c18665a5683fecb77aae723fb;org.apache.xerces.util.ErrorHandlerProxy;A
08055d2bd5d1d887c0c78847f8a1bf1a7b080a88;org.apache.xerces.util.LocatorProxy;A
6a8a66cd4209711145c22196f586701c745fbc26;dom.dom3.Test;M
e455b2c24124db8ae3106992f5b624912022c427;org.apache.xerces.jaxp.DocumentBuilderImpl;M
e455b2c24124db8ae3106992f5b624912022c427;org.apache.xerces.jaxp.SAXParserImpl;M
e455b2c24124db8ae3106992f5b624912022c427;org.apache.xerces.jaxp.SchemaValidatorConfiguration;A
e455b2c24124db8ae3106992f5b624912022c427;org.apache.xerces.parsers.DOMParser;M
045b3820c03bc750bed9e3798775ad12c2b34fb4;org.apache.xerces.parsers.DOMParser;M
566d122380d79c9a282f305afea239a63f10d640;org.apache.xerces.jaxp.DocumentBuilderFactoryImpl;M
566d122380d79c9a282f305afea239a63f10d640;org.apache.xerces.jaxp.DocumentBuilderImpl;M
6eb61874fdc1d61042b26dd4b9fec4e8e6c8bba0;org.apache.xerces.jaxp.SAXParserImpl;M
11e6ed4442381e25d560d2c6810294421bb6bceb;org.apache.xerces.jaxp.SAXParserImpl;M
dfa8c4cb7cab23bbe2573af015277c4595c0437a;org.apache.xerces.jaxp.SAXParserImpl;M
8e0ad24ff9fe1bec1307b638aa7fbf5f5f74643b;org.apache.xerces.jaxp.DocumentBuilderImpl;M
6abaa402710bf8a1f396ceb09c604d3461974408;org.apache.xerces.jaxp.validation.DOMValidatorHelper;M
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.impl.Constants;M
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.parsers.XPointerParserConfiguration;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xinclude.XIncludeHandler;M
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.ElementSchemePointer;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.ShortHandPointer;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.XPointerErrorHandler;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.XPointerHandler;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.XPointerMessageFormatter;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.XPointerPart;A
e6979d270f936553e7abc8c6008735a258d06d84;org.apache.xerces.xpointer.XPointerProcessor;A
b6e3001548db4767c58751bebd16f42e2d4be888;org.apache.xerces.jaxp.DocumentBuilderImpl;M
b6e3001548db4767c58751bebd16f42e2d4be888;org.apache.xerces.jaxp.SAXParserImpl;M
088733522b83dba18f32d1fcf7ef8c85f7fa9ab7;org.apache.xerces.impl.xs.XMLSchemaValidator;M
a7a5396409bce386d2e5933133c15764e28803d2;xni.parser.PSVIConfiguration;M
52dc86560fbc3a21140f97b7517885f3da891ee5;xni.Counter;M
52dc86560fbc3a21140f97b7517885f3da891ee5;xni.DocumentTracer;M
52dc86560fbc3a21140f97b7517885f3da891ee5;xni.Writer;M
4963078a62904dc0a292a995d65571baf7f7bc05;org.apache.xerces.jaxp.validation.XMLSchemaFactory;M
315a1d388e7248c487145a5c1193e31a2573319b;org.apache.xerces.dom.DOMConfigurationImpl;M
315a1d388e7248c487145a5c1193e31a2573319b;org.apache.xerces.parsers.DOMParserImpl;M
315a1d388e7248c487145a5c1193e31a2573319b;org.apache.xml.serialize.DOMSerializerImpl;M
7514cf82a6a64a039f4c04de5b7dd36830d6fb05;org.apache.xerces.impl.xs.XMLSchemaValidator;M
7514cf82a6a64a039f4c04de5b7dd36830d6fb05;org.apache.xerces.parsers.XML11Configuration;M
bc85acfa4f1e5fe96712673e41ea08dfb19a8cb3;org.apache.xerces.jaxp.validation.ValidatorHandlerImpl;M
b8f55d6a0bb8104edf575aca174caeea2a27a0ae;org.apache.xerces.parsers.DOMParserImpl;M
b8f55d6a0bb8104edf575aca174caeea2a27a0ae;org.apache.xml.serialize.DOMSerializerImpl;M
774b4d4bcd78aef580c04969f8cfe1f91559a50d;org.apache.xerces.jaxp.validation.AbstractXMLSchema;M
555ea6bb819f6761c59f0365b62cad483171873e;org.apache.xerces.jaxp.validation.ValidatorImpl;M
2abfd83cd04c6220dfd1036b8fcbe6020b774b06;org.apache.xerces.jaxp.validation.ValidatorHandlerImpl;A
1ae0cc3a6b18565e655c688137f9a14d8eac39d7;org.apache.xerces.dom.DOMConfigurationImpl;M
bd5d49c9f3520dfc90bbe6e264e794d7d4a00b9d;org.apache.xerces.dom.CoreDocumentImpl;M
eba0a7c083c6662e96d951b0338e687efcd38f18;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
6e42974ecb5f16a890939d6471a914398b42ef13;org.apache.xerces.impl.xs.XSComplexTypeDecl;M
fc6590095f492b910dbfe1f52da293210398f409;org.apache.xerces.util.AttributesProxy;M
21cc1d4f1a805ab6ba9896ecdb793db7707e1cf8;org.apache.xerces.util.AttributesProxy;A
e9d1a98f6430d8d88bf109a61558da46dc3ef28c;org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl;M
e9d1a98f6430d8d88bf109a61558da46dc3ef28c;org.apache.xerces.impl.dv.xs.XSSimpleTypeDecl;M
e9d1a98f6430d8d88bf109a61558da46dc3ef28c;org.apache.xerces.xs.XSConstants;M
