Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
com.android.internal.telephony.gsm.GsmConnection.fakeHoldBeforeDial();com.android.internal.telephony.gsm.GsmCall;1;1;2;0.9455;431;31;29;2;0;0.8947;97;14;2
android.telephony.SmsManager.divideMessage(String);android.telephony.SmsMessage;0;0;0;1.0000;195;13;12;1;0;1.0000;230;37;14
com.android.internal.telephony.test.ModelInterpreter.onSMSSend(String);com.android.internal.telephony.test.LineReader;0;2;1;0.9318;319;33;14;1;0;0.8750;46;3;3
com.android.internal.telephony.PhoneProxy.setSmscAddress(String, Message);com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.RIL.responseSuppServiceNotification(Parcel);com.android.internal.telephony.gsm.SuppServiceNotification;1;0;0;1.0000;2581;171;27;0;5;0.1667;3;1;25
com.android.internal.telephony.CallSetupException.DcInactiveState.processMessage(Message);com.android.internal.telephony.CallSetupException;2;0;0;1.0000;67;5;3;3;6;0.8824;293;31;34
com.android.internal.telephony.cdma.CdmaDataConnectionTracker.onCdmaDataDetached();com.android.internal.telephony.Phone;1;3;0;0.9524;623;51;14;1;1;0.9948;175;175;72
com.android.internal.telephony.test.SimulatedCommands.hangupConnection(int, Message);com.android.internal.telephony.test.SimulatedGsmCallState;0;2;1;0.9808;821;136;26;1;0;0.9630;452;20;6
com.android.internal.telephony.RIL.setGsmBroadcastConfig(SmsBroadcastConfigInfo[], Message);com.android.internal.telephony.RILRequest;2;3;1;0.9895;2581;171;27;2;2;0.8235;68;5;12
com.android.internal.telephony.cat.CommandParamsFactory.processGetInkey(CommandDetails, List<ComprehensionTlv>);com.android.internal.telephony.cat.IconLoader;3;1;5;0.8889;575;21;15;1;0;0.9722;217;14;19
com.android.internal.telephony.gsm.UsimDataDownloadHandler.startDataDownload(SmsMessage);android.provider.Telephony.Sms.Intents;1;0;2;1.0000;142;7;7;0;1;1.0000;16;1;12
com.android.internal.telephony.test.SimulatedCommands.hangupWaitingOrBackground(Message);com.android.internal.telephony.test.SimulatedGsmCallState;0;2;1;0.9808;821;136;26;1;0;0.9630;452;20;6
com.android.internal.telephony.gsm.GsmDataConnectionTracker.onRecordsLoaded();com.android.internal.telephony.Phone;2;4;0;0.9626;1870;98;16;0;1;1.0000;175;175;72
com.android.internal.telephony.cdma.CDMAPhone.notifyPhoneStateChanged();com.android.internal.telephony.PhoneNotifier;0;0;0;1.0000;974;127;45;1;0;0.9167;11;11;0
com.android.internal.telephony.cat.RilMessageDecoder.decodeMessageParams(RilMessage);com.android.internal.telephony.cat.BerTlv;3;1;2;0.7857;69;5;8;1;0;1.0000;51;1;6
com.android.internal.telephony.RIL.RILSender.handleMessage(Message);com.android.internal.telephony.RILRequest;2;0;1;0.9333;90;2;1;2;3;0.7059;68;5;12
android.telephony.SmsMessage.getOriginatingAddress();com.android.internal.telephony.SmsMessageBase;0;0;1;0.9643;230;37;14;1;0;0.9706;80;16;18
