Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
com.android.internal.telephony.cdma.CdmaDataConnectionTracker;612;49;13;0.9630;0;24.0;176
com.android.internal.telephony.cat.SelectItemParams;23;1;2;0.0000;0;3.0;7
android.telephony.SmsCbCmasInfo;48;3;46;1.0348;0;0.0;11
com.android.internal.telephony.cdma.EriManager;235;13;11;0.9091;1;8.0;72
android.telephony.SmsManager;195;13;12;1.0595;0;2.0;58
com.android.internal.telephony.gsm.GsmDataConnectionTracker;1668;86;13;0.9825;1;60.0;537
com.android.internal.telephony.cat.DeviceIdentities;3;1;2;0.0000;0;0.0;1
com.android.internal.telephony.sip.SipConnectionBase;82;11;14;0.9664;0;0.0;29
com.android.internal.telephony.cat.RilMessage;9;0;3;0.3333;0;0.0;2
com.android.internal.telephony.uicc.IccVmNotSupportedException;5;0;0;0.0000;0;0.0;2
com.android.internal.telephony.uicc.IccCardStatus;72;7;9;0.9630;0;0.0;27
com.android.internal.telephony.cat.CommandParamsFactory;575;21;15;0.8159;1;40.0;128
com.android.internal.telephony.uicc.IccRefreshResponse;3;1;6;0.0000;0;0.0;1
com.android.internal.telephony.uicc.AdnRecord;145;10;20;0.9105;0;0.0;35
com.android.internal.telephony.PhoneSubInfo;98;16;6;0.5833;0;3.0;22
com.android.internal.telephony.WapPushOverSms;100;1;7;1.0000;2;13.0;28
com.android.internal.telephony.cat.ValueParser;195;10;0;0.0000;0;15.0;32
com.android.internal.telephony.SmsRawData;13;2;2;0.8333;0;0.0;4
com.android.internal.telephony.cat.LanguageResponseData;22;1;1;0.0000;0;0.0;5
com.android.internal.telephony.uicc.IsimUiccRecords;94;15;8;0.9706;1;3.0;29
com.android.internal.telephony.cat.CatLog;13;2;1;0.0000;0;0.0;4
com.android.internal.telephony.gsm.GsmSmsCbMessage;143;4;4;1.0000;0;10.0;41
com.android.internal.telephony.uicc.RuimFileHandler;27;4;1;0.7500;1;10.0;13
com.android.internal.telephony.CommandException;46;1;2;1.0000;0;0.0;20
com.android.internal.telephony.gsm.SimPhoneBookInterfaceManager;36;5;1;0.6000;0;0.0;10
com.android.internal.telephony.gsm.SmsCbHeader;199;13;16;0.9167;2;41.0;74
com.android.internal.telephony.IccSmsInterfaceManagerProxy;45;12;1;0.0000;0;0.0;15
com.android.internal.telephony.cat.Input;48;3;13;0.5577;0;0.0;17
com.android.internal.telephony.uicc.IccCardApplicationStatus;192;11;11;1.0091;0;0.0;62
com.android.internal.telephony.ApnContext;143;19;13;0.8901;0;1.0;44
com.android.internal.telephony.uicc.IccException;5;0;0;0.0000;0;0.0;2
com.android.internal.telephony.cat.ToneSettings;18;2;4;0.5833;0;0.0;5
android.telephony.CellBroadcastMessage;230;20;5;0.7680;2;49.0;56
com.android.internal.telephony.cdma.CdmaDataConnection;45;6;1;1.0000;0;2.0;17
com.android.internal.telephony.CommandsInterface;216;214;44;1.0047;0;0.0;214
com.android.internal.telephony.ATParseEx;6;0;0;0.0000;0;0.0;2
com.android.internal.telephony.cat.DTTZResponseData;48;3;1;0.6667;0;0.0;11
com.android.internal.telephony.cdma.CdmaCall;100;14;3;0.6250;0;3.0;34
