Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
android.support.v4.app.ActivityCompat.invalidateOptionsMenu(Activity);android.support.v4.app.ActivityCompatHoneycomb;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.PagerTitleStripImplIcs.setSingleLineAllCaps(TextView);android.support.v4.view.PagerTitleStripIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchResume();android.support.v4.app.Fragment;1;1;1;0.9759;1280;68;37;0;1;1.0000;439;56;44
android.support.v4.view.accessibility.AccessibilityManagerCompat.AccessibilityManagerIcsImpl.removeAccessibilityStateChangeListener(AccessibilityManager, AccessibilityStateChangeListenerCompat);android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.widget.EdgeEffectCompat.EdgeEffectIcsImpl.newEdgeEffect(Context);android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.restartLoader(int, Bundle, LoaderManager.LoaderCallbacks<D>);android.support.v4.content.Loader;2;0;5;0.9000;234;16;9;1;0;0.9714;116;18;7
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.getToIndex(Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.setLongClickable(Object, boolean);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.widget.EdgeEffectCompat.EdgeEffectIcsImpl.onRelease(Object);android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordJellyBeanImpl.setSource(Object, View, int);android.support.v4.view.accessibility.AccessibilityRecordCompatJellyBean;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.setItemCount(Object, int);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchConfigurationChanged(Configuration);android.support.v4.app.Fragment;0;0;2;0.9762;1280;68;37;1;0;0.9894;439;56;44
android.support.v4.app.FragmentManagerImpl.hideFragment(Fragment, int, int);android.support.v4.app.Fragment;1;1;3;0.9773;1280;68;37;1;4;0.9468;439;56;44
