Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
android.support.v4.widget.EdgeEffectCompat;0;0;0;0;0;0;0
android.support.v4.content.ContextCompatJellybean;3;1;0;0.0000;0;0.0;1
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs;15;5;0;0.0000;0;0.0;5
android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilder;0;0;0;0;0;0;0
android.support.v4.view.PagerTabStrip;0;0;0;0;0;0;0
android.support.v4.content.pm.ActivityInfoCompat;0;0;0;0;0;0;0
android.support.v4.widget.SearchViewCompatHoneycomb;0;0;0;0;0;0;0
android.support.v4.content.ContextCompatHoneycomb;3;1;0;0.0000;0;0.0;1
android.support.v4.view.accessibility.AccessibilityManagerCompat;0;0;0;0;0;0;0
android.support.v4.view.ViewCompatHC;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl;224;14;9;0.7111;0;0.0;64
android.support.v4.app.NotificationCompatJellybean;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompatIcs;0;0;0;0;0;0;0
android.support.v4.view.ViewGroupCompat;0;0;0;0;0;0;0
android.support.v4.app.Fragment;393;51;41;0.9771;0;0.0;106
android.support.v4.content.ContextCompat;0;0;0;0;0;0;0
android.support.v4.app.ActivityCompat;0;0;0;0;0;0;0
android.support.v4.content.ModernAsyncTask;0;0;0;0;0;0;0
android.support.v4.app.ShareCompatJB;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeProviderCompatJellyBean;0;0;0;0;0;0;0
android.support.v4.app.ListFragment;141;14;12;0.9056;0;0.0;35
android.support.v4.view.MenuItemCompatHoneycomb;6;2;0;0.0000;0;0.0;2
android.support.v4.net.TrafficStatsCompatIcs;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeProviderCompat;0;0;0;0;0;0;0
android.support.v4.view.ViewConfigurationCompat;0;0;0;0;0;0;0
android.support.v4.app.ShareCompatICS;0;0;0;0;0;0;0
android.support.v4.widget.SimpleCursorAdapter;106;7;6;0.8452;0;0.0;29
android.support.v4.os.ParcelableCompatCreatorHoneycombMR2Stub;0;0;0;0;0;0;0
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat;55;7;2;0.7857;0;0.0;17
android.support.v4.app.ActivityCompatHoneycomb;6;2;0;0.0000;0;0.0;2
android.support.v4.widget.ResourceCursorAdapter;27;2;3;0.3333;0;0.0;7
android.support.v4.widget.ScrollerCompatIcs;0;0;0;0;0;0;0
android.support.v4.os.ParcelableCompatCreatorCallbacks;0;0;0;0;0;0;0
android.support.v4.util.LruCache;146;11;8;0.8611;0;0.0;40
android.support.v4.view.KeyEventCompatHoneycomb;0;0;0;0;0;0;0
android.support.v4.view.ViewCompatGingerbread;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompatJellyBean;0;0;0;0;0;0;0
android.support.v4.view.MotionEventCompatEclair;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStripIcs;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0;0
android.support.v4.content.IntentCompat;0;0;0;0;0;0;0
android.support.v4.os.ParcelableCompatCreatorHoneycombMR2;0;0;0;0;0;0;0
android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilderJellybean;0;0;0;0;0;0;0
android.support.v4.app.FragmentManager;23;19;1;1.0556;0;0.0;19
android.support.v4.view.KeyEventCompat;0;0;0;0;0;0;0
android.support.v4.net.TrafficStatsCompat;0;0;0;0;0;0;0
android.support.v4.app.BackStackState;98;3;10;0.3500;1;21.0;16
android.support.v4.net.ConnectivityManagerCompatJellyBean;0;0;0;0;0;0;0
android.support.v4.app.ShareCompat;0;0;0;0;0;0;0
android.support.v4.net.ConnectivityManagerCompatGingerbread;0;0;0;0;0;0;0
android.support.v4.content.LocalBroadcastManager;0;0;0;0;0;0;0
android.support.v4.app.DialogFragment;170;16;18;0.8942;0;1.0;50
android.support.v4.util.SparseArrayCompat;183;19;5;0.5800;0;0.0;57
android.support.v4.app.NotificationCompatIceCreamSandwich;0;0;0;0;0;0;0
android.support.v4.app.NavUtils;0;0;0;0;0;0;0
android.support.v4.view.MotionEventCompat;0;0;0;0;0;0;0
android.support.v4.widget.CursorAdapter;170;17;11;0.8760;0;0.0;58
android.support.v4.widget.CursorFilter;25;3;1;0.0000;0;0.0;7
android.support.v4.app.FragmentPagerAdapter;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat;0;0;0;0;0;0;0
android.support.v4.app.LoaderManager;8;6;0;0.0000;0;0.0;6
android.support.v4.app.FragmentState;57;3;11;0.4318;0;11.0;10
android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0;0
android.support.v4.view.ViewConfigurationCompatFroyo;0;0;0;0;0;0;0
android.support.v4.view.MenuItemCompat;0;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompat;0;0;0;0;0;0;0
android.support.v4.view.VelocityTrackerCompat;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0
android.support.v4.app.NavUtilsJB;0;0;0;0;0;0;0
android.support.v4.widget.ScrollerCompat;0;0;0;0;0;0;0
android.support.v4.util.TimeUtils;118;7;6;0.9444;0;0.0;40
android.support.v4.app.FragmentActivity;357;30;14;0.8857;0;15.0;103
android.support.v4.view.ViewGroupCompatIcs;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl;1181;62;26;0.9306;0;48.0;389
android.support.v4.app.NoSaveStateFrameLayout;20;3;0;0.0000;0;0.0;5
android.support.v4.os.ParcelableCompat;0;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilderHoneycomb;0;0;0;0;0;0;0
android.support.v4.app.ServiceCompat;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0;0
android.support.v4.app.SuperNotCalledException;3;0;0;0.0000;0;0.0;1
android.support.v4.util.LongSparseArray;0;0;0;0;0;0;0
android.support.v4.content.AsyncTaskLoader;133;11;7;0.7013;0;0.0;41
android.support.v4.view.accessibility.AccessibilityEventCompat;0;0;0;0;0;0;0
android.support.v4.view.ViewPager;466;23;27;0.9170;0;4.0;137
android.support.v4.content.CursorLoader;118;8;7;0.8045;0;0.0;34
android.support.v4.view.accessibility.AccessibilityRecordCompat;0;0;0;0;0;0;0
android.support.v4.util.DebugUtils;18;1;0;0.0000;0;0.0;5
android.support.v4.app.FragmentManagerState;15;2;4;0.8333;0;0.0;4
android.support.v4.net.ConnectivityManagerCompatHoneycombMR2;0;0;0;0;0;0;0
android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompatJellyBean;0;0;0;0;0;0;0
android.support.v4.widget.SearchViewCompat;0;0;0;0;0;0;0
android.support.v4.content.Loader;116;18;7;0.8634;0;0.0;29
