Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.tools.ant.taskdefs.MatchingTask.getDirectoryScanner(File);org.apache.tools.ant.types.AbstractFileSet;0;0;1;0.9767;143;40;1;2;0;0.9661;346;48;7
org.apache.tools.ant.taskdefs.UpToDate.eval();org.apache.tools.ant.types.AbstractFileSet;1;1;4;0.7222;90;6;6;2;0;0.9701;346;48;7
org.apache.tools.ant.types.resources.TarResource.setEntry(TarEntry);org.apache.tools.tar.TarEntry;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Concat.cat(ResourceCollection);org.apache.tools.ant.Project;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.junit.JUnitTask.createTempPropertiesFile(String);org.apache.tools.ant.util.FileUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.execute();org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool;0;0;1;0.8750;31;4;3;2;0;0.5000;3;3;5
org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory.resolveClassName(String);org.apache.tools.ant.util.ClasspathUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.zip.ZipOutputStream.closeEntry();org.apache.tools.zip.ZipEntry;0;3;8;0.7436;312;18;26;3;0;0.9167;200;18;11
org.apache.tools.ant.taskdefs.optional.ejb.WeblogicDeploymentTool.buildWeblogicJar(File, File, String);org.apache.tools.ant.ProjectComponent;4;0;16;0.7708;391;14;34;0;1;0.9688;21;2;1
org.apache.tools.ant.util.TaskLogger.error(String);org.apache.tools.ant.Task;1;0;1;0.8333;18;5;1;1;0;0.9615;143;16;8
org.apache.tools.ant.taskdefs.Tar.tarResource(Resource, TarOutputStream, String, TarFileSet);org.apache.tools.ant.util.FileUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.Main.addInputHandler(Project);org.apache.tools.ant.util.ClasspathUtils;1;0;1;0.9600;588;19;19;0;0;1.0000;65;9;2
org.apache.tools.ant.Project.copyFile(String, String, boolean, boolean, boolean);org.apache.tools.ant.util.FileUtils;0;0;2;0.9792;672;82;32;1;0;0.9714;584;34;8
org.apache.tools.ant.taskdefs.optional.net.FTP.FTPDirectoryScanner.listFiles(String, boolean);org.apache.tools.ant.Project;1;1;3;0.8000;317;11;6;1;1;0.9902;672;82;32
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand.logVerbose(String);org.apache.tools.ant.ProjectComponent;2;0;1;0.9412;95;7;8;0;1;0.8333;21;2;1
org.apache.tools.ant.taskdefs.MacroInstance.getNsElements();org.apache.tools.ant.taskdefs.MacroDef.TemplateElement;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Patch.setBackups(boolean);org.apache.tools.ant.types.Commandline;0;0;1;0.9231;79;8;4;1;0;0.9545;234;24;3
org.apache.tools.ant.taskdefs.FixCRLF.execute();org.apache.tools.ant.Project;1;1;12;0.7037;388;11;31;0;1;1.0000;672;82;32
org.apache.tools.ant.taskdefs.optional.XMLValidateTask.doValidate(File);org.apache.tools.ant.util.FileUtils;3;0;4;0.8846;182;12;13;1;0;0.9744;584;34;8
org.apache.tools.ant.taskdefs.optional.ccm.CCMCreateTask.setProcessErrorStream(InputStream);org.apache.tools.ant.Project;1;0;0;1.0000;120;7;12;0;1;1.0000;672;82;32
