Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.tools.ant.ExitStatusException;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.email.MimeMailer;109;3;1;1.0000;1;4.0;20
org.apache.tools.ant.filters.util.JavaClassHelper;24;1;1;0.0000;0;0.0;6
org.apache.tools.ant.NoBannerLogger;18;3;1;0.3333;1;5.0;8
org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader;15;1;0;0.0000;1;1.0;2
org.apache.tools.ant.types.selectors.DepthSelector;81;4;4;0.7500;0;2.0;25
org.apache.tools.ant.util.JavaEnvUtils;129;8;13;0.9904;0;0.0;31
org.apache.tools.ant.taskdefs.optional.ssh.Directory;70;11;4;0.7857;0;0.0;21
org.apache.tools.ant.taskdefs.Mkdir;31;2;2;0.7500;0;0.0;9
org.apache.tools.ant.taskdefs.SubAnt;196;15;11;0.9481;0;16.0;58
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPoolEntry;61;3;14;0.9524;0;0.0;19
org.apache.tools.ant.taskdefs.VerifyJar;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKOUT;46;10;0;0.0000;1;1.0;11
org.apache.tools.ant.types.resources.Restrict;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.NetRexxC;404;14;41;0.9601;0;5.0;140
org.apache.tools.ant.types.FilterSet;221;17;7;0.9603;0;1.0;57
org.apache.tools.ant.taskdefs.Nice;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetBaseMatchingTask;63;5;3;0.8750;0;1.0;17
org.apache.tools.ant.taskdefs.optional.junit.CompoundEnumeration;18;2;2;0.2500;0;0.0;7
org.apache.tools.ant.taskdefs.optional.native2ascii.DefaultNative2Ascii;0;0;0;0;0;0;0
org.apache.tools.ant.types.resources.First;0;0;0;0;0;0;0
org.apache.tools.ant.ProjectComponent;21;2;1;0.5000;0;1.0;7
org.apache.tools.ant.taskdefs.LoadFile;83;2;5;0.8000;0;7.0;18
org.apache.tools.ant.taskdefs.optional.net.FTP;613;22;36;0.9535;0;7.0;167
org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool;41;0;14;0.0000;0;0.0;14
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask;161;9;7;0.8791;0;8.0;40
org.apache.tools.ant.util.XmlConstants;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.condition.IsFalse;9;2;1;0.0000;0;0.0;4
org.apache.tools.zip.ZipFile;164;9;9;0.9145;0;8.0;28
org.apache.tools.ant.util.GlobPatternMapper;33;4;6;0.6667;0;0.0;9
org.apache.tools.ant.types.optional.AbstractScriptComponent;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ReplaceRegExp;241;9;8;0.8125;0;7.0;59
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmtype;104;5;13;0.9701;0;0.0;29
org.apache.tools.ant.DirectoryScanner;549;43;21;0.9486;0;0.0;162
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck;75;5;6;0.9000;0;1.0;25
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask;244;12;14;0.9600;0;7.0;69
org.apache.tools.ant.taskdefs.optional.ejb.WLStop;45;3;6;0.8333;0;1.0;13
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;279;16;23;0.9156;0;33.0;66
org.apache.tools.ant.taskdefs.optional.ssh.SSHUserInfo;60;7;6;0.9118;0;0.0;19
org.apache.tools.ant.taskdefs.Copy;319;12;21;0.9349;0;6.0;97
org.apache.tools.ant.taskdefs.optional.jsp.JspNameMangler;62;5;1;1.0000;0;0.0;14
org.apache.tools.ant.taskdefs.optional.perforce.P4Add;47;5;5;0.8500;0;3.0;14
org.apache.tools.ant.input.DefaultInputHandler;52;3;0;0.0000;0;3.0;10
org.apache.tools.ant.types.resources.selectors.InstanceOf;0;0;0;0;0;0;0
org.apache.tools.ant.util.Retryable;0;0;0;0;0;0;0
