Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.lucene.index.TermInfosReader.get(Term);org.apache.lucene.index.Term;2;3;3;0.7391;88;11;8;1;0;0.9474;36;6;2
org.apache.lucene.queryParser.QueryParserTokenManager.jjFillToken();org.apache.lucene.queryParser.CharStream;1;0;3;0.9623;817;32;19;5;0;0.7500;12;12;0
org.apache.lucene.index.DocumentWriter.writePostings(Posting[], String);org.apache.lucene.index.TermInfosWriter;1;0;2;0.9200;173;7;9;2;0;0.9167;52;5;9
org.apache.lucene.index.DocumentWriter.writePostings(Posting[], String);org.apache.lucene.store.OutputStream;1;0;2;0.9200;173;7;9;3;0;0.8846;69;14;4
org.apache.lucene.index.MultiTermPositions.nextPosition();org.apache.lucene.index.TermPositions;0;0;0;1.0000;9;2;0;0;0;1.0000;1;1;0
org.apache.lucene.index.SegmentReader.getTermFreqVector(int, String);org.apache.lucene.index.FieldInfos;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.SegmentMergeQueue.close();org.apache.lucene.index.SegmentMergeInfo;0;0;0;1.0000;13;2;0;1;0;0.9091;30;2;6
org.apache.lucene.search.ParallelMultiSearcher.rewrite(Query);org.apache.lucene.search.Searchable;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.TermVectorsWriter.writeDoc();org.apache.lucene.store.OutputStream;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.TermScorer.skipTo(int);org.apache.lucene.index.TermDocs;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.IndexReader.delete(Term);org.apache.lucene.index.TermDocs;0;2;0;0.9286;130;34;3;3;0;0.7000;8;8;0
org.apache.lucene.search.spans.NearSpans.min();org.apache.lucene.util.PriorityQueue;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.document.Document.getValues(String);org.apache.lucene.document.Field;1;1;0;0.9000;57;7;2;0;1;0.9091;64;7;7
org.apache.lucene.index.SegmentReader.maxDoc();org.apache.lucene.index.FieldsReader;1;0;1;0.9706;175;23;11;0;1;0.8750;27;2;4
org.apache.lucene.index.IndexReader.open(Directory, boolean);org.apache.lucene.index.IndexWriter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.ParallelMultiSearcher.search(Query, Filter, int);org.apache.lucene.util.PriorityQueue;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.DocumentWriter.writeNorms(Document, String);org.apache.lucene.index.FieldInfos;1;0;5;0.7826;173;7;9;1;0;0.9643;73;12;2
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager.getNextToken();org.apache.lucene.analysis.standard.CharStream;1;2;6;0.7667;825;16;30;6;0;0.6842;12;12;0
org.apache.lucene.search.PhraseScorer.skipTo(int);org.apache.lucene.search.PhrasePositions;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.TermInfosReader.close();org.apache.lucene.index.SegmentTermEnum;0;0;1;0.9500;88;11;8;1;0;0.9565;72;11;10
org.apache.lucene.index.MultipleTermPositions.next();org.apache.lucene.index.TermPositions;1;0;4;0.8333;54;7;4;1;0;0.9412;1;1;0
org.apache.lucene.index.SegmentTermPositions.skipProx(long);org.apache.lucene.store.InputStream;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.IndexWriter.docCount();org.apache.lucene.index.SegmentInfo;1;0;1;0.9697;217;17;16;0;1;0.8333;5;0;3
org.apache.lucene.index.FieldsWriter.addDocument(Document);org.apache.lucene.document.Field;1;0;3;0.8125;30;2;3;0;4;0.8000;64;7;7
org.apache.lucene.index.TermInfosReader.get(Term);org.apache.lucene.index.SegmentTermEnum;2;3;3;0.7391;88;11;8;0;3;0.8966;72;11;10
