Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.lucene.search.Query;53;9;1;0.9000;0;1.0;15
org.apache.lucene.index.MultiReader;139;20;6;0.7101;0;0.0;45
org.apache.lucene.analysis.PerFieldAnalyzerWrapper;13;2;2;0.5000;0;0.0;4
org.apache.lucene.analysis.ru.RussianCharsets;27;1;3;0.0000;0;0.0;16
org.apache.lucene.index.TermEnum;11;5;0;0.0000;0;0.0;6
org.apache.lucene.search.ScoreDoc;4;0;2;0.0000;0;0.0;1
org.apache.lucene.search.BooleanScorer;69;8;10;0.9000;1;0.0;25
org.apache.lucene.index.MultipleTermPositions;54;7;4;0.8056;0;1.0;17
org.apache.lucene.index.TermInfosReader;91;12;8;0.7885;0;7.0;42
org.apache.lucene.index.Term;36;6;2;0.2778;0;0.0;13
org.apache.lucene.search.PhraseQuery;55;6;3;0.5833;0;2.0;18
org.apache.lucene.search.SortComparator;0;0;0;0;0;0;0
org.apache.lucene.search.FieldDoc;7;0;1;1.0000;0;0.0;2
org.apache.lucene.search.QueryFilter;25;1;2;0.5000;0;0.0;4
org.apache.lucene.analysis.standard.FastCharStream;71;12;6;0.7564;0;0.0;20
org.apache.lucene.search.HitCollector;1;1;0;0.0000;0;0.0;1
org.apache.lucene.document.Document;57;7;2;0.7222;0;2.0;20
org.apache.lucene.search.Hits;92;7;10;0.8222;0;9.0;24
org.apache.lucene.analysis.PorterStemmer;406;24;8;0.7692;0;0.0;180
org.apache.lucene.queryParser.QueryParser;780;33;36;0.9425;2;35.0;257
org.apache.lucene.analysis.ru.RussianLetterTokenizer;11;1;1;0.0000;0;0.0;5
org.apache.lucene.search.SortField;25;0;11;1.0000;0;0.0;9
org.apache.lucene.index.FieldInfos;109;15;2;0.9063;0;7.0;30
org.apache.lucene.queryParser.Token;9;1;8;1.8750;0;0.0;3
org.apache.lucene.search.spans.SpanFirstQuery;54;4;2;0.5000;0;0.0;11
org.apache.lucene.index.SegmentInfo;5;0;3;0.0000;0;0.0;1
org.apache.lucene.search.FuzzyQuery;9;2;0;0.0000;0;0.0;3
org.apache.lucene.search.Searchable;9;9;0;0.0000;0;0.0;9
org.apache.lucene.index.TermVectorsReader;127;6;5;0.6857;0;6.0;29
org.apache.lucene.search.WildcardQuery;6;1;0;0.0000;0;0.0;2
org.apache.lucene.analysis.standard.ParseException;98;2;5;0.7000;1;5.0;27
org.apache.lucene.analysis.standard.StandardAnalyzer;13;1;2;0.7500;0;0.0;3
org.apache.lucene.index.CompoundFileReader;81;11;5;0.8154;0;1.0;23
org.apache.lucene.analysis.standard.StandardTokenizerConstants;0;0;17;0.0000;0;0.0;0
org.apache.lucene.index.SegmentMergeInfo;30;2;6;0.6667;0;0.0;7
org.apache.lucene.search.ConjunctionScorer;72;10;4;0.7250;0;0.0;23
org.apache.lucene.index.DocumentWriter;221;7;10;0.7714;0;15.0;54
