Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.catalina.connector.InputBuffer.read(char[], int, int);org.apache.tomcat.util.res.StringManager;2;0;3;0.9412;210;19;17;0;0;1.0000;36;3;3
org.apache.catalina.ha.tcp.ReplicationValve.resetDeltaRequest(Session);org.apache.catalina.Manager;1;0;2;1.0000;283;17;17;1;0;0.9744;34;34;0
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator.handleOtherToken(MemberImpl, CoordinationMessage, Member, Membership);org.apache.catalina.tribes.membership.Membership;0;1;0;0.9808;352;38;14;1;0;0.9583;136;11;6
org.apache.catalina.connector.Connector.createRequest();org.apache.catalina.connector.Request;1;0;0;1.0000;419;58;36;0;1;0.9942;1084;128;51
org.apache.jasper.runtime.HttpJspBase.getServletInfo();org.apache.jasper.compiler.Localizer;0;0;0;1.0000;26;9;0;1;0;1.0000;34;6;1
org.apache.catalina.manager.StatusTransformer.writeOSState(PrintWriter, int);org.apache.tomcat.util.ExceptionUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.tribes.io.XByteBuffer.extractDataPackage(boolean);org.apache.catalina.tribes.io.BufferPool;0;3;4;0.8333;317;36;7;2;0;0.8750;37;4;4
org.apache.naming.resources.DirContextURLConnection.getHeaderValueAsString(Object);org.apache.tomcat.util.http.FastHttpDateFormat;0;0;0;1.0000;184;11;7;1;0;1.0000;85;6;8
org.apache.catalina.core.ApplicationContextFacade.getEffectiveMinorVersion();org.apache.catalina.core.ApplicationContext;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.startup.ContextConfig.applicationAnnotationsConfig();org.apache.catalina.core.StandardContext;1;0;1;0.9667;779;23;16;0;1;0.9968;2385;204;107
org.apache.tomcat.util.net.NioBlockingSelector.write(ByteBuffer, NioChannel, long, MutableInteger);org.apache.tomcat.util.MutableInteger;4;0;1;0.9474;111;4;4;0;1;0.9333;11;0;1
org.apache.catalina.session.PersistentManagerBase.removeSession(String);org.apache.juli.logging.Log;0;0;2;0.9773;431;33;13;1;0;0.9500;18;18;0
org.apache.catalina.tribes.transport.bio.BioSender.sendMessage(byte[], boolean);org.apache.juli.logging.Log;0;2;2;0.9167;148;9;7;2;0;0.9310;18;18;0
org.apache.coyote.http11.AbstractHttp11Protocol.setSoLinger(int);org.apache.tomcat.util.net.AbstractEndpoint;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.el.parser.ELParser.Integer();org.apache.el.parser.Token;4;1;1;0.9854;2195;111;22;0;1;0.9474;24;3;8
org.apache.catalina.mbeans.JmxRemoteLifecycleListener.lifecycleEvent(LifecycleEvent);org.apache.catalina.Lifecycle;1;3;11;0.0667;109;4;13;0;2;1.0000;5;5;9
