Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.catalina.mbeans.ContextResourceMBean;76;2;0;0.0000;0;5.0;21
org.apache.naming.ResourceEnvRef;21;1;1;1.0000;0;0.0;5
org.apache.tomcat.util.bcel.classfile.ConstantFloat;0;0;0;0;0;0;0
org.apache.catalina.valves.ErrorReportValve;129;4;2;1.0000;1;2.0;27
org.apache.tomcat.util.bcel.classfile.Field;0;0;0;0;0;0;0
org.apache.jasper.compiler.TldLocation;0;0;0;0;0;0;0
org.apache.catalina.realm.MemoryRuleSet;11;1;1;0.5000;0;0.0;3
org.apache.catalina.tribes.transport.bio.util.SingleRemoveSynchronizedAddLock;88;6;7;0.8061;0;0.0;28
org.apache.catalina.ha.session.SessionIDMessage;45;2;5;0.9091;0;0.0;12
org.apache.tomcat.util.bcel.classfile.AccessFlags;0;0;0;0;0;0;0
org.apache.catalina.deploy.FilterMap;174;8;22;0.9500;0;0.0;52
org.apache.tomcat.util.http.fileupload.FileItemHeadersSupport;0;0;0;0;0;0;0
org.apache.tomcat.util.digester.GenericParser;16;1;3;0.0000;0;1.0;3
org.apache.tomcat.util.bcel.classfile.ArrayElementValue;0;0;0;0;0;0;0
org.apache.tomcat.util.http.fileupload.DiskFileItemFactory;33;1;4;0.7813;0;1.0;10
org.apache.tomcat.util.digester.NodeCreateRule;44;2;2;0.8000;0;4.0;12
org.apache.tomcat.util.http.HttpMessages;42;2;5;1.0000;0;0.0;17
org.apache.catalina.ha.ClusterMessageBase;20;0;3;0.8333;0;0.0;7
org.apache.catalina.valves.CometConnectionManagerValve;133;11;6;0.7833;0;11.0;39
org.apache.catalina.startup.WebRuleSet;183;4;4;0.7000;0;3.0;6
org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource;77;3;7;0.9524;0;2.0;11
org.apache.tomcat.jni.FileInfo;0;0;17;0.0000;0;0.0;0
org.apache.naming.NamingEntry;16;2;7;1.1429;0;0.0;5
org.apache.tomcat.util.modeler.NotificationInfo;36;6;3;0.7333;0;0.0;7
org.apache.coyote.http11.Http11NioProcessor;953;29;38;0.9397;3;104.0;285
org.apache.tomcat.util.http.CookieSupport;0;0;0;0;0;0;0
org.apache.coyote.ajp.AjpAprProtocol;214;39;15;0.9267;1;18.0;68
org.apache.coyote.Constants;0;0;14;0.0000;0;0.0;0
org.apache.catalina.loader.WebappLoader;548;39;19;0.9310;1;11.0;161
org.apache.naming.TransactionRef;21;1;1;1.0000;0;0.0;5
org.apache.tomcat.util.http.ValuesEnumerator;26;3;5;0.6000;0;1.0;6
org.apache.catalina.ha.session.ClusterManagerBase;23;4;0;0.0000;0;0.0;7
org.apache.jasper.util.Enumerator;35;2;1;0.5714;0;0.0;10
org.apache.catalina.filters.FilterBase;0;0;0;0;0;0;0
org.apache.tomcat.util.bcel.classfile.LineNumberTable;0;0;0;0;0;0;0
org.apache.catalina.manager.util.BaseSessionComparator;9;2;0;0.0000;0;0.0;6
org.apache.catalina.tribes.group.interceptors.StaticMembershipInterceptor;56;7;2;0.6250;0;2.0;19
org.apache.catalina.core.Constants;0;0;5;0.0000;0;0.0;0
org.apache.catalina.ha.session.JvmRouteSessionIDBinderListener;54;5;3;0.9444;0;5.0;21
org.apache.catalina.User;17;17;0;0.0000;0;0.0;17
org.apache.jasper.compiler.AntCompiler;158;3;3;0.6667;0;2.0;28
org.apache.catalina.valves.Constants;0;0;1;0.0000;0;0.0;0
org.apache.catalina.tribes.group.interceptors.MessageDispatch15Interceptor;53;7;6;0.8472;0;0.0;14
org.apache.catalina.connector.CoyoteAdapter;501;11;8;0.8977;3;64.0;137
org.apache.tomcat.util.http.fileupload.DiskFileItem;0;0;0;0;0;0;0
org.apache.catalina.mbeans.NamingResourcesMBean;138;9;2;0.7778;0;3.0;28
org.apache.tomcat.util.modeler.AttributeInfo;55;8;7;0.9451;0;0.0;19
org.apache.catalina.connector.CoyoteReader;102;12;4;0.8125;0;0.0;30
org.apache.catalina.session.PersistentManagerBase;420;33;13;0.9231;0;3.0;141
org.apache.el.parser.AstNull;9;2;0;0.0000;0;0.0;3
org.apache.jasper.compiler.Validator;65;3;0;0.0000;0;8.0;18
org.apache.jasper.el.JspMethodNotFoundException;3;0;0;0.0000;0;0.0;1
org.apache.naming.factory.OpenEjbFactory;19;1;1;0.0000;0;0.0;4
org.apache.tomcat.jni.Mmap;4;4;2;1.3333;0;0.0;4
org.apache.catalina.Engine;6;6;0;0.0000;0;0.0;6
org.apache.el.parser.AstDeferredExpression;15;4;0;0.0000;0;0.0;5
org.apache.tomcat.util.bcel.classfile.LocalVariableTable;0;0;0;0;0;0;0
org.apache.catalina.util.RequestUtil;183;13;1;1.0833;0;0.0;64
org.apache.tomcat.util.bcel.classfile.RuntimeVisibleParameterAnnotations;0;0;0;0;0;0;0
org.apache.tomcat.util.bcel.classfile.LocalVariable;0;0;0;0;0;0;0
org.apache.catalina.util.CharsetMapper;26;2;2;0.6667;0;0.0;7
org.apache.catalina.ssi.SSIMediator;190;16;13;0.9510;1;1.0;50
org.apache.el.parser.AstPlus;8;1;0;0.0000;0;0.0;2
org.apache.catalina.ant.jmx.JMXAccessorCondition;164;6;14;0.9470;0;0.0;57
org.apache.naming.ContextBindings;112;21;6;0.8417;0;0.0;36
org.apache.el.parser.AstTrue;6;1;0;0.0000;0;0.0;2
org.apache.jasper.JasperException;9;0;0;0.0000;0;0.0;3
org.apache.catalina.startup.SetNextNamingRule;25;2;2;0.0000;0;0.0;4
org.apache.el.parser.AstDiv;8;1;0;0.0000;0;0.0;2
org.apache.catalina.ha.authenticator.SingleSignOnMessage;76;2;16;0.9792;0;0.0;23
org.apache.jasper.compiler.TextOptimizer;5;1;0;0.0000;0;0.0;1
org.apache.jasper.runtime.ProtectedFunctionMapper;83;4;2;0.6250;0;0.0;13
org.apache.catalina.startup.Tool;86;2;6;0.8333;0;0.0;21
org.apache.catalina.Session;32;32;4;1.0323;0;0.0;32
org.apache.jasper.tagplugins.jstl.core.When;17;1;0;0.0000;0;0.0;3
org.apache.catalina.servlets.DefaultServlet;988;36;18;0.9460;1;13.0;261
org.apache.tomcat.util.bcel.classfile.PMGClass;0;0;0;0;0;0;0
org.apache.jasper.Options;28;28;0;0.0000;0;0.0;28
org.apache.tomcat.util.http.fileupload.IOUtils;0;0;0;0;0;0;0
org.apache.catalina.deploy.MessageDestinationRef;66;8;7;0.8776;0;0.0;19
org.apache.catalina.ha.session.DeltaRequest;179;15;15;0.8824;0;0.0;49
org.apache.catalina.core.ApplicationSessionCookieConfig;0;0;0;0;0;0;0
org.apache.jasper.compiler.ELNode;1;1;0;0.0000;0;0.0;1
org.apache.tomcat.util.buf.B2CConverter;39;4;7;0.8857;0;1.0;14
org.apache.catalina.mbeans.JmxRemoteLifecycleListener;123;4;16;0.9087;0;2.0;28
org.apache.catalina.startup.NamingRuleSet;31;1;1;0.5000;0;0.0;3
org.apache.catalina.ssi.SSIFilter;63;3;6;0.5000;1;1.0;14
org.apache.el.parser.AstDynamicExpression;15;4;0;0.0000;0;0.0;5
org.apache.catalina.ssi.SSIConditionalState;0;0;3;0.0000;0;0.0;0
