Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.argouml.uml.ui.UMLLinkMouseListener.mouseClicked(MouseEvent);org.argouml.ui.targetmanager.TargetManager;2;0;2;0.8000;30;5;3;1;1;0.9677;208;23;8
org.argouml.model.uml.CoreFactoryImpl.buildAttribute(Object, Object);org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.model.uml.CoreFactoryImpl.buildAssociation(MClassifier, boolean, MAggregationKind, MClassifier, boolean, MAggregationKind);org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.FindDialog.doGoToSelection();org.argouml.ui.TabResults;0;0;1;0.9714;282;20;19;1;0;0.9706;157;17;17
org.argouml.notation.Notation.finalize();org.argouml.application.api.Configuration;0;0;8;1.0000;333;65;13;1;0;1.0000;89;28;5
org.argouml.uml.diagram.state.ui.FigTransition.updateNameText();org.argouml.notation.NotationProvider4;1;0;0;1.0000;116;8;2;0;0;1.0000;5;5;0
org.argouml.model.uml.EventListenerList.remove(EventKey, MElementListener);org.argouml.model.uml.EventKey;1;1;1;0.8182;138;8;2;1;3;0.6667;42;3;3
org.argouml.uml.ui.foundation.core.ActionSetGeneralizableElementLeaf.actionPerformed(ActionEvent);org.argouml.uml.ui.UMLCheckBox2;3;0;0;1.0000;16;1;1;0;1;0.9286;44;11;2
org.argouml.model.uml.StateMachinesFactoryImpl.deleteStateMachine(Object);org.argouml.model.uml.NSUMLModelImplementation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.language.ui.LanguageComboBox.refresh();org.argouml.uml.generator.GeneratorManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.ui.foundation.core.UMLModelElementVisibilityRadioButtonPanel.buildModel();org.argouml.uml.ui.foundation.core.ActionSetModelElementVisibility;2;0;0;1.0000;21;1;1;0;3;1.0000;28;1;4
org.argouml.uml.cognitive.critics.CrMissingOperName.initWizard(Wizard);org.argouml.cognitive.ui.Wizard;4;0;0;1.0000;33;3;0;0;1;0.9600;73;16;5
org.argouml.uml.diagram.ui.DiagramNameDocument.targetRemoved(TargetEvent);org.argouml.ui.targetmanager.TargetEvent;0;1;0;0.9000;39;8;1;1;0;0.9000;44;5;6
org.argouml.cognitive.ui.GoListToOffenderToItem.getChildren(Object);org.argouml.cognitive.ListSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.generator.ParserDisplay.setReturnParameter(Object, Object);org.argouml.kernel.Project;3;0;0;1.0000;2004;52;8;0;0;1.0000;587;44;23
org.argouml.ui.explorer.rules.GoSummaryToAssociation.getRuleName();org.argouml.i18n.Translator;0;0;0;1.0000;17;3;0;1;0;1.0000;63;11;3
org.argouml.ui.GraphChangeAdapter.createElement(GraphModel, Object);org.argouml.uml.diagram.UMLMutableGraphSupport;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.ui.explorer.PerspectiveConfigurator.loadPerspectives();org.argouml.ui.explorer.PerspectiveManager;2;1;1;0.9459;281;12;23;1;1;0.9565;212;15;5
org.argouml.uml.cognitive.critics.CrMissingOperName.initWizard(Wizard);org.argouml.cognitive.ToDoItem;4;0;0;1.0000;33;3;0;0;1;0.9737;183;20;13
org.argouml.uml.generator.ui.ClassGenerationDialog.TableModelClassChecks.setTarget(List);org.argouml.uml.generator.ui.ClassGenerationDialog;4;3;2;0.6875;173;13;2;0;1;0.9444;193;6;7
