Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
com.android.internal.telephony.cat.RilMessageDecoder.processMessage(com.android.internal.telephony.cat.Message);com.android.internal.telephony.cat.CatLog;0;2;2;0.8;1.0;13;82;13
com.android.internal.telephony.gsm.GsmConnection.fakeHoldBeforeDial();com.android.internal.telephony.gsm.GsmCall;2;1;2;0.9803921568627451;0.8666666666666667;8;448;97
com.android.internal.telephony.gsm.GsmSMSDispatcher.dispatchMessage(com.android.internal.telephony.SmsMessageBase);com.android.internal.telephony.SmsMessageBase;2;0;8;1.0;0.9534883720930233;50;259;73
com.android.internal.telephony.cat.CommandParamsFactory.processDisplayText(com.android.internal.telephony.cat.CommandDetails, java.util.List<com.android.internal.telephony.cat.ComprehensionTlv>);com.android.internal.telephony.cat.CatLog;0;2;6;0.9333333333333333;1.0;34;575;13
com.android.internal.telephony.uicc.SIMRecords.resetRecords();com.android.internal.telephony.uicc.IccRecords;0;0;0;0;0
com.android.internal.telephony.cdma.CDMAPhone.init(com.android.internal.telephony.cdma.Context, com.android.internal.telephony.PhoneNotifier);com.android.internal.telephony.ServiceStateTracker;1;7;4;0.9539473684210527;0.9864864864864865;34;970;260
com.android.internal.telephony.cdma.CdmaServiceStateTracker.handleMessage(com.android.internal.telephony.cdma.Message);com.android.internal.telephony.ServiceStateTracker;5;19;5;0.8252427184466019;0.9555555555555556;171;1095;260
com.android.internal.telephony.cat.CommandParamsFactory.processLaunchBrowser(com.android.internal.telephony.cat.CommandDetails, java.util.List<com.android.internal.telephony.cat.ComprehensionTlv>);com.android.internal.telephony.cat.IconId;2;2;7;0.9333333333333333;0.8333333333333334;50;575;3
com.android.internal.telephony.RIL.writeSmsToSim(com.android.internal.telephony.Message, int, java.lang.String, java.lang.String);com.android.internal.telephony.RILRequest;4;3;1;0.9842931937172775;0.7272727272727273;11;2783;68
com.android.internal.telephony.cdma.CdmaCallTracker.handlePollCalls(com.android.internal.telephony.cdma.AsyncResult);com.android.internal.telephony.DriverCall;3;12;6;0.8777777777777778;0.9444444444444444;167;707;75
android.telephony.SmsMessage.getOriginatingAddress();com.android.internal.telephony.SmsMessageBase;1;0;1;1.0;0.9583333333333334;3;237;73
com.android.internal.telephony.gsm.GsmDataConnectionTracker.isApnTypeAvailable(java.lang.String);com.android.internal.telephony.ApnSetting;1;0;2;1.0;0.9565217391304348;13;1687;96
com.android.internal.telephony.test.SimulatedCommands.triggerHangupForeground();com.android.internal.telephony.test.SimulatedGsmCallState;1;0;2;1.0;0.9565217391304348;4;821;452
com.android.internal.telephony.cdma.CDMAPhone.setVoiceMailNumber(com.android.internal.telephony.cdma.Message, java.lang.String, java.lang.String);com.android.internal.telephony.uicc.IccRecords;0;0;0;0;0
com.android.internal.telephony.gsm.SimSmsInterfaceManager.setCellBroadcastActivation(boolean);com.android.internal.telephony.PhoneBase;1;4;2;0.8461538461538461;0.9938271604938271;15;182;617
com.android.internal.telephony.cat.CommandParamsFactory.processBIPClient(com.android.internal.telephony.cat.CommandDetails, java.util.List<com.android.internal.telephony.cat.ComprehensionTlv>);com.android.internal.telephony.cat.CommandDetails;1;2;6;0.9310344827586207;0.95;29;575;32
com.android.internal.telephony.gsm.GsmCallTracker.canConference();com.android.internal.telephony.gsm.GsmCall;1;0;2;1.0;0.9333333333333333;3;563;97
com.android.internal.telephony.sip.SipPhone.unhold();com.android.internal.telephony.Call;1;3;2;0.961038961038961;0.95;8;576;110
com.android.internal.telephony.cat.CommandParamsFactory.processSelectItem(com.android.internal.telephony.cat.CommandDetails, java.util.List<com.android.internal.telephony.cat.ComprehensionTlv>);com.android.internal.telephony.cat.IconId;2;3;7;0.925;0.9130434782608696;68;575;3
android.telephony.SmsMessage.getStatusOnIcc();com.android.internal.telephony.SmsMessageBase;1;0;1;1.0;0.9583333333333334;3;237;73
com.android.internal.telephony.RIL.setMute(boolean, com.android.internal.telephony.Message);com.android.internal.telephony.RILRequest;4;2;1;0.9895287958115183;0.7;7;2783;68
com.android.internal.telephony.cdma.CdmaCallTracker.acceptCall();com.android.internal.telephony.CallTracker;1;4;4;0.9384615384615385;0.9523809523809523;17;707;51
com.android.internal.telephony.cdma.CdmaSMSDispatcher.onReceive(com.android.internal.telephony.cdma.Context, com.android.internal.telephony.cdma.Intent);com.android.internal.telephony.SMSDispatcher;1;0;6;1.0;0.9859154929577465;58;287;676
com.android.internal.telephony.gsm.GsmCall.connectionDisconnected(com.android.internal.telephony.gsm.GsmConnection);com.android.internal.telephony.Call;2;1;1;0.9444444444444444;0.8947368421052632;14;97;110
com.android.internal.telephony.gsm.GSMPhone.dial(com.android.internal.telephony.UUSInfo, java.lang.String);com.android.internal.telephony.gsm.GsmMmiCode;5;2;3;0.984375;0.92;21;1023;844
com.android.internal.telephony.cdma.RuimSmsInterfaceManager.copyMessageToIccEf(byte[], byte[], int);com.android.internal.telephony.IccSmsInterfaceManager;1;4;3;0.8;0.9411764705882353;16;113;62
com.android.internal.telephony.cat.CommandParamsFactory.processBIPClient(com.android.internal.telephony.cat.CommandDetails, java.util.List<com.android.internal.telephony.cat.ComprehensionTlv>);com.android.internal.telephony.cat.TextMessage;3;2;6;0.9310344827586207;0.8333333333333334;29;575;31
com.android.internal.telephony.RIL.invokeOemRilRequestRaw(byte[], com.android.internal.telephony.Message);com.android.internal.telephony.RILRequest;4;2;2;0.9895287958115183;0.7;6;2783;68
com.android.internal.telephony.RIL.getIMEI(com.android.internal.telephony.Message);com.android.internal.telephony.RILRequest;3;2;1;0.9894736842105263;0.8;5;2783;68
com.android.internal.telephony.cdma.CDMALTEPhone.handleMessage(com.android.internal.telephony.cdma.Message);com.android.internal.telephony.SMSDispatcher;1;1;3;0.95;1.0;14;169;676
com.android.internal.telephony.cdma.SmsMessage.parseBroadcastSms();com.android.internal.telephony.cdma.sms.BearerData;3;0;4;1.0;0.925;13;551;1237
com.android.internal.telephony.uicc.IccCardProxy.updateIccAvailability();com.android.internal.telephony.uicc.UiccCardApplication;0;0;0;0;0
com.android.internal.telephony.gsm.GSMPhone.dispose();com.android.internal.telephony.gsm.GsmCallTracker;1;2;9;0.9848484848484849;0.9841269841269842;19;1023;563
com.android.internal.telephony.gsm.GsmSMSDispatcher.sendText(com.android.internal.telephony.gsm.PendingIntent, com.android.internal.telephony.gsm.PendingIntent, java.lang.String, java.lang.String, java.lang.String);com.android.internal.telephony.SmsMessageBase;2;0;3;1.0;0.9230769230769231;9;259;73
com.android.internal.telephony.sip.SipPhoneBase.notifyPhoneStateChanged();com.android.internal.telephony.PhoneBase;1;0;1;1.0;0.9936305732484076;3;285;617
com.android.internal.telephony.cdma.SmsMessage.isMwiDontStore();com.android.internal.telephony.cdma.sms.BearerData;1;0;1;1.0;0.972972972972973;3;551;1237
com.android.internal.telephony.gsm.GsmMmiCode.onSetComplete(com.android.internal.telephony.gsm.AsyncResult);com.android.internal.telephony.gsm.GSMPhone;2;10;2;0.8;0.9850746268656716;66;844;1023
com.android.internal.telephony.gsm.GsmMmiCode.onQueryComplete(com.android.internal.telephony.gsm.AsyncResult);com.android.internal.telephony.gsm.GSMPhone;1;8;1;0.8297872340425532;0.9923076923076923;34;844;1023
com.android.internal.telephony.test.ModelInterpreter.onCHLD(java.lang.String);com.android.internal.telephony.test.SimulatedGsmCallState;1;0;1;1.0;0.9583333333333334;13;319;452
com.android.internal.telephony.gsm.GSMPhone.getDataConnectionState(java.lang.String);com.android.internal.telephony.DataConnectionTracker;3;0;4;1.0;0.9811320754716981;35;1023;969
com.android.internal.telephony.gsm.GsmDataConnectionTracker.startAlarmForReconnect(com.android.internal.telephony.ApnContext, int);com.android.internal.telephony.DataConnectionTracker;0;2;4;0.9787234042553191;1.0;21;1687;969
com.android.internal.telephony.DataConnectionTracker.notifyDataConnection(java.lang.String);com.android.internal.telephony.PhoneBase;1;3;1;0.970873786407767;0.9937106918238994;8;969;617
com.android.internal.telephony.gsm.GsmDataConnectionTracker.cancelReconnectAlarm(com.android.internal.telephony.DataConnectionAc);com.android.internal.telephony.DataConnectionAc;2;0;3;1.0;0.9523809523809523;9;1687;270
com.android.internal.telephony.gsm.SmsCbHeader.getCmasUrgency();android.telephony.SmsCbCmasInfo;0;1;2;0.95;1.0;16;198;54
com.android.internal.telephony.gsm.GsmDataConnectionTracker.notifyDataConnection(java.lang.String);com.android.internal.telephony.PhoneBase;1;2;3;0.979381443298969;0.9938650306748467;10;1687;617
com.android.internal.telephony.gsm.GSMPhone.disableLocationUpdates();com.android.internal.telephony.ServiceStateTracker;1;0;1;1.0;0.9818181818181818;3;1023;260
com.android.internal.telephony.gsm.SimSmsInterfaceManager.disableCellBroadcastRange(int, int);com.android.internal.telephony.IntRangeManager;2;3;3;0.8846153846153846;0.8823529411764706;13;182;329
com.android.internal.telephony.sip.SipPhone.clearDisconnected();com.android.internal.telephony.sip.SipCallBase;1;3;2;0.9615384615384616;0.8888888888888888;9;576;16
com.android.internal.telephony.gsm.GSMPhone.onIncomingUSSD(int, java.lang.String);com.android.internal.telephony.gsm.GsmMmiCode;4;2;2;0.984251968503937;0.9607843137254902;28;1023;844
com.android.internal.telephony.cdma.CdmaConnection.processNextPostDialChar();com.android.internal.telephony.Connection;1;7;3;0.8771929824561404;0.9523809523809523;34;581;42
com.android.internal.telephony.cdma.CDMAPhone.dispose();com.android.internal.telephony.cdma.RuimSmsInterfaceManager;1;4;12;0.9743589743589743;0.9714285714285714;23;970;113
com.android.internal.telephony.gsm.GsmDataConnectionTracker.findReadyDataConnection(com.android.internal.telephony.ApnSetting);com.android.internal.telephony.DataConnectionAc;1;1;3;0.9895833333333334;0.9782608695652174;22;1687;270
com.android.internal.telephony.RIL.getSignalStrength(com.android.internal.telephony.Message);com.android.internal.telephony.RILRequest;3;2;1;0.9894736842105263;0.8;5;2783;68
com.android.internal.telephony.gsm.GsmDataConnectionTracker.startAlarmForReconnect(com.android.internal.telephony.ApnContext, int);com.android.internal.telephony.DataConnectionAc;1;2;4;0.9787234042553191;0.9777777777777777;21;1687;270
com.android.internal.telephony.uicc.AdnRecordCache.updateAdnBySearch(com.android.internal.telephony.uicc.AdnRecord, com.android.internal.telephony.uicc.AdnRecord, com.android.internal.telephony.uicc.Message, int, java.lang.String);com.android.internal.telephony.uicc.AdnRecordLoader;0;0;0;0;0
com.android.internal.telephony.gsm.GSMPhone.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccCardApplication;0;0;0;0;0
com.android.internal.telephony.gsm.GsmDataConnectionTracker.isDataPossible(java.lang.String);com.android.internal.telephony.DataConnectionTracker;1;2;2;0.9791666666666666;0.9907407407407407;15;1687;969
com.android.internal.telephony.RIL.dial(com.android.internal.telephony.Message, com.android.internal.telephony.UUSInfo, int, java.lang.String);com.android.internal.telephony.UUSInfo;3;2;2;0.9896907216494846;0.6666666666666667;17;2783;28
com.android.internal.telephony.gsm.GsmCallTracker.handleRadioNotAvailable();com.android.internal.telephony.CallTracker;1;0;1;1.0;0.9166666666666666;3;563;51
com.android.internal.telephony.uicc.IccCardProxy.setIccLockEnabled(boolean, com.android.internal.telephony.uicc.Message, java.lang.String);com.android.internal.telephony.uicc.UiccCardApplication;0;0;0;0;0
com.android.internal.telephony.RIL.conference(com.android.internal.telephony.Message);com.android.internal.telephony.RILRequest;3;2;1;0.9894736842105263;0.8;5;2783;68
com.android.internal.telephony.RIL.hangupConnection(com.android.internal.telephony.Message, int);com.android.internal.telephony.RILRequest;4;2;1;0.9895287958115183;0.7;8;2783;68
com.android.internal.telephony.sip.SipPhone.onConnectionEnded(com.android.internal.telephony.sip.SipPhone.SipConnection);com.android.internal.telephony.Call;3;1;3;0.9876543209876543;0.85;15;576;110
com.android.internal.telephony.RIL.setCallForward(com.android.internal.telephony.Message, int, int, int, int, java.lang.String);com.android.internal.telephony.RILRequest;4;2;1;0.9895287958115183;0.7;11;2783;68
com.android.internal.telephony.test.SimulatedCommands.shutdown();com.android.internal.telephony.BaseCommands;1;1;1;0.9935897435897436;0.9934640522875817;7;821;391
com.android.internal.telephony.gsm.GSMPhone.setRadioPower(boolean);com.android.internal.telephony.ServiceStateTracker;1;0;1;1.0;0.9818181818181818;3;1023;260
com.android.internal.telephony.gsm.SimSmsInterfaceManager.copyMessageToIccEf(byte[], byte[], int);com.android.internal.telephony.PhoneBase;1;4;3;0.8571428571428572;0.9939024390243902;16;182;617
com.android.internal.telephony.test.ModelInterpreter.switchActiveAndHeldOrWaiting();com.android.internal.telephony.test.SimulatedGsmCallState;1;0;1;1.0;0.9545454545454546;7;319;452
com.android.internal.telephony.cdma.SmsMessage.parseBroadcastSms();com.android.internal.telephony.cdma.sms.SmsEnvelope;2;0;4;1.0;0.8333333333333334;13;551;2
com.android.internal.telephony.cdma.CDMAPhone.getVoiceMailAlphaTag();com.android.internal.telephony.PhoneBase;1;0;1;1.0;0.9936305732484076;7;970;617
com.android.internal.telephony.sip.SipPhone.setState(com.android.internal.telephony.sip.State);com.android.internal.telephony.sip.SipCallBase;1;1;3;0.9879518072289156;0.9166666666666666;15;576;16
com.android.internal.telephony.gsm.SmsMessage.parsePdu(byte[]);com.android.internal.telephony.SmsMessageBase;2;5;1;0.8648648648648649;0.9310344827586207;21;585;73
com.android.internal.telephony.gsm.GsmServiceStateTracker.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccCardApplication;0;0;0;0;0
com.android.internal.telephony.cdma.SmsMessage.createPdu();com.android.internal.telephony.SmsMessageBase;1;0;4;1.0;0.9767441860465116;28;551;73
com.android.internal.telephony.gsm.GsmMmiCode.processCode();com.android.internal.telephony.gsm.GSMPhone;1;20;3;0.7222222222222222;0.9940119760479041;160;844;1023
com.android.internal.telephony.gsm.GsmServiceStateTracker.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccController;1;1;4;0.9863013698630136;0.9444444444444444;26;1034;106
com.android.internal.telephony.gsm.GsmDataConnectionTracker.isConnected();com.android.internal.telephony.DataConnectionTracker;1;0;2;1.0;0.9903846153846154;8;1687;969
com.android.internal.telephony.gsm.GsmConnection.proceedAfterWildChar(java.lang.String);com.android.internal.telephony.Connection;1;7;2;0.8793103448275862;0.9615384615384616;35;448;42
com.android.internal.telephony.cdma.CdmaConnection.hangup();com.android.internal.telephony.cdma.CdmaCallTracker;1;1;1;0.9814814814814815;0.9833333333333333;8;581;707
android.telephony.CellBroadcastMessage.isEtwsTestMessage();android.telephony.SmsCbEtwsInfo;1;0;2;1.0;0.9090909090909091;4;236;67
com.android.internal.telephony.gsm.GsmSMSDispatcher.handleBroadcastSms(com.android.internal.telephony.gsm.AsyncResult);com.android.internal.telephony.SMSDispatcher;2;2;4;0.9722222222222222;0.972972972972973;75;259;676
com.android.internal.telephony.PhoneProxy.deleteAndCreatePhone(int);com.android.internal.telephony.CallManager;2;1;3;0.9947089947089947;0.9841269841269842;26;669;857
com.android.internal.telephony.gsm.GsmDataConnectionTracker.createAllApnList();com.android.internal.telephony.PhoneBase;1;4;5;0.9595959595959596;0.9940119760479041;30;1687;617
com.android.internal.telephony.cdma.CDMAPhone.processIccRecordEvents(int);com.android.internal.telephony.PhoneBase;1;0;2;1.0;0.9935897435897436;10;970;617
com.android.internal.telephony.DataConnectionTracker.isEmergency();com.android.internal.telephony.PhoneBase;2;2;1;0.9904761904761905;0.9873417721518988;8;969;617
com.android.internal.telephony.cdma.CdmaSMSDispatcher.onReceive(com.android.internal.telephony.cdma.Context, com.android.internal.telephony.cdma.Intent);com.android.internal.telephony.SmsAddress;2;0;6;1.0;0.9047619047619048;58;287;12
com.android.internal.telephony.ServiceStateTracker.dispose();com.android.internal.telephony.uicc.UiccController;0;0;0;0;0
com.android.internal.telephony.gsm.GsmSMSDispatcher.calculateLength(boolean, java.lang.CharSequence);com.android.internal.telephony.gsm.SmsMessage;1;0;1;1.0;1.0;3;259;585
com.android.internal.telephony.cdma.CdmaCallTracker.hangup(com.android.internal.telephony.cdma.CdmaCall);com.android.internal.telephony.cdma.CdmaCall;2;6;4;0.9130434782608696;0.9310344827586207;36;707;100
com.android.internal.telephony.cdma.SmsMessage.parsePduFromEfRecord(byte[]);com.android.internal.telephony.cdma.sms.SmsEnvelope;8;2;5;0.9574468085106383;0.7037037037037037;109;551;2
com.android.internal.telephony.sip.SipPhone.onChanged(com.android.internal.telephony.sip.SipAudioCall);com.android.internal.telephony.Call;1;9;2;0.8974358974358975;0.9615384615384616;26;576;110
com.android.internal.telephony.gsm.UsimPhoneBookManager.updatePhoneAdnRecord();com.android.internal.telephony.uicc.AdnRecord;0;0;0;0;0
com.android.internal.telephony.PhoneSubInfoProxy.getIsimDomain();com.android.internal.telephony.PhoneSubInfo;1;0;1;1.0;0.9444444444444444;3;51;98
com.android.internal.telephony.cdma.CdmaDataConnectionTracker.onRadioOffOrNotAvailable();com.android.internal.telephony.PhoneBase;1;1;2;0.9821428571428571;0.99375;10;612;617
com.android.internal.telephony.gsm.SmsCbHeader.getCmasSeverity();android.telephony.SmsCbCmasInfo;0;1;2;0.95;1.0;16;198;54
com.android.internal.telephony.gsm.GsmServiceStateTracker.hangupAndPowerOff();com.android.internal.telephony.ServiceStateTracker;1;0;4;1.0;0.9827586206896551;8;1034;260
com.android.internal.telephony.cat.CatService.handleCommand(boolean, com.android.internal.telephony.cat.CommandParams);com.android.internal.telephony.cat.CatCmdMessage;0;4;10;0.90625;1.0;99;491;114
com.android.internal.telephony.cdma.CDMAPhone.getVoiceMessageCount();com.android.internal.telephony.uicc.IccRecords;0;0;0;0;0
