Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setPassword(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.getImportantForAccessibility(android.support.v4.view.View);android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.setMaxScrollX(int, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchResume();android.support.v4.app.Fragment;0;2;1;0.9883720930232558;1.0;4;1268;403
android.support.v4.app.FragmentManagerImpl.popBackStackState(android.support.v4.app.Handler, int, int, java.lang.String);android.support.v4.app.FragmentManager;0;2;2;0.978494623655914;1.0;58;1268;6
android.support.v4.view.AccessibilityDelegateCompat.newAccessiblityDelegateBridge(android.support.v4.view.AccessibilityDelegateCompat);android.support.v4.view.accessibility.AccessibilityNodeProviderCompat;0;0;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompat.onInitializeAccessibilityNodeInfo(android.support.v4.view.accessibility.AccessibilityNodeInfoCompat, android.support.v4.view.View, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.obtain();android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.restoreState(android.support.v4.app.Parcelable, java.lang.ClassLoader);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.getMaxScrollX(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.isEnabled(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentActivity.onCreate(android.support.v4.app.Bundle);android.support.v4.app.FragmentManagerImpl;3;3;1;0.9347826086956522;0.9659090909090909;16;368;1268
android.support.v4.view.AccessibilityDelegateCompat.onInitializeAccessibilityEvent(android.support.v4.view.AccessibilityEvent, android.support.v4.view.View, java.lang.Object);android.support.v4.view.AccessibilityDelegateCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.moveToState(boolean, int, int, int);android.support.v4.app.FragmentActivity;1;4;2;0.9545454545454546;0.9795918367346939;21;1268;368
android.support.v4.view.accessibility.AccessibilityRecordCompat.obtain();android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.isFocused(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.saveFragmentBasicState(android.support.v4.app.Fragment);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.dataSetChanged();android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.isAccessibilityFocused(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.start();android.support.v4.app.LoaderManager;1;8;1;0.813953488372093;1.0;24;358;3
android.support.v4.app.Fragment.setUserVisibleHint(boolean);android.support.v4.app.FragmentManagerImpl;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.setSource(android.support.v4.view.accessibility.View, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.BackStackRecord.getBreadCrumbShortTitle();android.support.v4.app.FragmentManagerImpl;0;2;1;0.9622641509433962;1.0;6;470;1268
android.support.v4.app.ListFragment.setListShown(boolean, boolean);android.support.v4.app.Fragment;0;4;1;0.8518518518518519;1.0;26;147;403
android.support.v4.app.LoaderManagerImpl.destroy();android.support.v4.app.LoaderManager;1;9;3;0.775;1.0;35;358;3
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.FragmentState;2;5;5;0.9615384615384616;0.9444444444444444;87;1268;67
android.support.v4.view.PagerTabStrip.onClick(android.support.v4.view.View);android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dump(java.io.FileDescriptor, java.io.PrintWriter, java.lang.String, java.lang.String[]);android.support.v4.app.BackStackRecord;1;13;2;0.8773584905660378;1.0;131;1268;470
android.support.v4.app.FragmentState.instantiate(android.support.v4.app.FragmentActivity);android.support.v4.app.FragmentActivity;0;10;2;0.6;1.0;23;67;368
android.support.v4.view.KeyEventCompat.metaStateHasModifiers(int, int);android.support.v4.view.KeyEventCompatHoneycomb;0;0;0;0;0;0;0;0
android.support.v4.view.MotionEventCompat.getY(android.support.v4.view.MotionEvent, int);android.support.v4.view.MotionEventCompatEclair;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.addChild(android.support.v4.view.accessibility.View, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.updateAdapter(android.support.v4.view.PagerAdapter, android.support.v4.view.PagerAdapter);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setEnabled(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentActivity.dump(java.io.FileDescriptor, java.io.PrintWriter, java.lang.String, java.lang.String[]);android.support.v4.app.LoaderManagerImpl;1;4;2;0.9215686274509804;1.0;27;368;358
android.support.v4.view.accessibility.AccessibilityRecordCompat.isChecked(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.saveFragmentInstanceState(android.support.v4.app.Fragment);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.performDrag(float);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.findFragmentByTag(java.lang.String);android.support.v4.app.Fragment;1;2;1;0.9775280898876404;0.9885057471264368;17;1268;403
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.isCheckable(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.NotificationCompat.build(android.support.v4.app.NotificationCompat.Builder);android.support.v4.app.NotificationCompatJellybean;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.setPrimaryItem(android.support.v4.app.ViewGroup, int, java.lang.Object);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.getActions(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewConfigurationCompat.getScaledPagingTouchSlop(android.support.v4.view.ViewConfiguration);android.support.v4.view.ViewConfigurationCompatFroyo;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentActivity.onConfigurationChanged(android.support.v4.app.Configuration);android.support.v4.app.FragmentManagerImpl;1;0;1;1.0;0.9882352941176471;4;368;1268
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setPackageName(java.lang.CharSequence, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.widget.EdgeEffectCompat.newEdgeEffect(android.support.v4.widget.Context);android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchPause();android.support.v4.app.Fragment;0;1;1;1.0;1.0;3;1268;403
android.support.v4.view.accessibility.AccessibilityRecordCompat.setMaxScrollY(int, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0;0;0
android.support.v4.app.Fragment.setHasOptionsMenu(boolean);android.support.v4.app.FragmentActivity;1;3;1;0.963855421686747;0.9782608695652174;8;403;368
android.support.v4.app.BackStackRecord.doAddOp(android.support.v4.app.Fragment, int, int, java.lang.String);android.support.v4.app.Fragment;3;2;2;0.9649122807017544;0.9647058823529412;23;470;403
android.support.v4.app.FragmentActivity.onLowMemory();android.support.v4.app.FragmentManagerImpl;1;0;1;1.0;0.9882352941176471;4;368;1268
android.support.v4.app.FragmentStatePagerAdapter.destroyItem(android.support.v4.app.ViewGroup, int, java.lang.Object);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setClassName(java.lang.CharSequence, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate();android.support.v4.app.FragmentActivity;1;3;1;0.9770114942528736;0.9782608695652174;5;1268;368
android.support.v4.app.DialogFragment.show(android.support.v4.app.FragmentManager, java.lang.String);android.support.v4.app.FragmentManager;1;0;2;1.0;1.0;5;170;6
android.support.v4.net.TrafficStatsCompat.untagSocket(java.net.Socket);android.support.v4.net.TrafficStatsCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchLowMemory();android.support.v4.app.Fragment;1;2;1;0.9772727272727273;0.9883720930232558;10;1268;403
android.support.v4.app.DialogFragment.onAttach(android.support.v4.app.Activity);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.hideFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;5;2;1;0.989010989010989;0.9404761904761905;17;1268;403
android.support.v4.app.FragmentManagerImpl.dispatchDestroy();android.support.v4.app.Fragment;0;2;1;0.9883720930232558;1.0;5;1268;403
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.getContentDescription(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.setFullScreen(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.moveToState(boolean, int, int, int);android.support.v4.app.LoaderManagerImpl;0;0;0;0;0;0;0;0
android.support.v4.net.TrafficStatsCompat.clearThreadStatsTag();android.support.v4.net.TrafficStatsCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.performAccessibilityAction(android.support.v4.view.Bundle, android.support.v4.view.View, int);android.support.v4.view.accessibility.AccessibilityNodeInfoCompat;0;0;0;0;0;0;0;0
android.support.v4.app.DialogFragment.onStart();android.support.v4.app.Fragment;1;2;1;0.92;0.9880952380952381;7;170;403
android.support.v4.app.TaskStackBuilder.getPendingIntent(android.support.v4.app.Bundle, int, int);android.support.v4.content.IntentCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.isLongClickable(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setBoundsInParent(android.support.v4.view.accessibility.Rect, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.onLoadComplete(android.support.v4.content.Loader<java.lang.Object>, java.lang.Object);android.support.v4.app.FragmentActivity;0;0;0;0;0;0;0;0
android.support.v4.app.Fragment.startActivity(android.support.v4.app.Intent);android.support.v4.app.FragmentActivity;1;0;1;1.0;0.9767441860465116;6;403;368
android.support.v4.view.AccessibilityDelegateCompat.dispatchPopulateAccessibilityEvent(android.support.v4.view.AccessibilityEvent, android.support.v4.view.View, java.lang.Object);android.support.v4.view.AccessibilityDelegateCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.setItemCount(int, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.setAccessibilityDelegate(android.support.v4.view.AccessibilityDelegateCompat, android.support.v4.view.View);android.support.v4.view.AccessibilityDelegateCompat;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.performAccessibilityAction(android.support.v4.view.Bundle, android.support.v4.view.View, int);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.net.TrafficStatsCompat.getThreadStatsTag();android.support.v4.net.TrafficStatsCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.populate(int);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilder.addParentStack(java.lang.Class<?>);android.support.v4.app.NavUtils;0;0;0;0;0;0;0;0
android.support.v4.app.ShareCompat.escapeHtml(java.lang.CharSequence);android.support.v4.app.ShareCompatJB;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.getContentDescription(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.Fragment.performReallyStop();android.support.v4.app.FragmentActivity;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.removeFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;6;4;1;0.9565217391304348;0.9310344827586207;16;1268;403
android.support.v4.app.FragmentActivity.onRetainNonConfigurationInstance();android.support.v4.app.LoaderManagerImpl;2;7;2;0.8571428571428572;0.9574468085106383;28;368;358
android.support.v4.view.accessibility.AccessibilityManagerCompat.addAccessibilityStateChangeListener(android.support.v4.view.accessibility.AccessibilityManager, android.support.v4.view.accessibility.AccessibilityManagerCompat.AccessibilityStateChangeListenerCompat);android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.onInterceptTouchEvent(android.support.v4.view.MotionEvent);android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.setImportantForAccessibility(android.support.v4.view.View, int);android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.onInitializeAccessibilityNodeInfo(android.support.v4.view.accessibility.AccessibilityNodeInfoCompat, android.support.v4.view.View);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.onInitializeAccessibilityEvent(android.support.v4.view.AccessibilityEvent, android.support.v4.view.View);android.support.v4.view.ViewCompatICS;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.instantiateItem(android.support.v4.app.ViewGroup, int);android.support.v4.app.FragmentManager;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.isFullScreen(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.DialogFragment.onCreate(android.support.v4.app.Bundle);android.support.v4.app.Fragment;2;5;1;0.8076923076923077;0.9770114942528736;11;170;403
android.support.v4.view.accessibility.AccessibilityManagerCompat.getEnabledAccessibilityServiceList(android.support.v4.view.accessibility.AccessibilityManager, int);android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.infoForChild(android.support.v4.view.View);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.onAnimationEnd(android.support.v4.app.Animation);android.support.v4.app.Fragment;2;1;1;0.9885057471264368;0.9759036144578314;6;1268;403
android.support.v4.view.ViewPager.onTouchEvent(android.support.v4.view.MotionEvent);android.support.v4.widget.EdgeEffectCompat;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.initViewPager();android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityManagerCompat.getInstalledAccessibilityServiceList(android.support.v4.view.accessibility.AccessibilityManager);android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentPagerAdapter.finishUpdate(android.support.v4.app.ViewGroup);android.support.v4.app.FragmentManager;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.getPackageName(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.finishUpdate(android.support.v4.app.ViewGroup);android.support.v4.app.FragmentTransaction;0;0;0;0;0;0;0;0
android.support.v4.widget.EdgeEffectCompat.setSize(int, int, java.lang.Object);android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.destroyItem(android.support.v4.app.ViewGroup, int, java.lang.Object);android.support.v4.app.FragmentManager;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setParent(android.support.v4.view.accessibility.View, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.onRestoreInstanceState(android.support.v4.view.Parcelable);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTabStrip.updateTextPositions(boolean, float, int);android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompat.sendAccessibilityEvent(android.support.v4.view.View, int, java.lang.Object);android.support.v4.view.AccessibilityDelegateCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.widget.EdgeEffectCompat.onRelease(java.lang.Object);android.support.v4.widget.EdgeEffectCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setFocused(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.getScrollX(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentPagerAdapter.destroyItem(android.support.v4.app.ViewGroup, int, java.lang.Object);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.endFakeDrag();android.support.v4.view.VelocityTrackerCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityManagerCompat.removeAccessibilityStateChangeListener(android.support.v4.view.accessibility.AccessibilityManager, android.support.v4.view.accessibility.AccessibilityManagerCompat.AccessibilityStateChangeListenerCompat);android.support.v4.view.accessibility.AccessibilityManagerCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.BackStackRecord.dump(java.io.FileDescriptor, java.io.PrintWriter, java.lang.String, java.lang.String[]);android.support.v4.app.FragmentTransaction;0;17;1;0.7258064516129032;1.0;79;470;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.getSource(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.computeScroll();android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.getMaxScrollY(java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.setHasTransientState(android.support.v4.view.View, boolean);android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchCreate();android.support.v4.app.Fragment;0;2;1;0.9883720930232558;1.0;4;1268;403
android.support.v4.app.FragmentActivity.getLoaderManager(boolean, boolean, int);android.support.v4.app.LoaderManagerImpl;0;1;1;0.9777777777777777;1.0;16;368;358
android.support.v4.view.ViewPager.pageRight();android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.app.Fragment.performReallyStop();android.support.v4.app.LoaderManagerImpl;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.getText(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.makeActive(android.support.v4.app.Fragment);android.support.v4.app.Fragment;2;2;1;0.9782608695652174;0.9775280898876404;16;1268;403
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setMovementGranularities(int, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.setBeforeText(java.lang.CharSequence, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTabStrip.onClick(android.support.v4.view.View);android.support.v4.view.ViewPager;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.LoaderManagerImpl;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.setAccessibilityDelegate(android.support.v4.view.AccessibilityDelegateCompat, android.support.v4.view.View);android.support.v4.view.ViewCompatICS;0;0;0;0;0;0;0;0
android.support.v4.app.DialogFragment.show(android.support.v4.app.FragmentManager, java.lang.String);android.support.v4.app.FragmentTransaction;2;0;2;1.0;1.0;5;170;0
android.support.v4.view.ViewPager.smoothScrollTo(int, int, int);android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0
android.support.v4.app.NavUtils.getParentActivityIntent(android.support.v4.app.Activity);android.support.v4.app.NavUtilsJB;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTabStrip.getMinHeight();android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0;0;0
android.support.v4.view.AccessibilityDelegateCompat.getAccessibilityNodeProvider(android.support.v4.view.View, java.lang.Object);android.support.v4.view.AccessibilityDelegateCompatJellyBean;0;0;0;0;0;0;0;0
android.support.v4.app.ListFragment.ensureList();android.support.v4.app.Fragment;1;12;1;0.5714285714285714;0.9893617021276596;42;147;403
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getId(android.support.v4.accessibilityservice.AccessibilityServiceInfo);android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.LoaderManagerImpl.toString();android.support.v4.util.DebugUtils;0;0;1;1.0;1.0;9;358;18
android.support.v4.view.ViewPager.calculatePageOffsets(android.support.v4.view.ViewPager.ItemInfo, android.support.v4.view.ViewPager.ItemInfo, int);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.setToIndex(int, java.lang.Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.accessibilityservice.AccessibilityServiceInfoCompat.getSettingsActivityName(android.support.v4.accessibilityservice.AccessibilityServiceInfo);android.support.v4.accessibilityservice.AccessibilityServiceInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilder.addParentStack(android.support.v4.app.Activity);android.support.v4.app.NavUtils;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentState.instantiate(android.support.v4.app.FragmentActivity);android.support.v4.app.Fragment;10;10;2;0.6;0.9032258064516129;23;67;403
android.support.v4.view.ViewPager.draw(android.support.v4.view.Canvas);android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.completeScroll(boolean);android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setAccessibilityFocused(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.focusSearch(int, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0;0
android.support.v4.app.BackStackRecord.commitInternal(boolean);android.support.v4.app.FragmentManagerImpl;2;3;1;0.9454545454545454;0.9887640449438202;13;470;1268
android.support.v4.view.accessibility.AccessibilityEventCompat.appendRecord(android.support.v4.view.accessibility.AccessibilityEvent, java.lang.Object);android.support.v4.view.accessibility.AccessibilityEventCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setContentDescription(java.lang.CharSequence, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.ShareCompat.setHtmlText(java.lang.String);android.support.v4.content.IntentCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setChecked(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewCompat.getAccessibilityNodeProvider(android.support.v4.view.View);android.support.v4.view.ViewCompatJB;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.dispatchOptionsMenuClosed(android.support.v4.app.Menu);android.support.v4.app.Fragment;3;2;1;0.9777777777777777;0.9651162790697675;10;1268;403
android.support.v4.view.ViewPager.onTouchEvent(android.support.v4.view.MotionEvent);android.support.v4.view.ViewCompat;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setFocusable(boolean, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.initViewPager();android.support.v4.view.ViewConfigurationCompat;0;0;0;0;0;0;0;0
android.support.v4.app.ListFragment.onDestroyView();android.support.v4.app.Fragment;1;3;1;0.8928571428571429;0.9882352941176471;5;147;403
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.setSource(android.support.v4.view.accessibility.View, java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.run();android.support.v4.app.FragmentActivity;1;1;1;1.0;0.9772727272727273;3;1268;368
android.support.v4.app.FragmentManagerImpl.saveFragmentViewState(android.support.v4.app.Fragment);android.support.v4.app.Fragment;2;1;1;0.9885057471264368;0.9759036144578314;13;1268;403
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.getClassName(java.lang.Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.isViewFromObject(android.support.v4.app.View, java.lang.Object);android.support.v4.app.Fragment;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.onInitializeAccessibilityNodeInfo(android.support.v4.view.accessibility.AccessibilityNodeInfoCompat, android.support.v4.view.View);android.support.v4.view.accessibility.AccessibilityNodeInfoCompat;0;0;0;0;0;0;0;0
android.support.v4.app.ListFragment.setListAdapter(android.support.v4.app.ListAdapter);android.support.v4.app.Fragment;1;4;1;0.8571428571428572;0.9883720930232558;10;147;403
