Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.tools.ant.taskdefs.Sync.removeEmptyDirectories(boolean, java.io.File);org.apache.tools.ant.Project;0;1;2;1.0;1.0;21;184;743
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.execute();org.apache.tools.ant.types.Commandline;1;6;8;0.8529411764705882;0.9824561403508771;39;88;273
org.apache.tools.ant.taskdefs.optional.sos.SOS.run(org.apache.tools.ant.types.Commandline);org.apache.tools.ant.types.Commandline;1;0;5;1.0;0.9696969696969697;13;182;273
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createClasspath();org.apache.tools.ant.ProjectComponent;0;0;2;1.0;1.0;6;299;21
org.apache.tools.ant.taskdefs.UpToDate.eval();org.apache.tools.ant.types.AbstractFileSet;2;4;7;0.84;0.9743589743589743;35;93;365
org.apache.tools.ant.taskdefs.Javac.getSource();org.apache.tools.ant.ProjectComponent;0;0;0;0;0
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask.writeChangeLog(org.apache.tools.ant.taskdefs.cvslib.CVSEntry[]);org.apache.tools.ant.ProjectComponent;0;1;4;0.9473684210526316;1.0;18;160;21
org.apache.tools.ant.types.resources.ZipResource.setEntry(org.apache.tools.zip.ZipEntry);org.apache.tools.ant.types.Resource;5;0;3;1.0;0.8648648648648649;12;109;169
org.apache.tools.ant.taskdefs.MakeUrl.execute();org.apache.tools.ant.ProjectComponent;0;8;3;0.5789473684210527;1.0;29;119;21
org.apache.tools.ant.taskdefs.RecorderEntry.taskFinished(org.apache.tools.ant.BuildEvent);org.apache.tools.ant.BuildEvent;0;2;2;0.9642857142857143;1.0;4;142;43
org.apache.tools.ant.taskdefs.optional.ANTLR.run(java.lang.String[]);org.apache.tools.ant.Task;0;2;4;0.9333333333333333;1.0;22;211;161
org.apache.tools.ant.taskdefs.optional.ssh.Scp.execute();org.apache.tools.ant.Task;1;8;3;0.7307692307692308;1.0;35;194;161
org.apache.tools.ant.taskdefs.Definer.addDefinition(java.lang.ClassLoader, java.lang.String, java.lang.String);org.apache.tools.ant.Project;0;5;8;0.8780487804878049;1.0;48;313;743
org.apache.tools.ant.types.resources.selectors.Size.isSelected(org.apache.tools.ant.types.Resource);org.apache.tools.ant.types.Comparison;1;1;2;0.8;0.75;4;16;15
