Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
com.hp.hpl.jena.ontology.impl.OWLProfile.EQUIVALENT_PROPERTY();com.hp.hpl.jena.vocabulary.OWL;0;0;1;1.0;1.0;3;248;3
com.hp.hpl.jena.ontology.impl.MaxCardinalityRestrictionImpl.setMaxCardinality(int);com.hp.hpl.jena.rdf.model.impl.ResourceImpl;1;0;2;1.0;0.9811320754716981;3;27;222
com.hp.hpl.jena.reasoner.rulesys.OWLFBRuleReasonerFactory.getCapabilities();com.hp.hpl.jena.vocabulary.RDFS;0;1;4;0.8333333333333334;1.0;8;28;9
com.hp.hpl.jena.graph.query.Pattern.asTripleMatch(com.hp.hpl.jena.graph.query.Domain);com.hp.hpl.jena.graph.query.Element;1;0;2;1.0;0.75;3;14;18
com.hp.hpl.jena.graph.impl.SimpleReifier.remove(com.hp.hpl.jena.graph.Node, com.hp.hpl.jena.graph.Triple);com.hp.hpl.jena.graph.Triple;1;3;1;0.90625;0.9615384615384616;7;143;100
com.hp.hpl.jena.datatypes.xsd.impl.XSDDouble.checkWhitespace(java.lang.String);com.hp.hpl.jena.shared.impl.JenaParameters;0;0;1;1.0;1.0;7;37;0
com.hp.hpl.jena.rdf.model.impl.ContainerImpl.isAlt();com.hp.hpl.jena.vocabulary.RDF;0;1;1;0.9666666666666667;1.0;3;149;12
com.hp.hpl.jena.ontology.impl.OntModelImpl.getSubGraphs();com.hp.hpl.jena.graph.compose.Polyadic;1;0;1;1.0;0.9333333333333333;3;1011;80
com.hp.hpl.jena.ontology.impl.OntClassImpl.asRestriction();com.hp.hpl.jena.enhanced.EnhNode;1;0;1;1.0;0.9230769230769231;3;374;59
com.hp.hpl.jena.ontology.impl.RestrictionImpl.convertToMinCardinalityRestriction(int);com.hp.hpl.jena.ontology.impl.OntResourceImpl;2;0;3;1.0;0.9913793103448276;4;93;644
com.hp.hpl.jena.mem.StoreTripleIterator.remove();com.hp.hpl.jena.mem.TrackingTripleIterator;0;1;2;0.8571428571428572;1.0;7;14;6
com.hp.hpl.jena.datatypes.xsd.XSDDuration.getHours();com.hp.hpl.jena.datatypes.xsd.AbstractDateTime;1;0;1;1.0;0.9166666666666666;3;161;181
com.hp.hpl.jena.reasoner.rulesys.FBRuleInfGraph.resetTGCCache();com.hp.hpl.jena.vocabulary.ReasonerVocabulary;0;0;3;1.0;1.0;8;481;15
com.hp.hpl.jena.graph.compose.Delta.performDelete(com.hp.hpl.jena.graph.Triple);com.hp.hpl.jena.graph.compose.Dyadic;2;0;1;1.0;0.7142857142857143;4;28;21
com.hp.hpl.jena.graph.impl.SimpleReifierFragmentsMap.makeSelectors();com.hp.hpl.jena.vocabulary.RDF;0;4;2;0.84;1.0;8;106;12
com.hp.hpl.jena.reasoner.rulesys.impl.BindingVector.getBinding(com.hp.hpl.jena.graph.Node);com.hp.hpl.jena.graph.Node;1;2;3;0.875;0.9714285714285714;32;222;133
