Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.catalina.connector.InputBuffer.read(char[], int, int);org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.tomcat.util.bcel.classfile.Code.dump(java.io.DataOutputStream);org.apache.tomcat.util.bcel.classfile.Attribute;0;0;0;0;0
org.apache.catalina.ha.authenticator.ClusterSingleSignOn.deregisterLocal(java.lang.String);org.apache.catalina.authenticator.SingleSignOn;1;0;1;1.0;0.9565217391304348;3;149;187
org.apache.catalina.core.StandardWrapperValve.exception(java.lang.Throwable, org.apache.catalina.connector.Request, org.apache.catalina.connector.Response);org.apache.catalina.connector.Response;1;0;3;1.0;0.9880952380952381;4;349;587
org.apache.tomcat.util.modeler.Registry.findManagedBeans(java.lang.String);org.apache.tomcat.util.modeler.ManagedBean;2;1;1;0.9811320754716981;0.9512195121951219;15;486;255
org.apache.catalina.mbeans.ConnectorMBean.setAttribute(javax.management.Attribute);org.apache.tomcat.util.modeler.BaseModelMBean;1;0;2;1.0;0.972972972972973;16;35;315
org.apache.catalina.connector.Connector.createRequest();org.apache.catalina.connector.Request;0;0;1;1.0;1.0;5;460;1041
org.apache.jasper.runtime.HttpJspBase.getServletInfo();org.apache.jasper.compiler.Localizer;0;0;1;1.0;1.0;3;25;34
org.apache.catalina.session.PersistentManagerBase.load();org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.jasper.compiler.JspDocumentParser.endElement(java.lang.String, java.lang.String, java.lang.String);org.apache.jasper.compiler.Localizer;0;0;0;0;0
org.apache.catalina.tribes.io.XByteBuffer.extractDataPackage(boolean);org.apache.catalina.tribes.io.BufferPool;1;4;1;0.8260869565217391;1.0;16;317;41
org.apache.catalina.realm.RealmBase.hasResourcePermission(org.apache.catalina.connector.Request, org.apache.catalina.connector.Response, org.apache.catalina.Context, org.apache.catalina.deploy.SecurityConstraint[]);org.apache.catalina.deploy.SecurityConstraint;3;2;7;0.9864864864864865;0.9230769230769231;90;691;146
org.apache.catalina.core.ApplicationContextFacade.getEffectiveMinorVersion();org.apache.catalina.core.ApplicationContext;0;0;0;0;0
org.apache.catalina.startup.ContextConfig.applicationAnnotationsConfig();org.apache.catalina.core.StandardContext;1;1;2;0.967741935483871;0.9964664310954063;8;778;2342
org.apache.tomcat.util.http.MimeHeaders.getValue(java.lang.String);org.apache.tomcat.util.http.MimeHeaderField;0;2;2;0.9047619047619048;1.0;8;129;13
org.apache.catalina.core.StandardContext.setClearReferencesStatic(boolean);org.apache.catalina.core.ContainerBase;0;0;0;0;0
org.apache.jasper.compiler.TagLibraryInfoImpl.createTagInfo(java.lang.String, org.apache.jasper.xmlparser.TreeNode);org.apache.jasper.JspCompilationContext;1;3;5;0.9393939393939394;0.9863013698630136;86;526;420
org.apache.catalina.ha.authenticator.ClusterSingleSignOn.startInternal();org.apache.catalina.valves.ValveBase;0;0;0;0;0
org.apache.catalina.session.JDBCStore.setSessionDataCol(java.lang.String);org.apache.catalina.session.StoreBase;1;1;1;0.9824561403508771;0.9411764705882353;5;508;86
org.apache.catalina.ha.session.BackupManager.listSessionIdsFull();org.apache.catalina.session.ManagerBase;1;0;2;1.0;0.9887640449438202;9;146;492
org.apache.coyote.http11.AbstractHttp11Protocol.setSoLinger(int);org.apache.tomcat.util.net.AbstractEndpoint;0;0;0;0;0
org.apache.jasper.compiler.ParserController.determineSyntaxAndEncoding(java.lang.String, java.lang.String, java.util.jar.JarFile);org.apache.jasper.compiler.JspConfig;2;8;5;0.7575757575757576;0.9555555555555556;75;276;322
org.apache.el.parser.ELParser.Integer();org.apache.el.parser.Token;1;1;3;0.9923076923076923;0.9230769230769231;17;2195;24
org.apache.jasper.runtime.PerThreadTagHandlerPool.init(javax.servlet.ServletConfig);org.apache.jasper.runtime.TagHandlerPool;1;6;2;0.6428571428571428;1.0;20;67;98
org.apache.catalina.core.ApplicationPart.getHeader(java.lang.String);org.apache.tomcat.util.http.fileupload.DiskFileItem;0;0;0;0;0
org.apache.catalina.connector.ResponseFacade.finish();org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.coyote.http11.Http11AprProtocol.createProcessor();org.apache.coyote.http11.AbstractHttp11Processor;0;0;0;0;0
org.apache.catalina.core.ApplicationContextFacade.setAttribute(java.lang.Object, java.lang.String);org.apache.catalina.core.ApplicationContext;1;1;2;1.0;1.0;8;315;376
org.apache.catalina.startup.ContextConfig.authenticatorConfig();org.apache.catalina.core.ContainerBase;2;3;3;0.9423076923076923;0.9826086956521739;78;778;645
org.apache.catalina.tribes.group.GroupChannel.setChannelReceiver(org.apache.catalina.tribes.ChannelReceiver);org.apache.catalina.tribes.group.ChannelCoordinator;1;0;1;1.0;0.95;3;314;156
org.apache.catalina.startup.RelativeOrderingRule.begin(java.lang.String, java.lang.String, org.xml.sax.Attributes);org.apache.tomcat.util.digester.Rule;0;0;0;0;0
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator.handleOtherToken(org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator.CoordinationMessage, org.apache.catalina.tribes.Member, org.apache.catalina.tribes.membership.MemberImpl, org.apache.catalina.tribes.membership.Membership);org.apache.catalina.tribes.membership.Membership;1;3;2;0.9682539682539683;0.9565217391304348;8;499;163
org.apache.catalina.core.StandardWrapperValve.event(org.apache.catalina.comet.CometEvent, org.apache.catalina.connector.Request, org.apache.catalina.connector.Response);org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.jasper.compiler.JDTCompiler.getContents();org.apache.jasper.JspCompilationContext;1;1;2;0.9565217391304348;0.984375;31;493;420
org.apache.jasper.compiler.JspReader.peekChar();org.apache.jasper.compiler.Mark;2;1;1;0.9696969696969697;0.8947368421052632;4;322;118
org.apache.coyote.http11.filters.VoidOutputFilter.doWrite(org.apache.coyote.Response, org.apache.tomcat.util.buf.ByteChunk);org.apache.tomcat.util.buf.ByteChunk;1;0;1;1.0;0.9782608695652174;3;16;426
org.apache.catalina.core.StandardContext.addChild(org.apache.catalina.Container);org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.catalina.users.MemoryRole.toString();org.apache.catalina.users.AbstractRole;2;0;1;1.0;0.7142857142857143;12;21;15
org.apache.catalina.connector.ResponseFacade.getContentType();org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.catalina.deploy.NamingResources.removeMessageDestinationRef(java.lang.String);org.apache.catalina.deploy.ResourceBase;0;0;0;0;0
org.apache.catalina.session.StandardManager.stopInternal();org.apache.catalina.util.LifecycleBase;0;0;0;0;0
org.apache.tomcat.util.bcel.classfile.Field.toString();org.apache.tomcat.util.bcel.classfile.Attribute;0;0;0;0;0
org.apache.catalina.core.ApplicationContextFacade.getNamedDispatcher(java.lang.String);org.apache.catalina.core.ApplicationContext;1;1;2;1.0;0.9743589743589743;8;315;376
org.apache.catalina.startup.Catalina.start();org.apache.juli.ClassLoaderLogManager;0;0;0;0;0
org.apache.el.parser.ELParser.ReInit(java.io.Reader);org.apache.el.parser.SimpleCharStream;1;4;3;0.9685039370078741;1.0;10;2195;257
org.apache.tomcat.util.bcel.classfile.PMGClass.getPMGName();org.apache.tomcat.util.bcel.classfile.ConstantUtf8;0;0;0;0;0
org.apache.tomcat.util.http.MimeHeaders.findHeader(int, java.lang.String);org.apache.tomcat.util.http.MimeHeaderField;0;2;2;0.9047619047619048;1.0;8;129;13
org.apache.coyote.http11.Http11AprProcessor.event(org.apache.coyote.http11.SocketStatus);org.apache.coyote.RequestInfo;1;4;7;0.9384615384615385;0.9705882352941176;31;936;134
org.apache.catalina.ha.session.DeltaManager.deserializeDeltaRequest(byte[], org.apache.catalina.ha.session.DeltaSession);org.apache.catalina.ha.session.ClusterManagerBase;1;0;4;1.0;0.875;12;828;23
org.apache.catalina.tribes.membership.Membership.memberAlive(org.apache.catalina.tribes.membership.MemberImpl);org.apache.catalina.tribes.membership.MemberImpl;6;5;1;0.8148148148148149;0.8604651162790697;20;163;300
org.apache.catalina.core.StandardContext.removeServletMapping(java.lang.String);org.apache.tomcat.util.http.mapper.Mapper;1;1;2;0.9965034965034965;0.9782608695652174;12;2342;792
org.apache.catalina.connector.OutputBuffer.setConverter();org.apache.catalina.Globals;0;4;2;0.9;1.0;26;210;0
org.apache.coyote.http11.InternalAprOutputBuffer.sendAck();org.apache.coyote.http11.AbstractOutputBuffer;0;0;0;0;0
org.apache.catalina.mbeans.ServerLifecycleListener.destroyMBeans(org.apache.catalina.deploy.NamingResources);org.apache.catalina.deploy.NamingResources;4;3;2;0.9230769230769231;0.9215686274509804;19;568;332
org.apache.catalina.servlets.DefaultServlet.copy(java.lang.String, java.util.Iterator<org.apache.catalina.servlets.DefaultServlet.Range>, javax.servlet.ServletOutputStream, org.apache.naming.resources.CacheEntry);org.apache.naming.resources.Resource;1;5;2;0.9152542372881356;0.9285714285714286;18;997;23
org.apache.catalina.tribes.transport.bio.BioReceiver.bind();org.apache.catalina.tribes.transport.ReceiverBase;3;1;1;0.9090909090909091;0.9661016949152542;4;94;359
org.apache.catalina.core.ApplicationContextFacade.getInitParameter(java.lang.String);org.apache.catalina.core.ApplicationContext;1;1;2;1.0;0.9743589743589743;8;315;376
org.apache.coyote.http11.Http11NioProcessor.prepareResponse();org.apache.tomcat.util.http.FastHttpDateFormat;0;10;8;0.8795180722891567;1.0;96;935;86
org.apache.catalina.loader.WebappLoader.setClassPath();org.apache.catalina.core.StandardContext;1;3;2;0.9565217391304348;0.9966329966329966;47;554;2342
org.apache.catalina.startup.Bootstrap.createClassLoader(java.lang.ClassLoader, java.lang.String);org.apache.catalina.startup.CatalinaProperties;0;0;2;1.0;1.0;66;240;66
org.apache.coyote.http11.Http11AprProtocol.setSSLVerifyDepth(int);org.apache.tomcat.util.net.AprEndpoint;1;0;1;1.0;0.9914529914529915;3;536;647
org.apache.catalina.startup.SetParentClassLoaderRule.begin(java.lang.String, java.lang.String, org.xml.sax.Attributes);org.apache.tomcat.util.digester.Rule;0;1;2;0.8571428571428572;1.0;5;8;39
org.apache.catalina.realm.RealmBase.hasResourcePermission(org.apache.catalina.connector.Request, org.apache.catalina.connector.Response, org.apache.catalina.Context, org.apache.catalina.deploy.SecurityConstraint[]);org.apache.catalina.realm.Constants;0;2;7;0.9864864864864865;1.0;90;691;0
org.apache.catalina.core.StandardService.removeConnector(org.apache.catalina.connector.Connector);org.apache.tomcat.util.res.StringManager;0;0;0;0;0
org.apache.catalina.users.MemoryUserDatabaseFactory.getObjectInstance(java.lang.Object, java.util.Hashtable<?,?>, javax.naming.Context, javax.naming.Name);org.apache.catalina.users.MemoryUserDatabase;0;0;0;0;0
org.apache.catalina.tribes.tipis.AbstractReplicatedMap.setKey(java.io.Serializable);org.apache.catalina.tribes.io.XByteBuffer;0;2;1;0.9791666666666666;1.0;9;960;317
org.apache.catalina.realm.RealmBase.startInternal();org.apache.tomcat.util.res.StringManager;0;0;0;0;0
