Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.argouml.uml.diagram.static_structure.ui.FigInterface.setBoundsImpl(int, int, int, int);org.argouml.uml.diagram.ui.FigNodeModelElement;6;2;1;0.9459459459459459;0.9358974358974359;37;388;781
org.argouml.uml.ui.behavior.use_cases.UMLUseCaseIncludeListModel.buildModelList();org.argouml.uml.ui.UMLModelElementListModel2;2;0;1;1.0;0.9047619047619048;3;9;197
org.argouml.ui.FindDialog.doGoToSelection();org.argouml.ui.TabResults;1;1;1;0.9722222222222222;0.9666666666666667;5;288;157
org.argouml.notation.Notation.finalize();org.argouml.application.api.Configuration;0;0;0;0;0;0;0;0
org.argouml.ui.StylePanel.targetRemoved(org.argouml.ui.targetmanager.TargetEvent);org.argouml.ui.targetmanager.TargetEvent;1;1;1;0.9375;0.9090909090909091;3;63;50
org.argouml.language.ui.LanguageComboBox.refresh();org.argouml.uml.generator.GeneratorManager;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.deployment.ui.FigComponent.getMinimumSize();org.argouml.uml.diagram.ui.FigNodeModelElement;2;0;1;1.0;0.9733333333333334;7;152;781
org.argouml.model.uml.CoreHelperImpl.getBehavioralFeatures(java.lang.Object);org.argouml.model.uml.NSUMLModelImplementation;1;0;1;1.0;0.9696969696969697;16;1930;120
org.argouml.uml.ui.behavior.use_cases.PropPanelExtend.actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.targetmanager.TargetManager;2;0;1;1.0;0.9607843137254902;14;39;352
org.argouml.uml.diagram.ui.ModeCreateCommentEdge.mousePressed(java.awt.event.MouseEvent);org.argouml.uml.diagram.ui.FigEdgeModelElement;0;0;0;0;0;0;0;0
org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSpecificationDocument.setProperty(java.lang.String);org.argouml.uml.ui.UMLPlainTextDocument;1;0;1;1.0;0.9411764705882353;5;14;85
org.argouml.kernel.Project.trashInternal(java.lang.Object);org.argouml.kernel.ProjectManager;1;7;6;0.9285714285714286;0.9772727272727273;49;620;113
org.argouml.ui.explorer.rules.GoSummaryToAssociation.getRuleName();org.argouml.i18n.Translator;0;0;1;1.0;1.0;3;17;88
org.argouml.ui.explorer.PerspectiveConfigurator.loadPerspectives();org.argouml.ui.explorer.PerspectiveManager;1;2;2;0.9591836734693877;0.9615384615384616;14;338;217
org.argouml.uml.ui.behavior.state_machines.UMLTransitionSourceListModel.isValidElement(java.lang.Object);org.argouml.uml.ui.UMLModelElementListModel2;1;0;1;1.0;0.9523809523809523;3;10;197
org.argouml.language.java.generator.OperationCodePiece.getText();org.argouml.language.java.generator.CodePiece;1;0;1;1.0;1.0;3;46;0
org.argouml.uml.reveng.ui.RESequenceDiagramDialog.getNewTarget(java.lang.Object);org.argouml.kernel.ProjectManager;0;0;0;0;0;0;0;0
org.argouml.model.uml.UmlModelEventPump.addModelEventListener(java.lang.Object, java.lang.Object, java.lang.String);org.argouml.model.uml.EventTreeDefinition;1;0;2;1.0;0.9;13;311;112
org.argouml.uml.ui.UMLComboBoxModel2.targetRemoved(org.argouml.ui.targetmanager.TargetEvent);org.argouml.ui.targetmanager.TargetEvent;2;2;1;0.9411764705882353;0.875;13;265;50
org.argouml.uml.ui.foundation.core.UMLClassifierParameterListModel.isValidElement(java.lang.Object);org.argouml.uml.ui.UMLModelElementListModel2;1;0;1;1.0;0.9545454545454546;3;25;197
org.argouml.uml.ui.behavior.state_machines.ActionSetContextStateMachine.actionPerformed(java.awt.event.ActionEvent);org.argouml.uml.ui.UMLComboBox2;0;0;0;0;0;0;0;0
org.argouml.uml.reveng.java.Modeller.addAnonymousClass(java.lang.String);org.argouml.uml.reveng.java.ParseState;1;3;2;0.96;0.9615384615384616;15;760;111
org.argouml.uml.ui.SaveGraphicsManager.setDefaultFilterBySuffix(java.lang.String);org.argouml.util.SuffixFilter;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.state.ui.FigState.setOwner(java.lang.Object);org.argouml.uml.diagram.ui.FigNodeModelElement;1;1;1;0.8333333333333334;0.9863013698630136;4;86;781
org.argouml.ui.ProjectBrowser.targetAdded(org.argouml.ui.targetmanager.TargetEvent);org.argouml.ui.targetmanager.TargetEvent;1;1;1;0.9722222222222222;0.9090909090909091;6;511;50
org.argouml.model.uml.UmlModelEventPump.addModelEventListener(java.lang.Object, java.lang.Object);org.argouml.model.uml.EventListenerHashMap;2;0;2;1.0;1.0;19;311;27
org.argouml.uml.diagram.static_structure.ui.FigComment.setOwner(java.lang.Object);org.argouml.uml.diagram.ui.FigNodeModelElement;0;0;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.CrSubclassReference.predicate2(java.lang.Object, org.argouml.cognitive.Designer);org.argouml.cognitive.critics.Critic;0;1;1;0.8333333333333334;1.0;7;57;276
org.argouml.util.QuotedStringSeparator.tokenLength();org.argouml.util.CustomSeparator;1;1;1;0.9090909090909091;0.8888888888888888;3;43;36
org.argouml.cognitive.ui.ToDoByPriority.toDoItemsAdded(org.argouml.cognitive.ToDoListEvent);org.argouml.cognitive.ui.ToDoPerspective;1;0;6;1.0;0.9411764705882353;30;88;43
org.argouml.uml.ui.behavior.collaborations.UMLAssociationRoleMessageListModel.buildModelList();org.argouml.uml.ui.UMLModelElementListModel2;2;0;1;1.0;0.9047619047619048;3;9;197
org.argouml.uml.ui.TabSrc.parseText(java.lang.String);org.argouml.ui.TabText;1;0;1;1.0;0.9375;8;52;85
org.argouml.uml.ui.behavior.state_machines.UMLTransitionGuardListModel.isValidElement(java.lang.Object);org.argouml.uml.ui.UMLModelElementListModel2;1;0;1;1.0;0.9523809523809523;3;10;197
org.argouml.uml.ui.foundation.core.ActionSetGeneralizationPowertype.actionPerformed(java.awt.event.ActionEvent);org.argouml.uml.ui.UMLComboBox2;1;0;1;1.0;0.9444444444444444;23;29;39
org.argouml.uml.diagram.deployment.ui.FigComponentInstance.setBoundsImpl(int, int, int, int);org.argouml.uml.diagram.ui.FigNodeModelElement;3;3;1;0.8571428571428572;0.9605263157894737;26;190;781
org.argouml.uml.diagram.sequence.ui.SequenceDiagramLayout.expandDiagram(int, int);org.argouml.uml.diagram.sequence.ui.FigClassifierRole;1;3;1;0.8333333333333334;0.9848484848484849;7;142;696
org.argouml.uml.reveng.java.Modeller.addOperation(java.lang.String, java.lang.String, java.lang.String, java.util.Vector, short);org.argouml.kernel.ProjectManager;1;8;4;0.8987341772151899;0.9836065573770492;63;760;113
org.argouml.uml.diagram.ui.ActionProperties.actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.ProjectBrowser;1;0;1;1.0;0.9714285714285714;5;18;511
org.argouml.uml.ui.foundation.core.PropPanelNamespace.addInterface();org.argouml.uml.ui.PropPanel;1;0;2;1.0;0.972972972972973;9;40;216
org.argouml.model.uml.UmlFactoryImpl.getCore();org.argouml.model.uml.NSUMLModelImplementation;1;0;1;1.0;0.9642857142857143;3;537;120
org.argouml.uml.ui.UMLExpressionBodyField.update();org.argouml.uml.ui.UMLExpressionModel2;1;0;1;1.0;0.9230769230769231;11;38;72
org.argouml.ui.ActionSaveConfiguration.actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.ProjectBrowser;1;0;2;1.0;0.9714285714285714;6;9;511
org.argouml.language.java.generator.GeneratorJava.generateTaggedValue(java.lang.Object);org.argouml.uml.generator.Generator2;2;0;1;1.0;0.8888888888888888;8;1140;165
org.argouml.uml.diagram.ui.FigOperationsCompartment.populate();org.argouml.uml.diagram.ui.FigFeaturesCompartment;1;0;4;1.0;0.9411764705882353;42;45;33
org.argouml.uml.cognitive.critics.WizMEName.canGoNext();org.argouml.cognitive.ui.Wizard;1;2;2;0.8181818181818181;0.9545454545454546;8;50;70
org.argouml.uml.notation.uml.TransitionNotationUml.toString();org.argouml.uml.notation.TransitionNotation;0;0;0;0;0;0;0;0
org.argouml.ui.explorer.ExplorerTree.myDoubleClick();org.argouml.ui.ProjectBrowser;0;0;0;0;0;0;0;0
org.argouml.model.uml.UmlHelperImpl.getDataTypes();org.argouml.model.uml.NSUMLModelImplementation;1;0;1;1.0;0.9642857142857143;3;123;120
org.argouml.model.uml.CollaborationsFactoryImpl.buildAssociationRole(java.lang.Object);org.argouml.model.uml.NSUMLModelImplementation;2;1;1;0.9722222222222222;0.9459459459459459;20;287;120
org.argouml.uml.diagram.ui.ActionAddExistingEdge.actionPerformed(java.awt.event.ActionEvent);org.argouml.kernel.Project;0;1;2;0.75;1.0;8;19;620
org.argouml.uml.ui.behavior.state_machines.PropPanelPseudostate.targetRemoved(org.argouml.ui.targetmanager.TargetEvent);org.argouml.uml.ui.PropPanel;0;0;0;0;0;0;0;0
org.argouml.application.StartCritics.run();org.argouml.application.api.Argo;0;0;10;1.0;1.0;35;35;29
org.argouml.uml.ui.foundation.core.UMLDiagramNameDocument.getProperty();org.argouml.kernel.Project;0;0;2;1.0;1.0;7;20;620
org.argouml.uml.diagram.ui.FigEdgeModelElement.makeCommentPort();org.argouml.uml.diagram.ui.FigNodeModelElement;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.state.ui.UMLStateDiagram.getNewDiagramName();org.argouml.kernel.Project;1;2;3;0.9523809523809523;0.9850746268656716;7;199;620
org.argouml.uml.diagram.static_structure.ui.FigClass.setAttributesVisible(boolean);org.argouml.uml.diagram.ui.FigFeaturesCompartment;1;2;2;0.9565217391304348;0.9375;34;634;33
org.argouml.uml.cognitive.critics.CrTooManyTransitions.predicate2(java.lang.Object, org.argouml.cognitive.Designer);org.argouml.cognitive.critics.Critic;0;0;2;1.0;1.0;11;18;276
org.argouml.uml.ui.behavior.collaborations.UMLClassifierRoleMultiplicityComboBoxModel.getSelectedModelElement();org.argouml.uml.ui.UMLComboBoxModel2;1;0;1;1.0;0.967741935483871;6;9;265
org.argouml.uml.cognitive.critics.CrNodeInstanceInsideElement.stillValid(org.argouml.cognitive.Designer, org.argouml.cognitive.ToDoItem);org.argouml.cognitive.ToDoItem;1;1;3;0.875;0.9696969696969697;8;45;211
org.argouml.uml.ui.behavior.use_cases.ActionNewUseCaseExtensionPoint.actionPerformed(java.awt.event.ActionEvent);org.argouml.uml.ui.AbstractActionNewModelElement;1;0;1;1.0;0.8;6;9;12
org.argouml.uml.reveng.java.Modeller.getAssociationEnd(java.lang.Object, java.lang.String);org.argouml.uml.reveng.java.ParseState;1;1;1;0.9821428571428571;0.967741935483871;15;760;111
org.argouml.uml.ui.behavior.common_behavior.UMLCreateActionClassifierListModel.getClassifierReceiver();org.argouml.uml.ui.UMLModelElementListModel2;0;0;0;0;0;0;0;0
org.argouml.model.uml.UmlHelperImpl.getCollaborations();org.argouml.model.uml.NSUMLModelImplementation;1;0;1;1.0;0.9642857142857143;3;123;120
org.argouml.uml.ui.PropPanel.formatElement(java.lang.Object);org.argouml.uml.Profile;1;2;1;0.935483870967742;1.0;3;216;0
org.argouml.uml.diagram.deployment.ui.FigMNode.getPopUpActions(java.awt.event.MouseEvent);org.argouml.uml.diagram.ui.FigNodeModelElement;2;0;1;1.0;0.972972972972973;5;113;781
org.argouml.model.uml.UmlFactoryImpl.deleteRelationship(org.argouml.model.uml.MRelationship);org.argouml.model.uml.CollaborationsFactoryImpl;1;3;3;0.9189189189189189;0.975;36;537;287
org.argouml.uml.reveng.FileImportSupport.cancelSelection();org.argouml.uml.reveng.Import;1;0;1;1.0;0.9803921568627451;3;160;363
org.argouml.uml.diagram.ui.ActionAddNote.actionPerformed(java.awt.event.ActionEvent);org.argouml.uml.diagram.ui.UMLDiagram;1;0;5;1.0;0.9772727272727273;51;62;193
org.argouml.uml.ui.behavior.state_machines.PropPanelPseudostate.refreshTarget();org.argouml.i18n.Translator;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.use_case.UseCaseDiagramGraphModel.vetoableChange(java.beans.PropertyChangeEvent);org.argouml.uml.diagram.UMLMutableGraphSupport;2;0;1;1.0;0.9428571428571428;19;215;193
org.argouml.uml.generator.ParserDisplay.parseModelElement(java.lang.Object, java.lang.String);org.argouml.util.MyTokenizer;3;1;3;0.989010989010989;0.9210526315789473;95;2537;143
org.argouml.uml.diagram.sequence.SequenceDiagramGraphModel.canAddNode(java.lang.Object);org.argouml.uml.diagram.UMLMutableGraphSupport;1;1;1;0.9642857142857143;0.96;6;254;193
org.argouml.ui.explorer.rules.GoComponentToResidentModelElement.getRuleName();org.argouml.i18n.Translator;0;0;1;1.0;1.0;3;17;88
org.argouml.uml.ui.foundation.core.ActionSetBehavioralFeatureQuery.actionPerformed(java.awt.event.ActionEvent);org.argouml.uml.ui.UMLCheckBox2;1;0;1;1.0;0.9230769230769231;11;17;33
org.argouml.uml.reveng.DiagramInterface.createOrSelectClassDiagram(java.lang.Object, java.lang.String);org.argouml.ui.ArgoDiagram;1;2;4;0.9565217391304348;0.9285714285714286;19;144;63
org.argouml.model.uml.DataTypesFactoryImpl.createTimeExpression(java.lang.String, java.lang.String);org.argouml.model.uml.AbstractUmlModelFactory;1;0;1;1.0;0.5;5;68;25
org.argouml.uml.ui.foundation.core.UMLGeneralizableElementLeafCheckBox.buildModel();org.argouml.uml.ui.UMLCheckBox2;1;0;1;1.0;0.9;5;8;33
org.argouml.uml.ui.foundation.core.UMLStructuralFeatureChangeabilityRadioButtonPanel.buildModel();org.argouml.uml.ui.UMLRadioButtonPanel;2;0;2;1.0;0.8823529411764706;18;21;77
org.argouml.uml.ui.PropPanel.removeElement();org.argouml.uml.ui.ActionBaseDelete;1;1;2;0.9714285714285714;0.875;13;216;139
org.argouml.uml.diagram.sequence.ui.FigClassifierRole.contractNodes(boolean[], int);org.argouml.uml.diagram.sequence.ui.SequenceDiagramLayout;0;2;2;0.9682539682539683;1.0;17;696;142
org.argouml.uml.generator.ParserDisplay.parseOperationFig(java.lang.Object, java.lang.Object, java.lang.String);org.argouml.kernel.Project;4;2;3;1.0;0.9487179487179487;54;2537;620
org.argouml.uml.ui.behavior.state_machines.UMLGuardTransitionListModel.isValidElement(java.lang.Object);org.argouml.uml.ui.UMLModelElementListModel2;1;0;1;1.0;0.9523809523809523;3;10;197
org.argouml.uml.diagram.state.StateDiagramGraphModel.canAddNode(java.lang.Object);org.argouml.uml.diagram.UMLMutableGraphSupport;1;0;1;1.0;0.96;9;216;193
org.argouml.uml.ui.UMLExpressionLanguageField.changedUpdate(javax.swing.event.DocumentEvent);org.argouml.uml.ui.UMLExpressionModel2;1;0;1;1.0;0.9090909090909091;3;29;72
org.argouml.persistence.TodoParser.handleIssueEnd(org.argouml.persistence.XMLElement);org.argouml.cognitive.Designer;0;2;2;0.9130434782608696;1.0;8;210;334
org.argouml.uml.cognitive.critics.CrNameConflict.initWizard(org.argouml.cognitive.ui.Wizard);org.argouml.uml.cognitive.critics.WizMEName;3;0;4;1.0;0.7692307692307692;11;59;50
org.argouml.uml.diagram.static_structure.ui.FigPackage.getMinimumSize();org.argouml.uml.diagram.ui.FigNodeModelElement;3;1;1;0.9761904761904762;0.9605263157894737;17;360;781
org.argouml.uml.diagram.static_structure.ui.FigInterface.getPopUpActions(java.awt.event.MouseEvent);org.argouml.uml.diagram.ui.ActionEdgesDisplay;0;0;3;1.0;1.0;18;388;39
