Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.gjt.sp.jedit.Buffer.setDirty(boolean);org.gjt.sp.jedit.msg.BufferUpdate;0;2;3;0.9857142857142858;1.0;15;686;18
org.gjt.sp.jedit.gui.HistoryText.doBackwardSearch();org.gjt.sp.jedit.gui.HistoryModel;1;6;1;0.8181818181818181;0.9615384615384616;22;153;134
org.gjt.sp.jedit.Macros.invoke(org.gjt.sp.jedit.View);org.gjt.sp.jedit.buffer.JEditBuffer;2;2;2;0.9615384615384616;0.9819819819819819;14;384;1059
org.gjt.sp.jedit.browser.BrowserView.mousePressed(java.awt.event.MouseEvent);org.gjt.sp.jedit.GUIUtilities;0;2;4;0.9787234042553191;1.0;33;236;529
org.gjt.sp.jedit.textarea.JEditTextArea.scrollTo(boolean, int, int);org.gjt.sp.jedit.buffer.JEditBuffer;1;14;5;0.9498207885304659;0.9923076923076923;71;2660;1059
bsh.ParserTokenManager.jjMoveStringLiteralDfa8_0(long, long, long, long, long, long);bsh.JavaCharStream;1;5;1;0.9090909090909091;0.9777777777777777;36;1699;331
org.gjt.sp.jedit.Buffer.finishSaving(boolean, boolean, java.lang.String, java.lang.String, java.lang.String, org.gjt.sp.jedit.View);org.gjt.sp.jedit.msg.BufferUpdate;0;10;6;0.8987341772151899;1.0;47;686;18
org.gjt.sp.jedit.browser.VFSBrowser.removeNotify();org.gjt.sp.jedit.EditBus;0;2;2;0.96875;1.0;8;763;44
org.gjt.sp.jedit.pluginmgr.InstallPanel.valueChanged(javax.swing.event.ListSelectionEvent);org.gjt.sp.jedit.jEdit;1;6;1;0.8775510204081632;1.0;9;365;1785
org.gjt.sp.jedit.textarea.JEditTextArea.goToBufferStart(boolean);org.gjt.sp.jedit.textarea.DisplayManager;1;5;2;0.9816176470588235;0.9705882352941176;6;2660;410
bsh.BSHForStatement.eval(bsh.CallStack, bsh.Interpreter);bsh.SimpleNode;3;3;5;0.8;0.8928571428571429;39;42;76
org.gjt.sp.jedit.search.SearchDialog.setSearchString(int, java.lang.String);org.gjt.sp.jedit.search.SearchAndReplace;1;7;5;0.8571428571428572;1.0;40;499;540
org.gjt.sp.jedit.View.toString();org.gjt.sp.jedit.jEdit;0;0;1;1.0;1.0;3;762;1785
bsh.BSHPrimarySuffix.doName(boolean, bsh.CallStack, bsh.Interpreter, java.lang.Object);bsh.SimpleNode;2;1;4;0.9375;0.9230769230769231;13;95;76
bsh.This.invokeMethod(boolean, bsh.CallStack, bsh.Interpreter, bsh.SimpleNode, java.lang.Object[], java.lang.String);bsh.StringUtil;1;1;6;0.9230769230769231;1.0;31;79;44
org.gjt.sp.jedit.search.SearchBar.setHyperSearch(boolean);org.gjt.sp.jedit.jEdit;1;1;1;0.9523809523809523;1.0;4;198;1785
org.gjt.sp.jedit.EditPane.addMarker();org.gjt.sp.jedit.textarea.JEditTextArea;3;0;3;1.0;0.9891304347826086;12;435;2660
bsh.Parser.ClassDeclaration();bsh.BSHClassDeclaration;4;9;4;0.9782608695652174;0.8461538461538461;77;5894;29
org.gjt.sp.jedit.browser.VFSBrowser.invokeAction(java.util.EventObject, org.gjt.sp.jedit.EditAction);org.gjt.sp.jedit.EditAction;1;1;6;0.9841269841269842;0.9285714285714286;24;763;46
bsh.BSHCastExpression.eval(bsh.CallStack, bsh.Interpreter);bsh.SimpleNode;2;0;5;1.0;0.9130434782608696;13;16;76
org.gjt.sp.jedit.options.PluginManagerOptionPane._save();org.gjt.sp.jedit.jEdit;1;6;1;0.7391304347826086;1.0;12;100;1785
org.gjt.sp.jedit.options.WindowTableModel.getColumnName(int);org.gjt.sp.jedit.jEdit;0;0;1;1.0;1.0;10;78;1785
org.gjt.sp.jedit.options.AbbrevsOptionPane._init();org.gjt.sp.jedit.GUIUtilities;0;8;4;0.8367346938775511;1.0;63;153;529
org.gjt.sp.jedit.textarea.JEditTextArea.isStructureHighlightVisible();org.gjt.sp.jedit.textarea.DisplayManager;1;1;1;0.9963503649635036;0.96875;3;2660;410
org.gjt.sp.jedit.gui.DockableWindowManager.getAllPluginEntries(boolean, org.gjt.sp.jedit.PluginJAR);org.gjt.sp.jedit.gui.DockableWindowFactory;0;3;1;0.9285714285714286;1.0;20;409;218
org.gjt.sp.jedit.gui.DockableLayout.adjustDockingAreasToFit(int, int, int, int, int, int, int, int, java.awt.Dimension, java.awt.Dimension, java.awt.Dimension);org.gjt.sp.jedit.gui.DockablePanel;0;0;2;1.0;1.0;13;155;122
org.gjt.sp.jedit.Macros.accept(java.lang.String);org.gjt.sp.jedit.MiscUtilities;0;0;2;1.0;1.0;3;384;662
bsh.BSHSwitchStatement.primitiveEquals(bsh.CallStack, bsh.SimpleNode, java.lang.Object, java.lang.Object);bsh.SimpleNode;1;0;3;1.0;0.9565217391304348;11;49;76
QuickNotepadToolPanel.makeCustomButton(java.awt.event.ActionListener, java.lang.String);org.gjt.sp.jedit.GUIUtilities;0;0;2;1.0;1.0;13;50;529
org.gjt.sp.jedit.menu.RecentDirectoriesProvider.update(javax.swing.JMenu);org.gjt.sp.jedit.MiscUtilities;0;3;8;0.8695652173913043;1.0;57;70;662
org.gjt.sp.jedit.search.CurrentBufferSet.getFirstFile(org.gjt.sp.jedit.View);org.gjt.sp.jedit.View;1;0;2;1.0;0.9875;3;16;762
org.gjt.sp.jedit.textarea.TextAreaDropHandler.drop(java.awt.dnd.DropTargetDropEvent);org.gjt.sp.jedit.textarea.JEditTextArea;1;0;2;1.0;0.9962962962962963;4;29;2660
org.gjt.sp.jedit.Buffer.getDefaultProperty(java.lang.String);org.gjt.sp.jedit.jEdit;0;0;3;1.0;1.0;20;686;1785
org.gjt.sp.jedit.jEdit.error(java.lang.Object, java.lang.String);com.microstar.xml.XmlParser;2;1;3;1.0;0.9870967741935484;12;1785;2091
bsh.LHS.assign(boolean, java.lang.Object);bsh.Reflect;2;7;6;0.6956521739130435;1.0;46;105;422
org.gjt.sp.jedit.EditPlugin.createMenuItems();org.gjt.sp.jedit.GUIUtilities;0;1;2;0.9;1.0;12;53;529
org.gjt.sp.jedit.ActionSet.addAction(org.gjt.sp.jedit.EditAction);org.gjt.sp.jedit.EditAction;1;1;2;0.9545454545454546;0.9333333333333333;7;155;46
org.gjt.sp.util.WorkThread.setStatus(java.lang.String);org.gjt.sp.util.WorkThreadPool;1;1;1;0.9375;0.9714285714285714;4;97;186
org.gjt.sp.jedit.textarea.JEditTextArea.goToMatchingBracket();org.gjt.sp.jedit.TextUtilities;1;6;1;0.9818181818181818;1.0;12;2660;375
macos.Delegate.applicationOpenFiles(macos.NSApplication, macos.NSArray);org.gjt.sp.util.Log;0;0;4;1.0;1.0;14;224;209
bsh.Name.invokeLocalMethod(bsh.CallStack, bsh.Interpreter, bsh.SimpleNode, java.lang.Object[]);bsh.StringUtil;1;1;7;0.9583333333333334;1.0;41;341;44
org.gjt.sp.jedit.textarea.DisplayManager.init();org.gjt.sp.jedit.textarea.RangeMap;1;3;3;0.90625;0.9565217391304348;12;410;238
bsh.Parser.ThrowStatement();bsh.JJTParserState;4;4;1;0.9888579387186629;0.8695652173913043;39;5894;74
org.gjt.sp.jedit.textarea.JEditTextArea.userInput(char);org.gjt.sp.jedit.buffer.JEditBuffer;1;7;2;0.9783393501805054;0.9916666666666667;17;2660;1059
bsh.Parser.InstanceOfExpression();bsh.Token;1;7;3;0.9804469273743017;0.9444444444444444;28;5894;9
org.gjt.sp.jedit.textarea.JEditTextArea.addNotify();org.gjt.sp.jedit.buffer.JEditBuffer;1;4;1;0.985663082437276;0.9916666666666667;9;2660;1059
org.gjt.sp.jedit.buffer.BufferSaveRequest.run();org.gjt.sp.jedit.jEdit;1;1;9;1.0;1.0;81;104;1785
org.gjt.sp.jedit.textarea.JEditTextArea.smartHome(boolean);org.gjt.sp.jedit.gui.InputHandler;1;3;3;0.989010989010989;0.9411764705882353;17;2660;128
bsh.BSHFormalParameters.insureParsed();bsh.BSHFormalParameter;1;2;2;0.8181818181818181;0.875;10;39;12
org.gjt.sp.jedit.Buffer.insertFile(java.lang.String, org.gjt.sp.jedit.View);org.gjt.sp.jedit.io.VFSManager;0;1;9;0.9863013698630136;1.0;15;686;142
bsh.Parser.InstanceOfExpression();bsh.JJTParserState;2;7;3;0.9804469273743017;0.9230769230769231;28;5894;74
org.gjt.sp.jedit.pluginmgr.ManagePanel.unloadPluginJAR(org.gjt.sp.jedit.PluginJAR);org.gjt.sp.jedit.MiscUtilities;0;0;0;0;0;0;0;0
bsh.BSHTryStatement.eval(bsh.CallStack, bsh.Interpreter);bsh.Interpreter;1;0;10;1.0;0.9836065573770492;65;68;493
bsh.BSHTypedVariableDeclaration.eval(bsh.CallStack, bsh.Interpreter);bsh.UtilEvalError;1;2;7;0.8333333333333334;1.0;22;44;14
bsh.BSHMethodDeclaration.evalNodes(bsh.CallStack, bsh.Interpreter);bsh.Interpreter;1;5;4;0.7058823529411764;0.9814814814814815;9;57;493
installer.TarEntry.setModTime(long);installer.TarHeader;1;0;1;1.0;0.9375;3;216;106
org.objectweb.asm.ClassWriter.newInteger(int);org.objectweb.asm.Item;1;3;2;0.9142857142857143;0.9523809523809523;10;305;76
org.gjt.sp.jedit.pluginmgr.MirrorListHandler.endDocument();org.gjt.sp.jedit.pluginmgr.MirrorList;1;0;1;1.0;0.9;3;67;34
org.gjt.sp.jedit.gui.StatusBar.updateCaretStatus();org.gjt.sp.jedit.textarea.JEditTextArea;5;4;6;0.9402985074626866;0.9826388888888888;44;364;2660
org.gjt.sp.jedit.PluginJAR.startPlugin();org.gjt.sp.jedit.buffer.JEditBuffer;2;2;7;0.9655172413793104;0.9826086956521739;26;696;1059
com.loomcom.ant.tasks.jarbundler.JarBundler.setVersion(java.lang.String);com.loomcom.ant.tasks.jarbundler.AppBundleProperties;1;0;1;1.0;0.975;3;436;171
org.gjt.sp.jedit.options.EditingOptionPane._init();org.gjt.sp.jedit.MiscUtilities;0;19;5;0.62;1.0;45;209;662
org.gjt.sp.jedit.textarea.RangeMap.put(int, int, int[]);org.gjt.sp.util.Log;0;3;2;0.8571428571428572;1.0;29;238;209
org.gjt.sp.jedit.textarea.TextAreaTransferHandler.createTransferable(javax.swing.JComponent);org.gjt.sp.util.Log;0;0;2;1.0;1.0;9;137;209
