Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
com.mxgraph.swing.view.mxCellEditor.configureActionMaps();com.mxgraph.swing.mxGraphComponent;1;9;1;0.7352941176470589;0.9957983193277311;24;233;1798
com.mxgraph.swing.util.mxAnimation.stopAnimation();com.mxgraph.util.mxEventSource;1;1;2;0.875;0.9;7;36;57
com.mxgraph.io.mxCodec.decodeCell(boolean, org.w3c.dom.Node);com.mxgraph.io.mxObjectCodec;1;1;2;0.9565217391304348;0.9807692307692307;24;172;516
com.mxgraph.swing.handler.mxVertexHandler.resizeCell(java.awt.event.MouseEvent);com.mxgraph.view.mxGraph;3;2;8;0.9428571428571428;0.9946380697050938;36;216;2992
com.mxgraph.view.mxEdgeStyle.apply(com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState, java.util.List<com.mxgraph.util.mxPoint>, java.util.List<com.mxgraph.util.mxPoint>);com.mxgraph.util.mxUtils;1;1;6;1.0;1.0;246;265;1071
com.mxgraph.view.mxGraph.translateCell(double, double, java.lang.Object);com.mxgraph.util.mxPoint;2;2;2;0.9944598337950139;0.875;22;2992;50
com.mxgraph.view.mxGraph.getConnectionPoint(com.mxgraph.view.mxCellState, com.mxgraph.view.mxConnectionConstraint);com.mxgraph.util.mxRectangle;2;0;4;1.0;0.8823529411764706;10;2992;96
com.mxgraph.view.mxGraph.getOpposites(boolean, boolean, java.lang.Object, java.lang.Object[]);com.mxgraph.view.mxCellState;1;0;2;1.0;0.9545454545454546;17;2992;175
com.mxgraph.view.mxGraph.getImage(com.mxgraph.view.mxCellState);com.mxgraph.view.mxCellState;1;0;3;1.0;0.9473684210526316;3;2992;175
com.mxgraph.util.svg.NumberParser.parseFloat();com.mxgraph.util.svg.AbstractParser;2;0;1;1.0;0.8;249;264;73
com.mxgraph.layout.mxCompactTreeLayout.processNodeOutgoing(com.mxgraph.layout.mxCompactTreeLayout.TreeNode);com.mxgraph.util.mxPoint;2;11;5;0.8428571428571429;0.9285714285714286;70;553;50
com.mxgraph.util.mxRectangle.contains(double, double);com.mxgraph.util.mxPoint;2;2;1;0.8666666666666667;0.75;3;96;50
com.mxgraph.analysis.mxGraphGenerator.getCompleteBipartiteGraph(com.mxgraph.analysis.mxAnalysisGraph, int, int);com.mxgraph.analysis.mxAnalysisGraph;0;0;0;0;0
com.mxgraph.util.svg.PathParser.parseq();com.mxgraph.util.svg.NumberParser;1;3;2;0.9032258064516129;0.8888888888888888;35;754;264
com.mxgraph.swing.handler.mxRubberband.mouseDragged(java.awt.event.MouseEvent);com.mxgraph.swing.mxGraphComponent;3;2;2;0.9444444444444444;0.987603305785124;36;135;1798
com.mxgraph.util.svg.PathParser.parseq();com.mxgraph.util.svg.AbstractParser;3;3;2;0.9032258064516129;0.8;35;754;73
com.mxgraph.swing.handler.mxGraphTransferHandler.importGraphTransferable(com.mxgraph.swing.mxGraphComponent, com.mxgraph.swing.util.mxGraphTransferable);com.mxgraph.util.mxPoint;2;4;5;0.8787878787878788;0.8947368421052632;34;183;50
com.mxgraph.swing.handler.mxRubberband.invoke(com.mxgraph.util.mxEventObject, java.lang.Object);com.mxgraph.util.mxEventObject;1;1;1;0.95;0.8333333333333334;3;135;29
com.mxgraph.swing.handler.mxElbowEdgeHandler.createHandles();com.mxgraph.model.mxGeometry;1;0;9;1.0;0.96;24;40;118
com.mxgraph.swing.handler.mxConnectPreview.update(com.mxgraph.view.mxCellState, double, double, java.awt.event.MouseEvent);com.mxgraph.model.mxGeometry;1;3;7;0.8846153846153846;1.0;23;167;118
com.mxgraph.view.mxGraphView.getRoutingCenterY(com.mxgraph.view.mxCellState);com.mxgraph.util.mxConstants;0;0;4;1.0;1.0;4;796;0
com.mxgraph.swing.mxGraphComponent.getScaledPreferredSizeForGraph();com.mxgraph.util.mxRectangle;2;0;3;1.0;0.8888888888888888;5;1798;96
com.mxgraph.swing.view.mxCellStatePreview.addEdges(com.mxgraph.view.mxCellState);com.mxgraph.swing.mxGraphComponent;0;1;4;0.9583333333333334;1.0;12;235;1798
com.mxgraph.swing.mxGraphComponent.getCellAt(boolean, int, int, java.lang.Object);com.mxgraph.canvas.mxBasicCanvas;3;2;4;0.9958677685950413;0.8695652173913043;35;1798;44
com.mxgraph.view.mxGraph.cellsResized(com.mxgraph.util.mxRectangle[], java.lang.Object[]);com.mxgraph.util.mxEvent;0;6;5;0.9835164835164835;1.0;42;2992;0
com.mxgraph.layout.mxCompactTreeLayout.adjustParents();com.mxgraph.layout.mxGraphLayout;1;2;2;0.9666666666666667;1.0;3;553;173
com.mxgraph.swing.mxGraphComponent.validateGraph(java.lang.Object, java.util.Hashtable<java.lang.Object,java.lang.Object>);com.mxgraph.view.mxGraphView;1;2;3;0.9918367346938776;0.9863013698630136;47;1798;796
com.mxgraph.layout.hierarchical.stage.mxMedianHybridCrossingReduction.calculateCrossings(com.mxgraph.layout.hierarchical.model.mxGraphHierarchyModel);com.mxgraph.layout.hierarchical.model.mxGraphHierarchyModel;1;1;1;1.0;0.9444444444444444;8;292;311
com.mxgraph.layout.mxStackLayout.execute(java.lang.Object);com.mxgraph.view.mxGraph;3;9;6;0.7096774193548387;0.9920424403183024;93;147;2992
com.mxgraph.swing.handler.mxConnectionHandler.setBounds(java.awt.Rectangle);com.mxgraph.swing.mxGraphComponent;1;1;1;0.9761904761904762;0.9956521739130435;17;389;1798
com.mxgraph.swing.handler.mxGraphHandler.createMarker();com.mxgraph.swing.handler.mxCellMarker;2;4;5;0.9411764705882353;0.9487179487179487;38;695;185
com.mxgraph.view.mxGraph.graphModelChanged(com.mxgraph.model.mxIGraphModel, java.util.List<com.mxgraph.util.mxUndoableEdit.mxUndoableChange>);com.mxgraph.util.mxRectangle;1;6;2;0.9860335195530726;0.9583333333333334;31;2992;96
com.mxgraph.shape.mxConnectorShape.paintMarker(boolean, com.mxgraph.canvas.mxGraphics2DCanvas, com.mxgraph.view.mxCellState);com.mxgraph.canvas.mxBasicCanvas;1;1;8;1.0;0.9565217391304348;40;83;44
com.mxgraph.analysis.mxGraphGenerator.getWheelGraph(com.mxgraph.analysis.mxAnalysisGraph, int);com.mxgraph.analysis.mxAnalysisGraph;0;0;0;0;0
com.mxgraph.view.mxGraph.cellSizeUpdated(boolean, java.lang.Object);com.mxgraph.view.mxCellState;1;6;9;0.986449864498645;0.975;55;2992;175
com.mxgraph.swing.handler.mxGraphHandler.getPreviewLocation(boolean, java.awt.event.MouseEvent);com.mxgraph.util.mxPoint;2;1;4;0.984375;0.8571428571428572;20;695;50
com.mxgraph.view.mxGraphView.getRoutingCenterY(com.mxgraph.view.mxCellState);com.mxgraph.util.mxRectangle;2;0;4;1.0;0.8666666666666667;4;796;96
com.mxgraph.layout.mxCompactTreeLayout.dfs(java.lang.Object, java.lang.Object, java.util.Set<java.lang.Object>);com.mxgraph.layout.mxGraphLayout;3;8;4;0.8823529411764706;0.9375;39;553;173
com.mxgraph.swing.handler.mxEdgeHandler.getHandleFillColor(int);com.mxgraph.swing.util.mxSwingConstants;0;2;5;0.95;1.0;14;413;4
com.mxgraph.swing.handler.mxEdgeHandler.validateConnection(java.lang.Object, java.lang.Object);com.mxgraph.view.mxGraph;1;0;4;1.0;0.9971590909090909;3;413;2992
com.mxgraph.view.mxGraphView.updateFixedTerminalPoints(com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState);com.mxgraph.view.mxGraph;1;1;1;1.0;1.0;4;796;2992
com.mxgraph.view.mxGraph.selectCells(boolean, boolean, java.lang.Object);com.mxgraph.model.mxGraphModel;1;4;2;0.9887640449438202;1.0;14;2992;870
com.mxgraph.swing.view.mxCellStatePreview.paint(java.awt.Graphics);com.mxgraph.view.mxGraphView;1;2;6;0.9310344827586207;0.984375;22;235;796
com.mxgraph.shape.mxCurveLabelShape.updateLabelBounds(java.lang.String, java.util.Map<java.lang.String,java.lang.Object>);com.mxgraph.view.mxCellState;0;16;7;0.8028169014084507;1.0;186;264;175
com.mxgraph.swing.handler.mxSelectionCellsHandler.removeGraphListeners(com.mxgraph.view.mxGraph);com.mxgraph.util.mxEventSource;1;2;3;0.9259259259259259;0.9230769230769231;12;191;57
com.mxgraph.view.mxGraph.isCellResizable(java.lang.Object);com.mxgraph.util.mxConstants;0;3;4;0.9915254237288136;1.0;5;2992;0
com.mxgraph.util.svg.PathParser.parses();com.mxgraph.util.svg.NumberParser;1;3;2;0.9032258064516129;0.8888888888888888;35;754;264
com.mxgraph.view.mxGraphView.getTerminalPort(boolean, com.mxgraph.view.mxCellState, com.mxgraph.view.mxCellState);com.mxgraph.view.mxGraph;1;1;5;0.9824561403508771;0.9971830985915493;11;796;2992
com.mxgraph.view.mxGraphView.updateVertexLabelOffset(com.mxgraph.view.mxCellState);com.mxgraph.view.mxCellState;1;0;5;1.0;0.9583333333333334;16;796;175
com.mxgraph.layout.hierarchical.stage.mxMedianHybridCrossingReduction.medianRank(boolean, int);com.mxgraph.layout.hierarchical.model.mxGraphAbstractHierarchyCell;4;3;1;0.9166666666666666;1.0;40;292;25
