Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.jgroups.protocols.TP.up(org.jgroups.Event);org.jgroups.Event;2;1;2;0.9928571428571429;0.75;10;1021;115
org.jgroups.jmx.protocols.pbcast.NAKACK.getPendingRetransmissionRequests();org.jgroups.protocols.pbcast.NAKACK;1;0;1;1.0;0.9864864864864865;3;76;917
org.jgroups.blocks.VotingAdapter.vote(int, java.lang.Object, long, org.jgroups.blocks.VoteResponseProcessor);org.jgroups.blocks.RpcDispatcher;1;2;2;0.9428571428571428;1.0;33;216;254
org.jgroups.protocols.FRAG2.up(org.jgroups.Event);org.jgroups.Event;2;3;3;0.9333333333333333;0.8333333333333334;21;312;115
org.jgroups.stack.Configurator.printDownReqs();org.jgroups.Event;0;1;1;0.975;1.0;9;366;115
org.jgroups.jmx.protocols.MERGE2.attachProtocol(org.jgroups.stack.Protocol);org.jgroups.jmx.Protocol;0;0;1;1.0;1.0;4;22;56
org.jgroups.protocols.FD_SOCK.adjustSuspectedMembers(java.util.Vector);org.jgroups.stack.Protocol;1;2;1;0.9782608695652174;0.96875;14;741;110
org.jgroups.protocols.MERGE2.start();org.jgroups.util.Util;0;1;1;0.9615384615384616;1.0;7;163;1508
org.jgroups.jmx.JChannel.peek(long);org.jgroups.JChannel;1;0;1;1.0;0.9855072463768116;3;259;822
org.jgroups.protocols.CAUSAL.max(org.jgroups.protocols.TransportedVectorTime);org.jgroups.protocols.TransportedVectorTime;1;1;2;1.0;0.875;10;475;48
org.jgroups.blocks.ReplicatedTree.getState();org.jgroups.util.Util;0;3;1;0.96;1.0;9;597;1508
org.jgroups.protocols.pbcast.FLUSH.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;3;1;0.9545454545454546;1.0;15;647;1508
org.jgroups.protocols.UDP.startThreads();org.jgroups.protocols.TP;2;5;3;0.9038461538461539;0.9863945578231292;24;498;1021
org.jgroups.protocols.PING.handleDisconnect();org.jgroups.stack.GossipClient;1;0;1;1.0;0.95;3;156;292
org.jgroups.mux.Multiplexer.mergeServiceState(java.util.Map<org.jgroups.Address,java.util.Set<java.lang.String>>, org.jgroups.MergeView);org.jgroups.View;0;0;0;0;0
org.jgroups.protocols.SIZE.down(org.jgroups.Event);org.jgroups.Event;2;5;3;0.736842105263158;0.8666666666666667;23;97;115
org.jgroups.protocols.FD_ICMP.up(org.jgroups.Event);org.jgroups.protocols.FD;1;1;2;0.9375;0.9824561403508771;11;95;430
org.jgroups.protocols.UDP.sendToAllMembers(byte[], int, int);org.jgroups.protocols.TP;1;2;2;0.9803921568627451;0.993006993006993;13;498;1021
org.jgroups.mux.MuxChannel._close(boolean, boolean);org.jgroups.JChannel;4;0;2;1.0;0.9428571428571428;6;163;822
org.jgroups.protocols.pbcast.FLUSH.onResume();org.jgroups.stack.Protocol;2;2;3;0.9682539682539683;0.92;7;647;110
org.jgroups.protocols.PingHeader.size();org.jgroups.protocols.PingRsp;1;0;2;1.0;0.8888888888888888;7;42;45
org.jgroups.protocols.SFC.down(org.jgroups.Event);org.jgroups.stack.Protocol;4;14;3;0.7971014492753623;0.9215686274509804;69;383;110
org.jgroups.protocols.VERIFY_SUSPECT.run();org.jgroups.stack.Protocol;3;3;3;0.9302325581395349;0.926829268292683;29;233;110
org.jgroups.protocols.pbcast.FLUSH.writeTo(java.io.DataOutputStream);org.jgroups.util.Util;2;3;1;0.9577464788732395;1.0;21;647;1508
org.jgroups.JChannel.disconnect();org.jgroups.stack.ProtocolStack;1;7;3;0.9014084507042254;0.9736842105263158;18;822;230
org.jgroups.protocols.STATS.up(org.jgroups.Event);org.jgroups.Event;2;2;2;0.9375;0.75;10;160;115
org.jgroups.protocols.AUTH.up(org.jgroups.Event);org.jgroups.protocols.AuthHeader;0;1;6;1.0;1.0;45;122;23
org.jgroups.protocols.AUTH.setProperties(java.util.Properties);org.jgroups.stack.Protocol;1;0;2;1.0;0.9642857142857143;25;122;110
org.jgroups.JChannel.downcall(org.jgroups.Event);org.jgroups.stack.ProtocolStack;1;3;4;0.961038961038961;0.975;21;822;230
org.jgroups.jmx.protocols.UNICAST.getAcksReceived();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.975609756097561;3;43;398
org.jgroups.protocols.FRAG2.down(org.jgroups.Event);org.jgroups.util.Util;0;7;5;0.8727272727272728;1.0;35;312;1508
org.jgroups.protocols.pbcast.FLUSH.onViewChange(org.jgroups.View);org.jgroups.View;1;7;2;0.8939393939393939;0.9615384615384616;22;647;91
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER.process(java.net.Socket);org.jgroups.Event;0;3;2;0.9767441860465116;1.0;38;655;115
org.jgroups.View.hashCode();org.jgroups.ViewId;0;0;0;0;0
org.jgroups.protocols.VIEW_SYNC.readFrom(java.io.DataInputStream);org.jgroups.util.Util;1;1;1;0.9696969696969697;1.0;6;232;1508
org.jgroups.jmx.protocols.FD.getPingableMembers();org.jgroups.protocols.FD;1;0;1;1.0;0.9811320754716981;3;52;430
org.jgroups.jmx.protocols.FRAG.getNumberOfSentFragments();org.jgroups.protocols.FRAG;1;0;1;1.0;0.9705882352941176;3;28;288
org.jgroups.demos.Chat.receive(org.jgroups.Message);org.jgroups.Message;2;2;1;0.9545454545454546;0.9512195121951219;11;212;497
org.jgroups.protocols.FC.handleDownMessage(org.jgroups.Event);org.jgroups.Event;1;17;4;0.7945205479452055;0.9736842105263158;51;482;115
org.jgroups.protocols.FD_SIMPLE.up(org.jgroups.Event);org.jgroups.stack.Protocol;4;6;3;0.85;0.8857142857142857;40;225;110
org.jgroups.jmx.protocols.UNICAST.printConnections();org.jgroups.protocols.UNICAST;1;0;1;1.0;0.975609756097561;3;43;398
org.jgroups.blocks.MessageDispatcher.handleUpEvent(org.jgroups.Event);org.jgroups.View;1;4;6;0.9375;0.9743589743589743;106;560;91
org.jgroups.jmx.JChannel.getProperties();org.jgroups.JChannel;1;1;1;0.9852941176470589;0.9857142857142858;4;259;822
org.jgroups.jmx.protocols.FRAG2.getNumberOfReceivedFragments();org.jgroups.protocols.FRAG2;1;0;1;1.0;0.9743589743589743;3;34;312
org.jgroups.protocols.UDP.setThreadNames();org.jgroups.protocols.TP;3;3;1;0.9361702127659575;0.9784172661870504;7;498;1021
org.jgroups.protocols.CAUSAL.down(org.jgroups.Event);org.jgroups.Message;2;9;3;0.8636363636363636;0.9622641509433962;32;475;497
org.jgroups.protocols.FD_ALL.down(org.jgroups.Event);org.jgroups.stack.Protocol;1;1;2;0.9795918367346939;0.96;10;323;110
org.jgroups.protocols.CAUSAL.upSetLocalAddress(org.jgroups.Event);org.jgroups.Event;1;1;2;0.9830508474576272;0.8571428571428572;4;475;115
org.jgroups.protocols.pbcast.CoordGmsImpl.sendMergeView(java.util.Vector, org.jgroups.protocols.pbcast.MergeData);org.jgroups.protocols.pbcast.GMS;0;0;7;1.0;1.0;25;524;893
org.jgroups.protocols.pbcast.NAKACK.send(org.jgroups.Event, org.jgroups.Message);org.jgroups.Message;2;5;4;0.9404761904761905;0.96;34;917;497
org.jgroups.blocks.DistributedQueue.remove();org.jgroups.util.RspList;1;4;3;0.9387755102040817;0.9705882352941176;12;370;145
org.jgroups.protocols.TCPGOSSIP.sendGetMembersRequest();org.jgroups.Event;0;0;6;1.0;1.0;30;104;115
org.jgroups.jmx.protocols.SFC.unblock();org.jgroups.protocols.SFC;1;0;1;1.0;0.98;3;62;383
