Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.jhotdraw.samples.svg.figures.SVGBezierFigure.joinSegments(double, java.awt.geom.Point2D.Double);org.jhotdraw.draw.AbstractAttributedFigure;1;0;3;1.0;0.9655172413793104;16;169;168
org.jhotdraw.draw.handle.BezierNodeHandle.createSecondaryHandles();org.jhotdraw.geom.BezierPath;0;0;0;0;0;0;0;0
org.jhotdraw.samples.color.WheelsAndSlidersMain.createColorWheelChooser(boolean, boolean, int, int, int, java.awt.color.ColorSpace, Type);org.jhotdraw.color.ColorUtil;0;0;0;0;0;0;0;0
org.jhotdraw.samples.teddy.TeddyApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.samples.teddy.action.ToggleStatusBarAction;0;0;0;0;0;0;0;0
org.jhotdraw.draw.locator.BezierLabelLocator.getRelativeLabelPoint(org.jhotdraw.draw.BezierFigure, org.jhotdraw.draw.Figure);org.jhotdraw.geom.Dimension2DDouble;0;0;0;0;0;0;0;0
org.jhotdraw.color.PolarColorWheelImageProducer.getColorLocation(float[]);org.jhotdraw.color.AbstractColorWheelImageProducer;0;0;0;0;0;0;0;0
org.jhotdraw.samples.svg.io.ImageMapOutputFormat.writeElement(net.n3.nanoxml.IXMLElement, org.jhotdraw.draw.Figure);org.jhotdraw.draw.AbstractCompositeFigure;1;10;4;0.7142857142857143;0.9883720930232558;55;330;449
org.jhotdraw.app.action.app.ExitAction.saveChanges();org.jhotdraw.gui.JSheet;0;0;0;0;0;0;0;0
org.jhotdraw.draw.tool.TextAreaCreationTool.mousePressed(java.awt.event.MouseEvent);org.jhotdraw.draw.tool.AbstractTool;0;0;0;0;0;0;0;0
org.jhotdraw.app.OSXApplication.construct();org.jhotdraw.util.prefs.PreferencesUtil;0;0;0;0;0;0;0;0
org.jhotdraw.samples.odg.figures.ODGPathFigure.getPresentationName();org.jhotdraw.util.ResourceBundleUtil;1;0;1;1.0;0.962962962962963;3;381;252
org.jhotdraw.samples.svg.figures.SVGImageFigure.getHitShape();org.jhotdraw.geom.GrowStroke;1;2;2;0.9487179487179487;0.75;6;313;53
org.jhotdraw.samples.odg.figures.ODGPathFigure.getTransformRestoreData();org.jhotdraw.draw.BezierFigure;1;1;2;0.9714285714285714;0.9833333333333333;7;381;460
org.jhotdraw.app.MDIApplication.createFileMenu(org.jhotdraw.app.View);org.jhotdraw.app.action.file.LoadDirectoryAction;0;0;0;0;0;0;0;0
org.jhotdraw.draw.tool.DnDTracker.mouseReleased(java.awt.event.MouseEvent);org.jhotdraw.draw.tool.AbstractTool;0;0;0;0;0;0;0;0
