Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
com.mongodb.DBCollection.getIndexInfo();com.mongodb.DBCursor;2;2;3;0.9772727272727273;0.9672131147540983;10;394;264
com.mongodb.ReplicaSetStatus.updateAddr();com.mongodb.DBTCPConnector;1;1;3;0.9772727272727273;0.9761904761904762;12;268;301
org.bson.BasicBSONCallback.gotDBRef(java.lang.String, java.lang.String, org.bson.types.ObjectId);org.bson.BasicBSONObject;1;1;1;1.0;1.0;3;135;106
com.mongodb.DBTCPConnector._error(boolean, java.lang.Throwable);com.mongodb.ReplicaSetStatus;0;0;0;0;0;0;0;0
com.mongodb.DBCursor.batchSize(int);com.mongodb.DBApiLayer;1;2;1;0.9649122807017544;0.9772727272727273;8;264;305
org.bson.BasicBSONDecoder.decodeElement();org.bson.io.BSONInput;0;0;0;0;0;0;0;0
com.mongodb.DBTCPConnector.call(com.mongodb.DB, com.mongodb.DBCollection, com.mongodb.DBDecoder, com.mongodb.OutMessage, com.mongodb.ReadPreference, com.mongodb.ServerAddress, int);com.mongodb.OutMessage;0;0;0;0;0;0;0;0
com.mongodb.Mongo.getDatabaseNames();org.bson.BasicBSONObject;3;2;3;0.9428571428571428;0.9166666666666666;12;206;106
com.mongodb.Mongo.getMaxBsonObjectSize();com.mongodb.DBTCPConnector;2;0;2;1.0;0.9393939393939394;5;206;301
com.mongodb.DBAddress.hashCode();com.mongodb.ServerAddress;1;1;1;0.8571428571428572;0.9230769230769231;3;67;97
com.mongodb.DBCollection.drop();com.mongodb.DB;1;2;3;0.9777777777777777;0.9795918367346939;6;394;222
com.mongodb.DBCollection.apply(boolean, com.mongodb.DBObject);org.bson.types.ObjectId;0;1;1;1.0;1.0;9;394;179
com.mongodb.DBCollection.find(com.mongodb.DBObject, com.mongodb.DBObject, int, int, int);com.mongodb.DBCursor;1;1;1;0.9880952380952381;0.9824561403508771;3;394;264
com.mongodb.MapReduceCommand.toDBObject();org.bson.BasicBSONObject;1;12;2;0.2941176470588235;1.0;32;94;106
org.bson.BasicBSONDecoder._binary(java.lang.String);org.bson.io.BSONInput;0;0;0;0;0;0;0;0
org.bson.BasicBSONEncoder.putCodeWScope(java.lang.String, org.bson.types.CodeWScope);org.bson.types.CodeWScope;0;0;0;0;0;0;0;0
com.mongodb.DBCollection.getStats();com.mongodb.DB;1;2;1;0.9761904761904762;0.9767441860465116;3;394;222
