Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
net.sourceforge.pmd.cpd.CSVRenderer.render(java.util.Iterator<net.sourceforge.pmd.cpd.Match>);net.sourceforge.pmd.cpd.TokenEntry;2;1;3;0.9375;0.9047619047619048;23;29;55
net.sourceforge.pmd.lang.vm.rule.basic.AvoidReassigningParametersRule.visit(java.lang.Object, net.sourceforge.pmd.lang.vm.ast.ASTDirective);net.sourceforge.pmd.lang.rule.AbstractRule;1;0;5;1.0;1.0;17;17;193
net.sourceforge.pmd.lang.rule.xpath.JaxenXPathRuleQuery.initializeXPathExpression(net.sourceforge.pmd.lang.rule.xpath.Navigator);net.sourceforge.pmd.lang.rule.xpath.AbstractXPathRuleQuery;2;4;1;0.8;0.8461538461538461;69;122;15
net.sourceforge.pmd.lang.plsql.symboltable.LocalScope.addNameOccurrence(net.sourceforge.pmd.lang.symboltable.NameOccurrence);net.sourceforge.pmd.lang.plsql.ast.ASTName;1;2;2;0.8;0.875;13;33;15
net.sourceforge.pmd.lang.jsp.rule.JspRuleChainVisitor.indexNodes(java.util.List<net.sourceforge.pmd.lang.ast.Node>, net.sourceforge.pmd.RuleContext);net.sourceforge.pmd.lang.jsp.ast.JspParserVisitorAdapter;1;1;2;1.0;1.0;12;24;70
net.sourceforge.pmd.lang.java.rule.imports.DuplicateImportsRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit);net.sourceforge.pmd.lang.java.rule.ImportWrapper;2;3;3;0.8666666666666667;0.8666666666666667;19;54;32
net.sourceforge.pmd.lang.java.rule.sunsecure.ArrayIsStoredDirectlyRule.checkForDirectAssignment(java.lang.Object, java.util.List<net.sourceforge.pmd.lang.java.ast.ASTBlockStatement>, net.sourceforge.pmd.lang.java.ast.ASTFormalParameter);net.sourceforge.pmd.lang.java.rule.sunsecure.AbstractSunSecureRule;1;1;4;0.9411764705882353;0.9285714285714286;51;110;42
net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId.getTypeNode();net.sourceforge.pmd.lang.java.ast.ASTFormalParameter;1;0;2;1.0;0.9230769230769231;12;59;52
net.sourceforge.pmd.lang.plsql.rule.codesize.TooManyFieldsRule.visit(java.lang.Object, net.sourceforge.pmd.lang.plsql.ast.ASTTypeSpecification);net.sourceforge.pmd.lang.ast.AbstractNode;1;3;3;0.75;0.9761904761904762;15;47;247
net.sourceforge.pmd.dcd.graph.NodeVisitorAdapter.visitUses(java.lang.Object, net.sourceforge.pmd.dcd.graph.MemberNode);net.sourceforge.pmd.dcd.graph.MemberNode;1;1;1;1.0;0.9375;6;51;56
net.sourceforge.pmd.SourceCodeProcessor.usesTypeResolution(net.sourceforge.pmd.lang.ast.Node, net.sourceforge.pmd.Language, net.sourceforge.pmd.LanguageVersion, net.sourceforge.pmd.RuleSets);net.sourceforge.pmd.benchmark.Benchmarker;1;0;3;1.0;1.0;8;79;119
net.sourceforge.pmd.lang.ecmascript.ast.ASTName.isVariableDeclaration();net.sourceforge.pmd.lang.ecmascript.ast.ASTVariableInitializer;1;0;2;1.0;0.8;3;36;20
net.sourceforge.pmd.lang.java.rule.strings.InsufficientStringBufferDeclarationRule.processNode(net.sourceforge.pmd.lang.ast.Node);net.sourceforge.pmd.lang.ast.AbstractNode;3;0;2;1.0;0.9333333333333333;32;250;247
net.sourceforge.pmd.lang.plsql.dfa.VariableAccessVisitor.addAccess(net.sourceforge.pmd.lang.dfa.DataFlowNode, net.sourceforge.pmd.lang.symboltable.NameOccurrence);net.sourceforge.pmd.lang.dfa.VariableAccess;0;1;2;1.0;1.0;9;90;35
net.sourceforge.pmd.lang.java.dfa.DataFlowFacade.initializeWith(net.sourceforge.pmd.lang.DataFlowHandler, net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit);net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit;1;0;1;1.0;1.0;5;15;28
net.sourceforge.pmd.lang.java.typeresolution.ClassTypeResolver.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTEqualityExpression);net.sourceforge.pmd.lang.java.ast.JavaParserVisitorAdapter;1;1;1;1.0;1.0;4;479;342
net.sourceforge.pmd.renderers.HTMLRenderer.glomProcessingErrors(java.io.Writer, java.util.List<net.sourceforge.pmd.Report.ProcessingError>);net.sourceforge.pmd.Report;2;0;2;1.0;0.9583333333333334;22;125;190
net.sourceforge.pmd.lang.java.rule.imports.DontImportJavaLangRule.visit(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTImportDeclaration);net.sourceforge.pmd.lang.ast.AbstractNode;1;0;3;1.0;0.975;20;20;247
net.sourceforge.pmd.lang.java.rule.design.CloseResourceRule.ensureClosed(java.lang.Object, net.sourceforge.pmd.lang.java.ast.ASTLocalVariableDeclaration, net.sourceforge.pmd.lang.java.ast.ASTVariableDeclaratorId);net.sourceforge.pmd.lang.java.ast.ASTTryStatement;2;2;3;0.9696969696969697;0.92;118;200;25
net.sourceforge.pmd.util.viewer.gui.menu.AttributesSubMenu.init();net.sourceforge.pmd.lang.ast.xpath.AttributeAxisIterator;0;0;0;0;0
