Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.html.dom.HTMLLinkElementImpl.getMedia();org.apache.html.dom.HTMLElementImpl;1;0;1;1.0;0.9545454545454546;3;57;104
org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseNamedElement(boolean, java.lang.Object[], org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.apache.xerces.xs.XSObject, org.w3c.dom.Element);org.apache.xerces.impl.xs.SchemaSymbols;0;0;19;1.0;1.0;151;233;0
org.apache.xerces.impl.XMLEntityManager.addExternalEntity(java.lang.String, java.lang.String, java.lang.String, java.lang.String);org.apache.xerces.impl.XMLErrorReporter;1;7;2;0.9491525423728814;1.0;24;1294;135
org.apache.xerces.impl.xs.traversers.XSDNotationTraverser.traverse(org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser;3;0;7;1.0;1.0;37;40;565
org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.traverseAnnotationDecl(boolean, java.lang.Object[], org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSDocumentInfo;2;2;6;0.9743589743589743;0.9545454545454546;78;565;66
org.apache.xerces.xpointer.XPointerHandler.parseXPointer(java.lang.String);org.apache.xerces.xinclude.XIncludeHandler;0;11;1;0.8703703703703703;1.0;99;534;1443
org.apache.xerces.impl.XMLEntityManager.setProperty(java.lang.Object, java.lang.String);org.apache.xerces.impl.XMLEntityScanner;1;5;3;0.9572649572649573;0.9743589743589743;29;1294;1059
org.apache.xerces.impl.xs.XSDDescription.hashCode();org.apache.xerces.util.XMLResourceIdentifierImpl;1;0;1;1.0;0.9090909090909091;3;75;97
org.apache.wml.dom.WMLAElementImpl.setXmlLang(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0;1;1.0;0.9761904761904762;3;33;507
org.apache.html.dom.HTMLAreaElementImpl.getHref();org.apache.html.dom.HTMLElementImpl;1;0;1;1.0;0.9545454545454546;3;55;104
