Method;TargetClass;ATFD;ATSD;FDP;DIST_EC;DIST_TC;LOC_M;LOC_EC;LOC_TC
org.apache.html.dom.HTMLLinkElementImpl.getMedia();org.apache.html.dom.HTMLElementImpl;1;0;1;1.0;0.9545454545454546;3;57;104
org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseNamedElement(boolean, java.lang.Object[], org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.apache.xerces.xs.XSObject, org.w3c.dom.Element);org.apache.xerces.impl.xs.SchemaSymbols;0;0;0;0;0;0;0;0
org.apache.xerces.impl.XMLEntityManager.addExternalEntity(java.lang.String, java.lang.String, java.lang.String, java.lang.String);org.apache.xerces.impl.XMLErrorReporter;1;6;2;0.9433962264150944;1.0;24;1812;135
org.apache.xerces.impl.xs.traversers.XSDNotationTraverser.traverse(org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser;2;0;7;1.0;1.0;33;36;332
org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser.traverseAnnotationDecl(boolean, java.lang.Object[], org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSDocumentInfo;0;0;0;0;0;0;0;0
org.apache.xerces.xpointer.XPointerHandler.parseXPointer(java.lang.String);org.apache.xerces.xinclude.XIncludeHandler;0;0;0;0;0;0;0;0
org.apache.xerces.impl.XMLEntityManager.setProperty(java.lang.Object, java.lang.String);org.apache.xerces.impl.XMLEntityScanner;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSDDescription.hashCode();org.apache.xerces.util.XMLResourceIdentifierImpl;0;0;0;0;0;0;0;0
org.apache.wml.dom.WMLAElementImpl.setXmlLang(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0;1;1.0;0.9714285714285714;3;33;395
org.apache.html.dom.HTMLAreaElementImpl.getHref();org.apache.html.dom.HTMLElementImpl;1;0;1;1.0;0.9545454545454546;3;55;104
org.apache.xml.serialize.HTMLSerializer.endElementIO(java.lang.String, java.lang.String, java.lang.String);org.apache.xml.serialize.BaseMarkupSerializer;4;2;4;0.9411764705882353;0.9565217391304348;36;428;967
org.apache.xerces.dom.DOMNormalizer.startElement(org.apache.xerces.xni.Augmentations, org.apache.xerces.xni.QName, org.apache.xerces.xni.XMLAttributes);org.apache.xerces.dom.DOMConfigurationImpl;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.ValidatorImpl.validate(javax.xml.transform.Result, javax.xml.transform.Source);org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xpath.regex.ParserForXMLSchema.processLookahead();org.apache.xerces.impl.xpath.regex.RegexParser;2;0;1;1.0;0.9827586206896551;3;315;943
org.apache.xerces.dom.DOMNormalizer.normalizeDocument(org.apache.xerces.dom.CoreDocumentImpl, org.apache.xerces.dom.DOMConfigurationImpl);org.apache.xerces.dom.CoreDocumentImpl;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser.traverseLocal(org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.traversers.XSDocumentInfo, org.w3c.dom.Element);org.apache.xerces.impl.xs.traversers.XSAttributeChecker;2;0;5;1.0;0.9473684210526316;25;63;448
org.apache.xerces.jaxp.validation.XMLSchemaFactory.newSchema(javax.xml.transform.Source[]);org.apache.xerces.xni.parser.XMLInputSource;0;0;0;0;0;0;0;0
org.apache.wml.dom.WMLGoElementImpl.getMethod();org.apache.xerces.dom.ElementImpl;1;0;1;1.0;0.9714285714285714;3;39;395
org.apache.xerces.impl.XML11NSDocumentScannerImpl.reset(org.apache.xerces.xni.parser.XMLComponentManager);org.apache.xerces.impl.XMLDocumentScannerImpl;0;0;0;0;0;0;0;0
org.apache.xerces.dom.ElementImpl.removeAttribute(java.lang.String);org.apache.xerces.dom.DOMMessageFormatter;1;1;6;0.975;1.0;13;395;28
org.apache.xml.serialize.BaseMarkupSerializer.serialize(org.w3c.dom.DocumentFragment);org.apache.xml.serialize.Printer;2;3;1;0.9605263157894737;0.92;7;967;154
org.apache.xerces.jaxp.validation.XMLSchemaValidatorComponentManager.restoreInitialState();org.apache.xerces.impl.xs.XMLSchemaValidator;0;0;0;0;0;0;0;0
org.apache.xerces.impl.XMLDocumentFragmentScannerImpl.reset(org.apache.xerces.xni.parser.XMLComponentManager);org.apache.xerces.util.XMLAttributesImpl;1;11;2;0.8070175438596492;0.9814814814814815;24;688;208
