Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
com.android.internal.telephony.cat.SelectItemParams;0;0;0;0;0;0
com.android.internal.telephony.cdma.CdmaDataConnectionTracker;0;0;0;0;0;0
android.telephony.SmsCbCmasInfo;0;0;0;0;0;0
android.telephony.SmsManager;0;0;0;0;0;0
com.android.internal.telephony.cdma.EriManager;0;0;0;0;0;0
com.android.internal.telephony.gsm.GsmDataConnectionTracker;0;0;0;0;0;0
com.android.internal.telephony.cat.DeviceIdentities;0;0;0;0;0;0
com.android.internal.telephony.sip.SipConnectionBase;0;0;0;0;0;0
com.android.internal.telephony.cat.RilMessage;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccVmNotSupportedException;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccCardStatus;0;0;0;0;0;0
com.android.internal.telephony.cat.CommandParamsFactory;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccRefreshResponse;0;0;0;0;0;0
com.android.internal.telephony.WapPushOverSms;0;0;0;0;0;0
com.android.internal.telephony.PhoneSubInfo;0;0;0;0;0;0
com.android.internal.telephony.uicc.AdnRecord;0;0;0;0;0;0
com.android.internal.telephony.cat.ValueParser;0;0;0;0;0;0
com.android.internal.telephony.SmsRawData;0;0;0;0;0;0
com.android.internal.telephony.cat.LanguageResponseData;0;0;0;0;0;0
com.android.internal.telephony.uicc.IsimUiccRecords;0;0;0;0;0;0
com.android.internal.telephony.cat.CatLog;0;0;0;0;0;0
com.android.internal.telephony.gsm.GsmSmsCbMessage;0;0;0;0;0;0
com.android.internal.telephony.uicc.RuimFileHandler;0;0;0;0;0;0
com.android.internal.telephony.CommandException;0;0;0;0;0;0
com.android.internal.telephony.gsm.SimPhoneBookInterfaceManager;0;0;0;0;0;0
com.android.internal.telephony.IccSmsInterfaceManagerProxy;0;0;0;0;0;0
com.android.internal.telephony.gsm.SmsCbHeader;0;0;0;0;0;0
com.android.internal.telephony.cat.Input;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccCardApplicationStatus;0;0;0;0;0;0
com.android.internal.telephony.ApnContext;0;0;0;0;0;0
com.android.internal.telephony.cat.ToneSettings;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccException;0;0;0;0;0;0
android.telephony.CellBroadcastMessage;0;0;0;0;0;0
com.android.internal.telephony.cdma.CdmaDataConnection;0;0;0;0;0;0
com.android.internal.telephony.ATParseEx;0;0;0;0;0;0
com.android.internal.telephony.cat.DTTZResponseData;0;0;0;0;0;0
com.android.internal.telephony.cdma.CdmaCall;0;0;0;0;0;0
com.android.internal.telephony.CallStateException;0;0;0;0;0;0
android.telephony.gsm.SmsMessage;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccServiceTable;0;0;0;0;0;0
com.android.internal.telephony.test.SimulatedGsmCallState;0;0;0;0;0;0
com.android.internal.telephony.CallTracker;0;0;0;0;0;0
com.android.internal.telephony.SmsMessageBase;0;0;0;0;0;0
com.android.internal.telephony.TelephonyCapabilities;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccVmFixedException;0;0;0;0;0;0
com.android.internal.telephony.IccPhoneBookInterfaceManagerProxy;0;0;0;0;0;0
com.android.internal.telephony.DebugService;0;0;0;0;0;0
com.android.internal.telephony.uicc.SpnOverride;0;0;0;0;0;0
com.android.internal.telephony.cat.DisplayTextParams;0;0;0;0;0;0
com.android.internal.telephony.gsm.GsmCallTracker;0;0;0;0;0;0
com.android.internal.telephony.IccSmsInterfaceManager;0;0;0;0;0;0
com.android.internal.telephony.cdma.TtyIntent;0;0;0;0;0;0
com.android.internal.telephony.uicc.SIMFileHandler;0;0;0;0;0;0
com.android.internal.telephony.cat.LaunchBrowserParams;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccCardProxy;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccRecords;0;0;0;0;0;0
android.telephony.SmsCbMessage;0;0;0;0;0;0
com.android.internal.telephony.gsm.GsmServiceStateTracker;0;0;0;0;0;0
com.android.internal.telephony.SmsHeader;0;0;0;0;0;0
com.android.internal.telephony.PhoneFactory;0;0;0;0;0;0
android.telephony.SmsCbEtwsInfo;0;0;0;0;0;0
com.android.internal.telephony.BaseCommands;0;0;0;0;0;0
com.android.internal.telephony.cdma.CdmaSMSDispatcher;0;0;0;0;0;0
com.android.internal.telephony.PhoneStateIntentReceiver;0;0;0;0;0;0
com.android.internal.telephony.sip.SipPhoneFactory;0;0;0;0;0;0
com.android.internal.telephony.cat.BIPClientParams;0;0;0;0;0;0
android.telephony.SmsCbLocation;0;0;0;0;0;0
com.android.internal.telephony.RestrictedState;0;0;0;0;0;0
com.android.internal.telephony.cat.IconLoader;0;0;0;0;0;0
com.android.internal.telephony.IccPhoneBookInterfaceManager;0;0;0;0;0;0
com.android.internal.telephony.cat.GetInkeyInputResponseData;0;0;0;0;0;0
com.android.internal.telephony.IccUtils;0;0;0;0;0;0
com.android.internal.telephony.gsm.GsmSmsAddress;0;0;0;0;0;0
com.android.internal.telephony.MccTable;0;0;0;0;0;0
com.android.internal.telephony.PhoneSubInfoProxy;0;0;0;0;0;0
com.android.internal.telephony.DefaultPhoneNotifier;0;0;0;0;0;0
com.android.internal.telephony.sip.SipPhoneBase;0;0;0;0;0;0
com.android.internal.telephony.test.SimulatedCommands;0;0;0;0;0;0
com.android.internal.telephony.DriverCall;0;0;0;0;0;0
com.android.internal.telephony.uicc.VoiceMailConstants;0;0;0;0;0;0
com.android.internal.telephony.SmsUsageMonitor;0;0;0;0;0;0
com.android.internal.telephony.CallForwardInfo;0;0;0;0;0;0
com.android.internal.telephony.cdma.RuimPhoneBookInterfaceManager;0;0;0;0;0;0
com.android.internal.telephony.cat.BerTlv;0;0;0;0;0;0
com.android.internal.telephony.cdma.SignalToneUtil;0;0;0;0;0;0
com.android.internal.telephony.gsm.UsimDataDownloadHandler;0;0;0;0;0;0
com.android.internal.telephony.gsm.SuppServiceNotification;0;0;0;0;0;0
com.android.internal.telephony.cat.CatService;0;0;0;0;0;0
com.android.internal.telephony.gsm.SmsMessage;0;0;0;0;0;0
com.android.internal.telephony.cat.ImageDescriptor;0;0;0;0;0;0
com.android.internal.telephony.cat.CommandParams;0;0;0;0;0;0
com.android.internal.telephony.uicc.IccFileTypeMismatch;0;0;0;0;0;0
com.android.internal.telephony.cat.ItemsIconId;0;0;0;0;0;0
com.android.internal.telephony.cat.CatException;0;0;0;0;0;0
com.android.internal.telephony.Call;0;0;0;0;0;0
com.android.internal.telephony.cdma.SmsMessage;0;0;0;0;0;0
com.android.internal.telephony.UUSInfo;0;0;0;0;0;0
com.android.internal.telephony.SMSDispatcher;0;0;0;0;0;0
com.android.internal.telephony.uicc.AdnRecordCache;0;0;0;0;0;0
com.android.internal.telephony.WspTypeDecoder;0;0;0;0;0;0
com.android.internal.telephony.cat.CommandDetails;0;0;0;0;0;0
com.android.internal.telephony.RetryManager;0;0;0;0;0;0
