Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.tools.ant.ExitStatusException;11;3;1;0.0;0;0
org.apache.tools.ant.taskdefs.email.MimeMailer;152;3;1;0.9166666984558105;1;13
org.apache.tools.ant.filters.util.JavaClassHelper;24;1;1;0.0;0;0
org.apache.tools.ant.NoBannerLogger;18;4;1;0.0;0;3
org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader;15;1;0;0.0;0;1
org.apache.tools.ant.types.selectors.DepthSelector;81;7;4;0.4;0;1
org.apache.tools.ant.util.JavaEnvUtils;147;11;14;0.0;0;0
org.apache.tools.ant.taskdefs.optional.ssh.Directory;70;15;4;0.8333333333333334;0;1
org.apache.tools.ant.taskdefs.Mkdir;31;3;2;0.5;0;0
org.apache.tools.ant.taskdefs.SubAnt;239;27;12;0.9455128449660081;0;3
org.apache.tools.ant.taskdefs.VerifyJar;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPoolEntry;60;7;14;0.9166666269302368;0;0
org.apache.tools.ant.types.resources.Restrict;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.NetRexxC;410;45;41;0.9555555555555556;0;5
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKOUT;46;10;0;0.0;0;1
org.apache.tools.ant.types.FilterSet;248;20;7;0.9415584044022993;0;2
org.apache.tools.ant.taskdefs.Nice;28;3;2;0.5;0;3
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetBaseMatchingTask;63;9;3;0.875;0;1
org.apache.tools.ant.taskdefs.optional.junit.CompoundEnumeration;18;3;2;0.0;0;0
org.apache.tools.ant.taskdefs.optional.native2ascii.DefaultNative2Ascii;0;0;0;0;0;0
org.apache.tools.ant.types.resources.First;0;0;0;0;0;0
org.apache.tools.ant.ProjectComponent;21;5;1;0.3333333333333333;0;2
org.apache.tools.ant.taskdefs.LoadFile;83;6;5;0.8;0;3
org.apache.tools.ant.taskdefs.optional.net.FTP;1129;41;36;0.9717805525835823;0;16
org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool;41;1;3;0.0;0;0
org.apache.tools.ant.util.XmlConstants;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.cvslib.ChangeLogTask;156;14;7;0.8791209000807542;0;2
org.apache.tools.ant.taskdefs.condition.IsFalse;9;2;1;0.0;0;2
org.apache.tools.zip.ZipFile;228;16;8;0.8730158805847168;0;10
org.apache.tools.ant.util.GlobPatternMapper;33;4;6;0.6666666666666666;0;0
org.apache.tools.ant.types.optional.AbstractScriptComponent;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ReplaceRegExp;251;14;8;0.8645833333333334;0;8
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmtype;107;19;13;0.9444444444444444;0;2
org.apache.tools.ant.DirectoryScanner;607;55;27;0.9524200007600604;0;3
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck;75;11;6;0.8333333333333334;0;1
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask;305;29;17;0.9581280412345097;0;5
org.apache.tools.ant.taskdefs.optional.ejb.WLStop;45;8;6;0.8333332879202706;0;0
org.apache.tools.ant.taskdefs.optional.ssh.SSHUserInfo;63;19;6;0.9270833134651184;0;0
org.apache.tools.ant.taskdefs.Copy;326;33;22;0.9384163887270035;0;3
org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter;281;19;23;0.9141414430406358;0;7
org.apache.tools.ant.taskdefs.optional.jsp.JspNameMangler;62;5;1;0.0;0;1
org.apache.tools.ant.types.resources.selectors.InstanceOf;0;0;0;0;0;0
org.apache.tools.ant.input.DefaultInputHandler;53;4;0;0.0;0;2
org.apache.tools.ant.taskdefs.optional.perforce.P4Add;47;5;5;0.75;0;4
org.apache.tools.ant.taskdefs.optional.perforce.P4Edit;12;2;1;0.0;0;2
org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter;31;2;2;0.0;0;0
org.apache.tools.ant.taskdefs.condition.Not;9;1;0;0.0;0;0
org.apache.tools.ant.taskdefs.FixCRLF;561;17;32;0.9786325112367288;1;4
org.apache.tools.ant.types.optional.image.Text;41;7;6;0.8888888359069824;1;6
org.apache.tools.ant.taskdefs.optional.extension.resolvers.AntResolver;40;6;3;0.5333333015441895;0;0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSGET;49;11;0;0.0;0;1
org.apache.tools.ant.util.XMLFragment;46;5;2;0.75;0;0
org.apache.tools.ant.util.java15.ProxyDiagnostics;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.ProcessDestroyer;107;7;6;0.8333333333333334;0;1
org.apache.tools.ant.taskdefs.DiagnosticsTask;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.AbstractCvsTask;331;42;24;0.9630952835083008;0;6
org.apache.tools.ant.types.resources.selectors.Size;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.depend.constantpool.FieldRefCPInfo;36;7;5;0.6;0;0
org.apache.tools.ant.taskdefs.CVSPass;63;6;4;0.8125;0;2
org.apache.tools.ant.taskdefs.compilers.AptCompilerAdapter;58;4;3;0.0;0;3
org.apache.tools.tar.TarEntry;246;35;19;0.9172413924644733;0;14
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc;678;16;15;0.9739500346936678;1;3
org.apache.tools.bzip2.CBZip2InputStream;640;32;39;0.9216216405232748;0;10
org.apache.tools.ant.taskdefs.optional.dotnet.VisualBasicCompile;118;26;6;0.875;0;0
org.apache.tools.ant.taskdefs.Length;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver;55;7;3;0.555555542310079;0;0
org.apache.tools.ant.taskdefs.Move;199;9;0;0.0;0;12
org.apache.tools.zip.ZipOutputStream;311;25;26;0.9117646650834517;0;1
org.apache.tools.ant.taskdefs.Definer;298;21;12;0.92;0;3
org.apache.tools.ant.types.resources.comparators.Name;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetCompile;327;63;21;0.963702366269868;0;4
org.apache.tools.ant.taskdefs.MatchingTask;143;41;1;0.05;0;1
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckin;5;1;0;0.0;0;0
org.apache.tools.ant.taskdefs.optional.jlink.jlink;240;16;5;0.9066666920979818;0;7
org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator;58;3;3;1.3333332538604736;0;0
org.apache.tools.ant.types.resources.ZipResource;0;0;0;0;0;0
org.apache.tools.ant.filters.ConcatFilter;78;9;4;0.75;0;0
org.apache.tools.ant.types.XMLCatalog;488;24;7;0.9652174244756284;0;4
org.apache.tools.tar.TarUtils;82;7;0;0.0;0;0
org.apache.tools.ant.taskdefs.optional.unix.AbstractAccessTask;21;6;0;0.0;0;0
org.apache.tools.ant.util.facade.ImplementationSpecificArgument;14;3;1;0.0;0;0
org.apache.tools.ant.XmlLogger;217;15;18;0.7857142857142857;0;3
org.apache.tools.ant.taskdefs.optional.jsp.Jasper41Mangler;39;3;0;0.0;0;1
org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo;12;4;1;0.0;0;0
org.apache.tools.ant.types.resources.Difference;0;0;0;0;0;0
org.apache.tools.ant.listener.MailLogger;126;6;1;0.8;1;4
org.apache.tools.ant.taskdefs.Untar;50;3;1;0.75;0;2
org.apache.tools.ant.types.optional.depend.ClassfileSet;53;7;2;0.7777777512868246;0;0
org.apache.tools.ant.taskdefs.optional.jsp.compilers.JspCompilerAdapterFactory;30;4;0;0.0;0;0
org.apache.tools.ant.taskdefs.optional.SchemaValidate;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.ejb.JbossDeploymentTool;41;5;4;0.75;0;5
org.apache.tools.ant.taskdefs.Property;305;35;11;0.9384163887270035;0;2
org.apache.tools.ant.taskdefs.Sequential;9;2;1;0.0;0;0
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand;145;17;11;0.8909090677897136;0;4
org.apache.tools.ant.util.ClasspathUtils;121;9;2;0.9166666984558105;0;1
org.apache.tools.ant.taskdefs.optional.Javah;189;18;11;0.9138755798339844;0;2
org.apache.tools.ant.taskdefs.BUnzip2;67;2;1;0.0;0;2
org.apache.tools.ant.taskdefs.email.EmailAddress;95;8;2;0.6;0;0
org.apache.tools.ant.taskdefs.optional.perforce.P4Resolve;76;11;11;0.8800000190734864;0;2
org.apache.tools.ant.types.CommandlineJava;300;38;10;0.9166666356528678;0;3
org.apache.tools.ant.taskdefs.compilers.AptExternalCompilerAdapter;13;2;0;0.0;0;2
org.apache.tools.ant.taskdefs.optional.javah.JavahAdapterFactory;0;0;0;0;0;0
org.apache.tools.bzip2.CRC;22;6;2;0.0;0;0
org.apache.tools.ant.taskdefs.optional.jsp.WLJspc;129;8;6;0.7857142857142857;0;4
org.apache.tools.ant.types.selectors.FilenameSelector;64;8;6;0.6111110846201578;0;2
org.apache.tools.ant.types.optional.image.Ellipse;33;3;2;0.5;1;5
org.apache.tools.ant.util.WeakishReference;9;2;0;1.0;0;0
org.apache.tools.ant.taskdefs.cvslib.RedirectingOutputStream;7;2;1;0.0;0;0
org.apache.tools.ant.taskdefs.DependSet;127;6;4;0.75;0;2
org.apache.tools.ant.taskdefs.optional.vss.MSVSSHISTORY;68;11;0;0.0;0;9
org.apache.tools.ant.taskdefs.cvslib.CvsTagDiff;207;11;13;0.7428571224212647;0;2
org.apache.tools.ant.taskdefs.Delete;320;41;10;0.8722222328186036;0;3
org.apache.tools.ant.types.optional.image.TransformOperation;3;2;0;0.0;0;1
org.apache.tools.ant.taskdefs.EchoXML;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Touch;100;9;6;0.7619047164916992;0;4
org.apache.tools.ant.taskdefs.AbstractJarSignerTask;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.junit.BriefJUnitResultFormatter;93;13;7;0.9220778725363992;0;2
org.apache.tools.ant.types.RegularExpression;54;7;6;0.7;0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCUpdate;93;15;13;0.9285714285714286;0;3
org.apache.tools.ant.taskdefs.TaskOutputStream;24;3;3;0.6666666269302368;0;0
org.apache.tools.ant.taskdefs.Classloader;86;10;6;0.7999999523162842;0;3
org.apache.tools.ant.types.resources.FileResourceIterator;0;0;0;0;0;0
org.apache.tools.ant.types.Mapper;151;14;6;0.9010989115788386;0;0
org.apache.tools.ant.types.resources.CompressedResource;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.perforce.P4OutputStream;25;4;3;0.6666666269302368;0;0
org.apache.tools.ant.AntClassLoader;524;48;15;0.9555555555555556;0;2
org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage;86;11;3;0.9047618593488421;0;1
org.apache.tools.ant.taskdefs.optional.sound.AntSoundPlayer;93;14;6;0.9166666666666666;0;4
org.apache.tools.ant.taskdefs.optional.extension.JarLibResolveTask;113;12;5;0.7818182164972479;0;3
org.apache.tools.ant.taskdefs.Sleep;49;10;5;0.875;0;2
org.apache.tools.ant.util.LeadPipeInputStream;39;5;1;0.5;0;7
org.apache.tools.ant.types.optional.image.BasicShape;9;3;3;1.0;0;0
org.apache.tools.ant.util.optional.WeakishReference12;6;2;1;0.0;0;0
org.apache.tools.ant.types.selectors.DependSelector;27;3;0;0.0;0;4
org.apache.tools.ant.taskdefs.optional.j2ee.JonasHotDeploymentTool;80;7;7;0.75;0;6
org.apache.tools.ant.types.resources.TarResource;0;0;0;0;0;0
org.apache.tools.ant.types.FileSet;14;3;0;0.0;0;0
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter;27;7;5;0.8;0;0
org.apache.tools.ant.types.resources.Files;0;0;0;0;0;0
org.apache.tools.ant.types.optional.ScriptSelector;0;0;0;0;0;0
org.apache.tools.ant.launch.Launcher;135;3;4;0.0;0;2
org.apache.tools.ant.taskdefs.optional.dotnet.WsdlToDotnet;182;16;14;0.9610136526602285;1;0
org.apache.tools.mail.MailMessage;210;31;21;0.9494949623390481;0;0
org.apache.tools.ant.taskdefs.optional.starteam.StarTeamLabel;50;7;6;0.8333333333333334;0;0
