Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
com.hp.hpl.jena.graph.impl.FileGraph;84;15;5;0.9272727099331942;0;1
com.hp.hpl.jena.n3.turtle.LabelToNodeMap;15;4;1;0.5;0;0
com.hp.hpl.jena.rdf.model.ListIndexException;6;2;0;0.0;0;0
com.hp.hpl.jena.rdf.listeners.NullListener;22;11;0;0.0;0;0
com.hp.hpl.jena.reasoner.rulesys.RDFSRuleInfGraph;11;3;0;0.0;0;0
com.hp.hpl.jena.enhanced.EnhNode;59;16;2;0.7857142857142857;0;0
com.hp.hpl.jena.shared.BadBooleanException;3;1;0;0.0;0;0
com.hp.hpl.jena.rdf.listeners.StatementListener;30;11;0;0.0;0;0
com.hp.hpl.jena.graph.query.regexptrees.OneOrMore;12;4;0;0.0;0;1
com.hp.hpl.jena.reasoner.rulesys.impl.RuleClauseCode;484;9;34;0.8666667029971168;0;1
com.hp.hpl.jena.reasoner.rulesys.impl.LPTopGoalIterator;105;12;9;0.7888888835906982;0;1
com.hp.hpl.jena.graph.impl.FileGraphTransactionHandler;33;6;3;0.5;0;3
com.hp.hpl.jena.n3.turtle.parser.ParseException;97;5;5;2.0;0;5
com.hp.hpl.jena.rdf.model.impl.MemoryModelGetter;8;2;1;0.0;0;0
com.hp.hpl.jena.assembler.exceptions.CannotConstructException;24;7;3;1.0;0;0
com.hp.hpl.jena.graph.compose.Union;17;5;0;0.0;0;2
com.hp.hpl.jena.reasoner.rulesys.GenericRuleReasonerFactory;17;4;3;1.0;1;3
com.hp.hpl.jena.util.iterator.Filter;58;5;1;0.0;0;0
com.hp.hpl.jena.reasoner.rulesys.builtins.MakeTemp;12;3;0;0.0;0;0
com.hp.hpl.jena.enhanced.EnhGraph;35;9;4;0.7142857142857143;0;0
com.hp.hpl.jena.datatypes.xsd.XSDhexBinary;20;5;0;0.0;0;0
com.hp.hpl.jena.reasoner.BaseInfGraph;189;34;5;0.925;0;6
com.hp.hpl.jena.util.ModelQueryUtil;23;4;0;0.0;0;0
com.hp.hpl.jena.rdf.model.impl.RSIteratorImpl;6;2;0;0.0;0;0
com.hp.hpl.jena.ontology.impl.OntModelImpl;1017;166;9;0.9916020770405614;2;11
com.hp.hpl.jena.mem.GraphTripleStoreMem;57;7;0;0.8571428571428571;0;7
com.hp.hpl.jena.assembler.exceptions.ReasonerClashException;3;1;0;0.0;0;0
com.hp.hpl.jena.rdf.arp.impl.ARPLocation;29;6;4;0.875;0;0
com.hp.hpl.jena.util.iterator.MapFilterIterator;31;5;4;1.3333333333333333;0;4
com.hp.hpl.jena.shared.PropertyNotFoundException;3;1;0;0.0;0;0
com.hp.hpl.jena.rdf.arp.states.StartStateRDForDescription;18;3;1;0.0;0;3
com.hp.hpl.jena.graph.query.StageElement;22;1;0;0.0;0;1
com.hp.hpl.jena.reasoner.rulesys.impl.ConsumerChoicePointFrame;80;11;7;0.7936507860819498;0;7
com.hp.hpl.jena.util.QueryMapper;33;8;4;1.0;0;0
com.hp.hpl.jena.graph.Triple;134;25;6;0.6071428571428571;0;2
com.hp.hpl.jena.reasoner.rulesys.RDFSRuleReasonerFactory;17;4;3;1.0;2;9
com.hp.hpl.jena.ontology.impl.IndividualImpl;43;10;1;0.0;0;0
com.hp.hpl.jena.vocabulary.OWL;3;1;46;0.0;1;0
com.hp.hpl.jena.shared.BadCharLiteralException;3;1;0;0.0;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDAbstractDateTimeType;237;17;10;0.0;0;3
com.hp.hpl.jena.reasoner.rulesys.OWLMiniReasoner;20;4;2;0.0;0;1
com.hp.hpl.jena.rdf.arp.impl.ARPSaxErrorHandler;15;5;1;0.0;0;0
com.hp.hpl.jena.rdf.model.ModelFactoryBase;9;2;0;0.0;0;0
com.hp.hpl.jena.shared.QueryStageException;3;1;0;0.0;0;0
com.hp.hpl.jena.assembler.RuleSet;18;6;3;0.5;0;0
com.hp.hpl.jena.graph.Node_Blank;16;5;0;0.0;0;1
com.hp.hpl.jena.mem.NodeToTriplesMap;71;13;0;0.0;0;6
com.hp.hpl.jena.datatypes.xsd.impl.XSDGenericType;3;1;0;0.0;0;0
com.hp.hpl.jena.shared.uuid.Bits;93;23;2;0.0;0;0
com.hp.hpl.jena.rdf.arp.impl.AbsXMLContext;82;13;5;0.925000011920929;0;16
com.hp.hpl.jena.graph.Factory;27;6;0;0.0;0;1
com.hp.hpl.jena.graph.query.ValuatorSet;14;4;1;0.0;0;0
com.hp.hpl.jena.shared.NoReasonerSuppliedException;3;1;0;0.0;0;0
com.hp.hpl.jena.shared.CannotEncodeCharacterException;11;3;2;1.0;0;0
