Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.log4j.net.SocketAppender;146;19;11;0.8680555820465088;0;4
org.apache.log4j.net.XMLSocketNode;0;0;0;0;0;0
org.apache.log4j.chainsaw.DisplayFilter;0;0;0;0;0;0
org.apache.log4j.varia.FallbackErrorHandler;0;0;0;0;0;0
org.apache.joran.action.NestComponentIA;0;0;0;0;0;0
org.apache.log4j.AppenderSkeleton;77;17;7;0.8761904398600261;0;5
org.apache.joran.action.AppenderRefAction;0;0;0;0;0;0
org.apache.log4j.lf5.StartLogFactor5;0;0;0;0;0;0
org.apache.joran.Pattern;0;0;0;0;0;0
org.apache.log4j.Level;41;5;0;0.0;0;14
org.apache.log4j.helpers.DateTimeDateFormat;24;4;1;1.0;0;4
org.apache.log4j.lf5.viewer.LogTable;0;0;0;0;0;0
org.apache.log4j.helpers.SyslogQuietWriter;13;4;2;0.5;0;0
org.apache.log4j.lf5.viewer.configure.ConfigurationManager;0;0;0;0;0;0
org.apache.log4j.chainsaw.ColumnComparator;0;0;0;0;0;0
org.apache.log4j.helpers.QuietWriter;28;4;1;0.0;0;3
org.apache.log4j.lf5.viewer.FilteredLogTableModel;0;0;0;0;0;0
org.apache.joran.JoranParser;0;0;0;0;0;0
org.apache.log4j.rolling.helpers.DateTokenConverter;0;0;0;0;0;0
org.apache.log4j.test.Finalize;55;6;1;0.0;0;3
org.apache.log4j.chainsaw.FileLoadAction;0;0;0;0;0;0
org.apache.log4j.SimpleLayout;15;4;1;1.0;0;2
org.apache.log4j.helpers.ISO8601DateFormat;61;4;0;0.0;0;16
org.apache.log4j.lf5.AppenderFinalizer;0;0;0;0;0;0
org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerLogRecordFilter;0;0;0;0;0;0
org.apache.log4j.chainsaw.DetailFieldSelector;0;0;0;0;0;0
org.apache.log4j.spi.Filter;2;2;4;0.0;0;0
org.apache.log4j.pattern.PatternParser;0;0;0;0;0;0
org.apache.log4j.config.PropertySetter;116;9;2;0.6428571428571429;0;6
org.apache.log4j.test.SysoutConfigurator;3;1;0;0.0;0;1
org.apache.log4j.test.DelayedLoop;29;4;2;0.0;0;1
org.apache.log4j.pattern.FormattingInfo;0;0;0;0;0;0
org.apache.log4j.nt.NTEventLogAppender;74;16;8;0.7777777512868246;0;2
org.apache.log4j.chainsaw.prefs.LoadSettingsEvent;0;0;0;0;0;0
org.apache.log4j.test.Hello;5;1;1;0.0;0;0
org.apache.log4j.Layout;9;5;2;0.0;0;0
org.apache.log4j.chainsaw.EventDetails;0;0;0;0;0;0
org.apache.log4j.net.JMSAppender;89;11;5;0.7333333227369521;0;4
org.apache.log4j.xml.examples.XMLSample;22;4;1;0.0;0;1
org.apache.log4j.chainsaw.layout.DefaultLayoutFactory;0;0;0;0;0;0
org.apache.log4j.net.UDPReceiver;0;0;0;0;0;0
org.apache.joran.action.ImplicitAction;0;0;0;0;0;0
