Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.lucene.search.Query;49;10;1;0.875;0;0
org.apache.lucene.index.MultiReader;0;0;0;0;0;0
org.apache.lucene.analysis.PerFieldAnalyzerWrapper;13;3;2;0.5;0;0
org.apache.lucene.analysis.ru.RussianCharsets;27;1;3;0.0;0;0
org.apache.lucene.search.ScoreDoc;4;1;2;0.0;0;0
org.apache.lucene.index.TermEnum;0;4;0;0.0;0;0
org.apache.lucene.search.BooleanScorer;81;5;8;0.9000000272478376;0;0
org.apache.lucene.index.MultipleTermPositions;88;9;4;0.8839285714285714;0;0
org.apache.lucene.index.Term;36;10;2;0.21428571428571427;0;0
org.apache.lucene.index.TermInfosReader;88;13;8;0.8181818181818182;0;5
org.apache.lucene.search.PhraseQuery;128;9;3;0.7788461538461539;0;0
org.apache.lucene.search.SortComparator;0;0;0;0;0;0
org.apache.lucene.search.FieldDoc;0;0;0;0;0;0
org.apache.lucene.analysis.standard.FastCharStream;71;14;6;0.75;0;1
org.apache.lucene.search.HitCollector;0;1;0;0.0;0;0
org.apache.lucene.search.QueryFilter;28;2;2;1.0;0;0
org.apache.lucene.document.Document;57;10;2;0.75;0;2
org.apache.lucene.search.Hits;85;9;9;0.8571428571428571;0;9
org.apache.lucene.analysis.PorterStemmer;406;27;5;0.7066666412353516;0;1
org.apache.lucene.queryParser.QueryParser;738;41;33;0.9328984440983953;0;34
org.apache.lucene.analysis.ru.RussianLetterTokenizer;11;2;1;0.0;0;0
org.apache.lucene.search.SortField;0;0;0;0;0;0
org.apache.lucene.index.FieldInfos;73;14;2;0.8636363636363636;0;3
org.apache.lucene.queryParser.Token;9;2;5;1.875;0;0
org.apache.lucene.search.spans.SpanFirstQuery;0;0;0;0;0;0
org.apache.lucene.index.SegmentInfo;5;1;3;0.0;0;0
org.apache.lucene.search.FuzzyQuery;9;3;0;0.0;0;0
org.apache.lucene.index.TermVectorsReader;0;0;0;0;0;0
org.apache.lucene.search.WildcardQuery;6;2;0;0.0;0;0
org.apache.lucene.analysis.standard.ParseException;98;5;5;1.0;0;5
org.apache.lucene.analysis.standard.StandardAnalyzer;13;3;2;0.0;0;0
org.apache.lucene.index.CompoundFileReader;0;0;0;0;0;0
org.apache.lucene.index.SegmentMergeInfo;31;3;6;1.3333332538604736;0;0
org.apache.lucene.search.ConjunctionScorer;0;0;0;0;0;0
org.apache.lucene.index.DocumentWriter;173;8;9;0.7962962786356608;0;3
org.apache.lucene.store.FSOutputStream;20;6;1;0.0;0;0
org.apache.lucene.document.DateField;31;7;1;0.0;0;1
org.apache.lucene.search.RangeQuery;71;5;3;0.4444444179534912;0;0
org.apache.lucene.analysis.standard.StandardTokenizer;147;14;9;0.7222222328186035;0;14
org.apache.lucene.store.OutputStream;67;14;4;0.8484848195856268;0;0
org.apache.lucene.analysis.ru.RussianLowerCaseFilter;16;2;1;0.0;0;1
org.apache.lucene.search.spans.SpanNotQuery;0;0;0;0;0;0
org.apache.lucene.store.RAMDirectory;98;15;1;0.23076923076923078;0;2
org.apache.lucene.util.PriorityQueue;78;11;3;0.40740738974677193;0;0
org.apache.lucene.index.SegmentMergeQueue;13;3;0;0.0;0;2
org.apache.lucene.queryParser.ParseException;99;5;5;1.0;0;5
org.apache.lucene.index.Posting;6;1;3;0.0;0;0
org.apache.lucene.store.Lock;35;4;1;1.0;0;0
org.apache.lucene.search.PhrasePrefixQuery;118;6;5;0.8484848195856268;0;0
org.apache.lucene.search.ExactPhraseScorer;23;2;0;0.0;0;5
org.apache.lucene.analysis.WhitespaceTokenizer;6;2;0;0.0;0;0
org.apache.lucene.search.FieldSortedHitQueue;0;0;0;0;0;0
org.apache.lucene.index.MultiTermDocs;0;0;0;0;0;0
org.apache.lucene.analysis.CharTokenizer;31;4;5;1.0;0;1
org.apache.lucene.store.FSDirectory;187;18;7;0.7719297910991468;0;0
org.apache.lucene.search.Searcher;15;5;1;0.75;0;0
org.apache.lucene.search.spans.SpanNearQuery;0;0;0;0;0;0
org.apache.lucene.analysis.LowerCaseFilter;9;2;0;0.0;0;2
