Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.catalina.mbeans.ContextResourceMBean;76;3;0;0.0;0;0
org.apache.naming.ResourceEnvRef;21;3;1;0.0;0;1
org.apache.tomcat.util.bcel.classfile.ConstantFloat;0;0;0;0;0;0
org.apache.catalina.valves.ErrorReportValve;129;4;2;0.0;1;4
org.apache.tomcat.util.bcel.classfile.Field;0;0;0;0;0;0
org.apache.jasper.compiler.TldLocation;0;0;0;0;0;0
org.apache.catalina.realm.MemoryRuleSet;11;3;1;0.0;0;0
org.apache.catalina.tribes.transport.bio.util.SingleRemoveSynchronizedAddLock;88;15;7;0.785714308420817;0;0
org.apache.catalina.ha.session.SessionIDMessage;45;12;5;0.9090909090909091;0;0
org.apache.tomcat.util.bcel.classfile.AccessFlags;0;0;0;0;0;0
org.apache.catalina.deploy.FilterMap;174;11;22;0.85;0;0
org.apache.tomcat.util.bcel.classfile.ArrayElementValue;0;0;0;0;0;0
org.apache.tomcat.util.digester.GenericParser;16;1;3;0.0;0;0
org.apache.tomcat.util.digester.NodeCreateRule;112;6;2;0.8285714149475097;0;2
org.apache.tomcat.util.http.fileupload.DiskFileItemFactory;0;0;0;0;0;0
org.apache.tomcat.util.http.HttpMessages;42;2;5;0.0;0;0
org.apache.catalina.ha.ClusterMessageBase;20;7;3;0.8;0;0
org.apache.catalina.valves.CometConnectionManagerValve;146;11;6;0.7399999618530273;0;6
org.apache.catalina.startup.WebRuleSet;190;6;4;0.5833333333333334;0;4
org.apache.tomcat.util.modeler.modules.MbeansDescriptorsDigesterSource;77;7;7;0.9333333174387614;0;0
org.apache.tomcat.jni.FileInfo;0;0;17;0.0;0;0
org.apache.tomcat.util.modeler.NotificationInfo;36;6;3;0.5;0;2
org.apache.naming.NamingEntry;16;3;7;1.3333332538604736;0;0
org.apache.coyote.http11.Http11NioProcessor;1031;50;39;0.9431306521097819;4;58
org.apache.tomcat.util.http.CookieSupport;0;0;0;0;0;0
org.apache.coyote.ajp.AjpAprProtocol;329;51;15;0.9502924199689898;2;4
