Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.velocity.runtime.parser.node.ASTVariable;9;3;0;0.0;0;0
org.apache.velocity.runtime.parser.node.ASTAndNode;23;4;0;0.0;0;0
org.apache.velocity.anakia.AnakiaElement;0;0;0;0;0;0
org.apache.velocity.test.TexenClasspathTestCase;0;0;0;0;0;0
org.apache.velocity.runtime.configuration.Configuration;628;51;7;0.9566666412353516;0;1
org.apache.velocity.runtime.parser.node.ASTIdentifier;57;6;1;0.3333333333333333;0;3
org.apache.velocity.test.BaseTestCase;39;6;1;1.0;0;0
org.apache.velocity.runtime.resource.Resource;54;16;9;0.9038461538461539;0;0
org.apache.velocity.runtime.log.NullLogSystem;0;0;0;0;0;0
org.apache.velocity.util.SimplePool;29;4;3;0.5;0;0
org.apache.velocity.runtime.parser.node.PropertyExecutor;34;2;1;0.0;0;1
org.apache.velocity.runtime.parser.node.ASTSubtractNode;22;4;0;0.0;0;0
org.apache.velocity.runtime.log.Log4JLogSystem;103;9;3;0.5714285714285714;0;16
org.apache.velocity.runtime.resource.ContentResource;17;2;0;0.0;0;4
org.apache.velocity.runtime.parser.Token;9;2;6;1.8888888359069824;0;0
org.apache.velocity.runtime.parser.node.ASTElseStatement;12;4;0;0.0;0;0
org.apache.velocity.runtime.exception.ReferenceException;3;1;0;0.0;0;0
org.apache.velocity.util.introspection.IntrospectionCacheData;0;0;2;0.0;0;0
org.apache.velocity.runtime.RuntimeSingleton;0;0;0;0;0;0
org.apache.velocity.runtime.resource.ResourceCacheImpl;0;0;0;0;0;0
org.apache.velocity.exception.VelocityException;3;1;0;0.0;0;0
org.apache.velocity.runtime.parser.node.ASTNumberLiteral;17;5;1;0.5;0;1
org.apache.velocity.runtime.directive.ParseDirectiveException;20;3;3;0.6666666269302368;0;0
org.apache.velocity.io.VelocityWriter;117;19;10;0.6888888676961263;0;0
org.apache.velocity.util.ArrayIterator;15;4;2;0.5;0;0
org.apache.velocity.context.AbstractContext;44;13;1;0.8;0;0
org.apache.velocity.util.introspection.IntrospectorBase;0;0;0;0;0;0
org.apache.velocity.runtime.resource.loader.JarHolder;62;6;3;0.5;0;0
org.apache.velocity.runtime.compiler.Compiler;52;1;0;0.0;0;1
org.apache.velocity.texen.util.FileUtil;17;3;0;0.0;0;0
org.apache.velocity.runtime.parser.node.ASTStringLiteral;35;5;4;0.625;0;2
org.apache.velocity.runtime.parser.node.ASTLTNode;22;4;0;0.0;0;0
org.apache.velocity.test.VelocityAppTestCase;29;3;3;1.0;0;0
org.apache.velocity.runtime.visitor.BaseVisitor;142;36;2;1.0;0;0
org.apache.velocity.VelocityContext;31;8;1;0.0;0;0
org.apache.velocity.runtime.parser.node.ASTGENode;22;4;0;0.0;0;0
org.apache.velocity.runtime.directive.Foreach;76;5;9;0.75;0;4
org.apache.velocity.runtime.parser.node.ASTModNode;26;4;0;0.0;0;0
org.apache.velocity.runtime.parser.node.ASTSetDirective;41;7;3;0.75;0;2
org.apache.velocity.runtime.parser.node.ASTText;19;5;1;0.5;0;1
org.apache.velocity.app.Velocity;134;16;0;0.0;0;3
org.apache.velocity.runtime.VelocimacroManager;98;10;4;0.9351851940155029;0;0
org.apache.velocity.context.InternalContextBase;35;10;4;0.8333333333333334;0;0
org.apache.velocity.runtime.parser.node.ASTFalse;15;5;1;0.0;0;0
org.apache.velocity.runtime.resource.ResourceFactory;12;1;0;0.0;0;2
org.apache.velocity.runtime.parser.node.NodeUtils;44;2;0;0.0;0;3
org.apache.velocity.runtime.parser.node.ASTAddNode;22;4;0;0.0;0;0
org.apache.velocity.test.EventHandlingTestCase;0;0;0;0;0;0
org.apache.velocity.util.introspection.MethodMap;40;3;1;0.0;0;0
org.apache.velocity.runtime.resource.loader.FileResourceLoader;72;5;2;0.625;0;0
org.apache.velocity.runtime.resource.loader.DataSourceResourceLoader;97;8;7;0.8979591642107282;0;0
org.apache.velocity.runtime.parser.node.ASTMulNode;22;4;0;0.0;0;0
org.apache.velocity.runtime.directive.VMProxyArg;178;11;10;0.7999999523162842;0;9
org.apache.velocity.runtime.log.VelocityFormatter;3;1;0;0.0;0;0
org.apache.velocity.runtime.log.LogManager;18;1;0;0.0;0;2
org.apache.velocity.runtime.parser.node.ASTNotNode;13;4;0;0.0;0;0
org.apache.velocity.runtime.parser.VelocityCharStream;0;0;0;0;0;0
org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader;24;4;0;0.0;0;0
org.apache.velocity.texen.ant.Texen;0;0;0;0;0;0
org.apache.velocity.Template;74;4;2;1.0;0;4
org.apache.velocity.runtime.log.SimpleLog4JLogSystem;0;0;0;0;0;0
org.apache.velocity.test.ContextSafetyTestCase;48;3;0;0.0;0;5
org.apache.velocity.util.introspection.Introspector;27;3;1;0.0;0;0
org.apache.velocity.runtime.parser.ParseException;98;5;5;1.0;0;5
org.apache.velocity.runtime.parser.node.ASTEscape;17;5;1;0.5;0;1
org.apache.velocity.anakia.Escape;36;2;0;0.0;0;0
org.apache.velocity.test.TemplateTestSuite;33;3;1;1.0;0;1
org.apache.velocity.runtime.parser.node.GetExecutor;16;2;1;0.0;0;1
org.apache.velocity.runtime.parser.node.ASTReference;185;11;9;0.8541666269302368;0;3
org.apache.velocity.runtime.directive.VelocimacroProxy;101;13;10;0.9083333015441895;0;4
org.apache.velocity.runtime.parser.node.ASTOrNode;16;4;0;0.0;0;0
org.apache.velocity.context.InternalContextAdapterImpl;64;19;2;0.5625;0;0
org.apache.velocity.test.AnakiaTestCase;19;3;3;0.0;0;1
