Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
bsh.Capabilities;27;5;2;0.0;0;0
bsh.CollectionManager;0;0;0;0;0;0
gnu.regexp.CharIndexedReader;95;5;8;0.6111110846201578;0;1
bsh.ClassGeneratorImpl;0;0;0;0;0;0
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher;112;7;12;0.9166666030883789;0;0
bsh.LHS;89;8;8;0.5;0;0
org.gjt.sp.jedit.PerspectiveManager;163;2;0;0.875;0;17
org.gjt.sp.jedit.buffer.ExplicitFoldHandler;38;2;0;0.0;0;3
org.gjt.sp.jedit.textarea.ChunkCache;328;26;9;0.8385416666666666;1;11
bsh.ParserTokenManager;1621;49;24;0.7913043809973676;0;10
bsh.TargetError;47;10;2;0.7857142857142857;0;1
org.gjt.sp.jedit.options.WindowTableModel;0;0;0;0;0;0
org.gjt.sp.jedit.Mode;89;13;5;0.8000000173395331;0;2
org.gjt.sp.jedit.Buffer;1787;148;52;0.9742806924355997;1;45
org.gjt.sp.jedit.syntax.Token;21;4;27;1.2000000476837158;0;0
bsh.BSHPrimarySuffix;84;6;4;1.0833333730697632;0;3
bsh.BSHThrowStatement;8;2;0;0.0;0;0
macos.Delegate;252;12;2;0.9642857142857143;0;4
org.gjt.sp.jedit.textarea.ExtensionManager;79;6;1;0.5333333015441895;0;3
gnu.regexp.REToken;30;8;3;0.8333333134651184;0;0
org.gjt.sp.jedit.options.AppearanceOptionPane;95;4;11;0.5454545021057129;0;1
org.gjt.sp.jedit.io.VFS;270;32;17;0.9777777700713186;0;10
org.gjt.sp.jedit.Macros;347;22;6;0.9795321414345189;0;9
bsh.InterpreterError;3;1;0;0.0;0;0
gnu.regexp.REMatchEnumeration;35;6;9;0.875;0;2
org.gjt.sp.jedit.gui.IOProgressMonitor;94;4;3;0.8809523582458496;0;3
org.gjt.sp.jedit.gui.ActionBar;304;6;8;0.9000000423855252;0;9
org.gjt.sp.jedit.help.HistoryButton;0;0;0;0;0;0
installer.SwingInstall;328;3;14;0.9588234845329734;1;12
gnu.regexp.REMatch;95;14;8;0.71875;0;0
org.gjt.sp.jedit.options.EditingOptionPane;201;6;17;0.45112780162266325;0;0
org.gjt.sp.jedit.gui.StatusBar;373;12;29;0.9173387289047241;0;6
gnu.regexp.IntPair;0;0;1;0.0;0;0
gnu.regexp.REFilterReader;46;5;6;1.0;0;3
bsh.Variable;0;0;0;0;0;0
org.gjt.sp.jedit.options.PluginManagerOptionPane;128;3;9;0.875;0;11
org.gjt.sp.jedit.buffer.KillRing;35;3;3;0.0;0;1
org.gjt.sp.jedit.OperatingSystem;118;13;10;0.0;0;4
org.gjt.sp.jedit.textarea.Gutter;359;37;24;0.9474206651960101;0;19
installer.ConsoleInstall;64;2;1;0.0;0;1
bsh.BSHMethodDeclaration;28;3;4;0.75;0;3
bsh.BSHFormalComment;3;1;1;0.0;0;0
org.gjt.sp.jedit.options.TextAreaOptionPane;71;3;21;0.0;1;2
org.gjt.sp.jedit.browser.BrowserView;253;16;7;0.8585858778520064;0;14
installer.Install;61;5;2;0.8333333333333334;0;1
bsh.BSHVariableDeclarator;12;2;1;0.0;0;1
bsh.BSHAllocationExpression;76;8;0;0.0;0;2
org.gjt.sp.jedit.search.SearchAndReplace;473;30;10;0.0;0;10
gnu.regexp.RETokenChar;35;5;2;0.5;0;1
org.gjt.sp.jedit.buffer.BufferInsertRequest;0;0;0;0;0;0
gnu.regexp.CharIndexedCharArray;14;4;2;0.0;0;1
gnu.regexp.RETokenRepeated;120;7;3;0.6;0;2
org.gjt.sp.jedit.help.HelpHistoryModel;0;0;0;0;0;0
bsh.BSHTernaryExpression;8;2;0;0.0;0;0
org.gjt.sp.jedit.gui.FontSelector;42;2;0;0.0;0;3
org.gjt.sp.jedit.indent.CloseBracketIndentRule;0;0;0;0;0;0
org.gjt.sp.jedit.ServiceManager;108;8;1;0.9;0;3
org.gjt.sp.jedit.search.DirectoryListSet;62;9;3;0.5833333134651184;0;1
org.gjt.sp.jedit.EditServer;151;7;5;1.0;0;5
QuickNotepadOptionPane;47;5;3;0.555555502573649;0;4
org.gjt.sp.jedit.gui.DefaultInputHandler;273;16;4;0.6153846153846154;0;31
org.gjt.sp.jedit.gui.EnhancedButton;34;2;2;0.8888888359069824;0;0
org.gjt.sp.jedit.buffer.BufferLoadRequest;0;0;0;0;0;0
org.gjt.sp.jedit.gui.AddAbbrevDialog;61;1;5;1.2000000476837158;0;1
org.gjt.sp.jedit.search.HyperSearchResult;26;5;8;0.7916666666666666;0;0
org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;215;14;4;0.8653846153846154;0;19
org.gjt.sp.jedit.textarea.Anchor;0;0;0;0;0;0
gnu.regexp.RETokenOneOf;69;5;2;0.25;0;4
org.gjt.sp.jedit.gui.DockablePanel;0;0;0;0;0;0
installer.CRC;16;4;2;0.0;0;0
org.gjt.sp.jedit.gui.PasteFromListDialog;0;0;0;0;0;0
org.gjt.sp.jedit.menu.RecentDirectoriesProvider;57;2;0;0.0;0;1
installer.TarBuffer;162;21;11;0.6190475736345563;0;3
org.gjt.sp.jedit.browser.VFSBrowser;778;45;31;0.9392097148489444;0;26
org.gjt.sp.jedit.browser.BrowserCommandsMenu;115;4;4;0.8333333333333334;0;1
org.gjt.sp.jedit.search.SearchMatcher;0;0;0;0;0;0
gnu.regexp.RETokenWordBoundary;38;3;4;0.0;0;6
bsh.BSHBinaryExpression;55;4;1;1.0;0;11
macos.script.AppleScriptHandler;18;5;1;1.0;0;0
bsh.BSHWhileStatement;35;2;1;0.0;0;5
org.gjt.sp.jedit.EditPlugin;63;9;1;0.9;0;0
QuickNotepadPlugin;0;0;2;0.0;0;0
org.gjt.sp.jedit.menu.FavoritesProvider;45;2;1;1.5;0;3
org.gjt.sp.jedit.syntax.SyntaxStyle;20;6;4;0.9375;0;0
org.gjt.sp.jedit.ActionContext;34;7;2;0.4;0;1
bsh.DelayedEvalBshMethod;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.ParserRuleSet;104;28;17;0.9543269230769231;0;2
bsh.BSHArrayDimensions;40;4;3;0.6666666269302368;0;2
doclet.GenerateTocXML;44;3;4;0.0;0;0
