Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
com.mxgraph.swing.util.mxGraphTransferable;0;0;0;0;0;0
com.mxgraph.util.mxEventObject;0;0;0;0;0;0
com.mxgraph.analysis.mxUnionFind;0;0;0;0;0;0
com.mxgraph.view.mxCellState;0;0;0;0;0;0
com.mxgraph.shape.mxLineShape;0;0;0;0;0;0
com.mxgraph.util.mxDomUtils;0;0;0;0;0;0
com.mxgraph.shape.mxMarkerRegistry;0;0;0;0;0;0
com.mxgraph.shape.mxTriangleShape;0;0;0;0;0;0
com.mxgraph.swing.util.mxGraphActions;0;0;0;0;0;0
com.mxgraph.canvas.mxBasicCanvas;0;0;0;0;0;0
com.mxgraph.analysis.mxGraphGenerator;0;0;0;0;0;0
com.mxgraph.util.svg.PathParser;0;0;0;0;0;0
com.mxgraph.layout.mxPartitionLayout;0;0;0;0;0;0
com.mxgraph.swing.handler.mxConnectionHandler;0;0;0;0;0;0
com.mxgraph.swing.view.mxInteractiveCanvas;0;0;0;0;0;0
com.mxgraph.view.mxMultiplicity;0;0;0;0;0;0
com.mxgraph.util.svg.NormalizingReader;0;0;0;0;0;0
com.mxgraph.util.mxImageBundle;0;0;0;0;0;0
com.mxgraph.io.mxTerminalChangeCodec;0;0;0;0;0;0
com.mxgraph.shape.mxRectangleShape;0;0;0;0;0;0
com.mxgraph.shape.mxEllipseShape;0;0;0;0;0;0
com.mxgraph.util.mxLightweightLabel;0;0;0;0;0;0
com.mxgraph.layout.hierarchical.model.mxGraphHierarchyEdge;0;0;0;0;0;0
com.mxgraph.shape.mxDoubleRectangleShape;0;0;0;0;0;0
com.mxgraph.util.svg.ParseException;0;0;0;0;0;0
com.mxgraph.util.png.mxPngTextDecoder;0;0;0;0;0;0
com.mxgraph.io.mxCodecRegistry;0;0;0;0;0;0
com.mxgraph.swing.util.mxSwingConstants;0;0;0;0;0;0
com.mxgraph.analysis.mxGraphProperties;0;0;0;0;0;0
com.mxgraph.swing.handler.mxGraphHandler;0;0;0;0;0;0
com.mxgraph.io.mxGenericChangeCodec;0;0;0;0;0;0
com.mxgraph.layout.hierarchical.mxHierarchicalLayout;0;0;0;0;0;0
com.mxgraph.util.mxLine;0;0;0;0;0;0
com.mxgraph.layout.orthogonal.model.mxOrthogonalModel;0;0;0;0;0;0
com.mxgraph.util.mxUtils;0;0;0;0;0;0
com.mxgraph.io.mxObjectCodec;0;0;0;0;0;0
com.mxgraph.canvas.mxSvgCanvas;0;0;0;0;0;0
com.mxgraph.util.mxEvent;0;0;0;0;0;0
com.mxgraph.shape.mxHexagonShape;0;0;0;0;0;0
com.mxgraph.analysis.mxTraversal;0;0;0;0;0;0
com.mxgraph.swing.util.mxMorphing;0;0;0;0;0;0
com.mxgraph.view.mxGraphView;0;0;0;0;0;0
com.mxgraph.costfunction.mxCostFunction;0;0;0;0;0;0
com.mxgraph.util.mxUndoableEdit;0;0;0;0;0;0
