Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.jgroups.stack.GossipData;44;11;4;0.5357142857142857;0;0
org.jgroups.protocols.PingWaiter;83;11;8;0.8611111111111112;1;1
org.jgroups.jmx.protocols.TCPPING;8;3;0;0.0;0;0
org.jgroups.util.Queue;294;23;7;0.5595238095238095;0;0
org.jgroups.jmx.protocols.TCP;53;15;1;0.0;0;0
org.jgroups.jmx.protocols.pbcast.NAKACK;76;25;1;0.0;0;0
org.jgroups.protocols.DISCARD;80;6;6;0.7714285373687744;1;5
org.jgroups.stack.StateTransferInfo;49;9;6;0.33333325386047363;0;0
org.jgroups.blocks.DistributedLockManager;330;24;12;0.9010989325387138;0;1
org.jgroups.SuspectEvent;9;3;1;1.0;0;0
org.jgroups.stack.IpAddress;167;22;7;0.578125;1;3
org.jgroups.jmx.protocols.MPING;40;13;1;0.0;0;0
org.jgroups.protocols.pbcast.FLUSH;568;29;24;0.9184188842773438;1;19
org.jgroups.blocks.LockNotGrantedException;6;2;1;0.0;0;0
org.jgroups.blocks.ConnectionTableNIO;847;27;20;0.984375;0;22
org.jgroups.persistence.CannotConnectException;12;3;3;0.0;0;0
org.jgroups.Global;0;0;23;0.0;0;0
org.jgroups.protocols.FD;474;28;18;0.94633270973383;2;16
org.jgroups.protocols.FC;439;39;22;0.921936728737571;2;9
org.jgroups.Event;117;8;48;0.8;1;0
org.jgroups.protocols.pbcast.ParticipantGmsImpl;101;13;2;0.7272727272727273;1;12
org.jgroups.persistence.DBPersistenceManager;376;24;15;0.9047619047619048;0;0
org.jgroups.MergeView;71;11;1;0.0;1;4
org.jgroups.protocols.MPING;200;20;9;0.8479531940660978;2;11
org.jgroups.util.Promise;88;10;2;0.6111111111111112;0;0
org.jgroups.protocols.DUMMY_TP;23;6;1;0.5;1;5
org.jgroups.protocols.FD_PING;98;3;2;1.149999976158142;0;14
org.jgroups.util.Range;25;7;2;0.0;0;0
org.jgroups.protocols.pbcast.GMS;1021;55;39;0.9699999809265136;2;33
org.jgroups.jmx.protocols.pbcast.STREAMING_STATE_TRANSFER;19;6;1;0.0;0;0
org.jgroups.util.Digest;0;0;0;0;0;0
org.jgroups.jmx.protocols.Discovery;37;12;1;0.0;0;0
org.jgroups.demos.DrawMultiplexer;31;2;1;1.0;0;1
org.jgroups.auth.MD5Token;69;9;4;0.6;0;1
org.jgroups.util.OutgoingBufferPool;32;4;1;0.0;0;0
org.jgroups.jmx.protocols.UNICAST;43;14;1;0.0;0;0
org.jgroups.stack.Retransmitter;228;12;9;0.9214285441807338;0;1
org.jgroups.protocols.SFC;355;30;23;0.9229813711983818;2;10
org.jgroups.util.List;247;21;3;0.6190476190476191;0;1
org.jgroups.conf.ClassConfigurator;109;12;6;0.8600000381469727;1;2
org.jgroups.protocols.PingSender;35;5;7;0.9047618707021078;0;0
org.jgroups.blocks.MessageDispatcher;573;28;15;0.9104761941092355;1;18
org.jgroups.protocols.PingRsp;45;11;4;0.375;1;1
org.jgroups.blocks.TwoPhaseVotingAdapter;95;6;1;0.875;0;0
org.jgroups.protocols.FlushRsp;10;3;3;0.0;0;0
org.jgroups.protocols.UNICAST;377;25;13;0.913690447807312;1;12
org.jgroups.JChannelFactory;416;38;13;0.8607954382896423;0;1
org.jgroups.protocols.TcpHeader;23;8;1;0.0;0;0
org.jgroups.blocks.VotingAdapter;216;21;13;0.9217391636060632;0;3
org.jgroups.jmx.protocols.TCP_NIO;31;10;1;0.0;0;0
org.jgroups.debug.ProtocolTester;90;6;4;1.0;1;4
org.jgroups.Header;8;3;1;0.0;0;0
org.jgroups.Channel;109;43;11;0.9107142857142857;0;0
org.jgroups.demos.DistributedHashtableDemo;187;21;14;0.963562714426141;0;3
org.jgroups.GetStateEvent;13;4;2;0.5;0;0
org.jgroups.protocols.TCPPING;68;5;3;0.625;2;8
org.jgroups.demos.applets.DrawApplet;200;13;20;0.9027777512868246;0;6
org.jgroups.blocks.LockNotReleasedException;6;2;1;0.0;0;0
org.jgroups.util.TimedWriter;171;8;6;0.8686868879530165;0;1
org.jgroups.stack.ProtocolStack;167;22;9;0.8496240314684416;1;1
org.jgroups.protocols.TRACE;20;5;0;0.0;0;3
org.jgroups.conf.PlainConfigurator;9;3;1;1.0;0;0
org.jgroups.jmx.protocols.UDP;10;3;1;0.0;0;0
org.jgroups.stack.AckReceiverWindow;56;7;3;0.2;0;0
org.jgroups.protocols.FD_SOCK;852;33;36;0.9520348707834879;2;22
org.jgroups.util.QueueClosedException;9;3;1;0.0;0;0
org.jgroups.protocols.TCP_NIO;115;16;8;0.9;0;16
org.jgroups.blocks.MembershipListenerAdapter;20;6;2;0.4;0;0
org.jgroups.util.MagicObjectOutputStream;27;2;2;0.0;0;0
org.jgroups.protocols.pbcast.MergeData;50;11;4;0.5625;0;0
org.jgroups.Message;497;46;22;0.7596153846153846;1;4
org.jgroups.protocols.BasicTCP;174;20;14;0.9464285373687744;1;9
org.jgroups.util.DirectExecutor;3;1;0;0.0;0;0
org.jgroups.TimeoutException;9;3;1;0.0;0;0
org.jgroups.jmx.protocols.FRAG2;34;11;1;0.0;0;0
org.jgroups.jmx.protocols.FD_SOCK;28;9;1;0.0;0;0
org.jgroups.util.FIFOMessageQueue;0;0;0;0;0;0
org.jgroups.protocols.UdpHeader;25;8;2;0.5;0;0
org.jgroups.blocks.NBMessageForm_NIO;44;4;7;0.6666666269302368;0;0
org.jgroups.protocols.BARRIER;0;0;0;0;0;0
org.jgroups.protocols.FD_SIMPLE;208;10;9;0.9210526315789473;2;11
org.jgroups.blocks.LockMultiLockedException;6;2;1;0.0;0;0
org.jgroups.demos.ViewDemo;52;6;1;1.0;1;5
org.jgroups.demos.Draw2Channels;241;9;18;0.9709091186523438;1;15
org.jgroups.jmx.JChannel;256;66;10;0.8825396583193824;0;5
org.jgroups.blocks.ReplicatedHashMap;0;0;0;0;0;0
org.jgroups.demos.DrawRepl;176;21;20;1.0022883164255243;0;6
org.jgroups.demos.CausalDemo;104;5;6;1.2222222487131755;0;4
org.jgroups.protocols.SMACK;222;10;11;0.8636363574436733;2;15
org.jgroups.protocols.pbcast.STATE_TRANSFER;437;21;16;0.8924242655436198;2;32
org.jgroups.stack.GossipRouter;612;39;26;0.9426129659016927;0;2
org.jgroups.protocols.CAUSAL;591;12;8;0.952173896457838;3;11
org.jgroups.protocols.LOOPBACK;32;6;2;0.625;1;7
org.jgroups.ViewId;61;17;2;0.4230769230769231;1;1
org.jgroups.blocks.MessageListenerAdapter;67;14;3;0.666666637767445;0;0
org.jgroups.demos.QuoteServer;83;13;7;0.9444444179534912;0;1
org.jgroups.jmx.protocols.FRAG;28;9;1;0.0;0;0
org.jgroups.jmx.protocols.FD;52;17;1;0.0;0;0
org.jgroups.ExitEvent;3;1;0;0.0;0;0
org.jgroups.jmx.protocols.FC;73;24;1;0.0;0;0
org.jgroups.stack.AckSenderWindow;154;12;5;0.875;0;1
org.jgroups.protocols.FRAG2;333;17;10;0.9598214285714286;1;12
org.jgroups.protocols.Discovery;187;22;9;0.8833333015441894;1;18
org.jgroups.stack.AckMcastReceiverWindow;83;8;2;0.2857142857142857;0;1
org.jgroups.blocks.RpcDispatcher;246;35;5;0.8799999872843425;0;4
org.jgroups.protocols.VIEW_SYNC;230;17;11;0.9255582747920867;2;13
org.jgroups.blocks.MethodCall;318;29;15;0.7857142857142857;0;0
org.jgroups.util.Marshaller;46;3;1;0.0;0;0
org.jgroups.util.TimeScheduler;231;16;12;0.842391304347826;0;0
org.jgroups.protocols.AuthHeader;23;8;1;0.16666666666666666;0;0
org.jgroups.util.ContextObjectInputStream;27;2;2;0.0;0;0
org.jgroups.jmx.protocols.SEQUENCER;40;13;1;0.3;0;0
org.jgroups.jmx.protocols.pbcast.STABLE;40;13;1;0.0;0;0
org.jgroups.jmx.protocols.pbcast.STATE_TRANSFER;19;6;1;0.0;0;0
org.jgroups.protocols.TP;1259;83;66;0.988467295964559;2;24
org.jgroups.util.GetNetworkInterfaces;13;1;0;0.0;0;1
org.jgroups.demos.Topology;118;20;10;0.9444444444444444;0;4
org.jgroups.blocks.DistributedQueue;370;36;15;0.8708333373069763;0;2
org.jgroups.util.MutableDigest;0;0;0;0;0;0
org.jgroups.conf.MagicNumberReader;81;4;3;0.6666666666666666;0;1
org.jgroups.protocols.DISCARD_PAYLOAD;52;4;3;0.6666666269302368;1;3
org.jgroups.blocks.ReplicatedTree;619;47;16;0.9571906456580529;0;2
org.jgroups.blocks.RequestCorrelator;460;28;13;0.9060605945009174;2;7
org.jgroups.BlockEvent;3;1;0;0.0;0;0
org.jgroups.protocols.pbcast.ClientGmsImpl;227;16;3;0.8333332879202706;1;22
org.jgroups.conf.ProtocolParameter;31;8;2;0.5;0;0
org.jgroups.util.ExposedByteArrayInputStream;12;3;0;0.0;0;4
org.jgroups.jmx.protocols.TP;139;46;1;0.0;0;0
org.jgroups.conf.XmlConfigurator;351;25;12;0.9318181818181818;0;2
org.jgroups.protocols.HTOTAL;123;7;6;0.8125;1;7
org.jgroups.jmx.protocols.pbcast.GMS;70;23;1;0.0;0;0
org.jgroups.demos.wb.Node;5;1;7;0.0;1;0
org.jgroups.conf.ClassMap;31;8;4;1.0;0;0
org.jgroups.protocols.TUNNEL;254;18;15;0.8984375;2;13
org.jgroups.util.ExposedBufferedOutputStream;12;3;0;0.0;0;2
org.jgroups.protocols.PING;156;9;7;0.8541666269302368;1;11
org.jgroups.jmx.protocols.STATS;49;16;1;0.0;0;0
org.jgroups.StreamingSetStateEvent;11;3;2;1.0;0;0
org.jgroups.util.Scheduler;134;10;10;0.8125;0;1
org.jgroups.demos.wb.SendDialog;51;3;5;1.0;1;4
org.jgroups.UnblockEvent;3;1;0;0.0;0;0
org.jgroups.protocols.pbcast.Gossip;68;13;6;0.6799999713897705;0;1
org.jgroups.mux.Multiplexer;748;46;17;0.9092261791229248;1;28
org.jgroups.jmx.protocols.MERGE2;22;7;1;0.0;0;0
org.jgroups.demos.MyCanvas;169;23;12;0.8614718119303385;0;6
org.jgroups.blocks.PullPushAdapter;305;28;7;0.8518518518518519;0;0
org.jgroups.StreamingGetStateEvent;11;3;2;1.0;0;0
org.jgroups.protocols.STATS;160;20;6;0.9100000381469726;1;5
org.jgroups.protocols.JMS;234;11;27;0.9172931852794829;1;9
org.jgroups.protocols.SEQUENCER;224;20;10;0.8839285714285714;2;8
org.jgroups.protocols.ExampleHeader;5;2;1;0.0;0;0
org.jgroups.util.BoundedList;20;4;1;0.0;0;1
org.jgroups.util.MagicObjectInputStream;21;2;2;0.0;0;0
org.jgroups.blocks.VoteException;3;1;1;0.0;0;0
org.jgroups.persistence.FilePersistenceManager;79;8;1;0.8333333333333334;0;1
org.jgroups.protocols.ENCRYPT;618;52;29;0.9531073489431607;2;13
org.jgroups.demos.wb.UserInfoDialog;35;3;4;1.5;0;1
org.jgroups.blocks.BasicConnectionTable;486;28;28;0.9778409437699751;0;1
org.jgroups.protocols.TransportedVectorTime;48;10;4;0.8095237868172782;0;0
org.jgroups.demos.DrawCommand;43;6;8;0.0;0;0
org.jgroups.protocols.PingHeader;42;9;4;0.25;1;1
org.jgroups.util.ReusableThread;156;14;6;0.7636363289572976;0;0
org.jgroups.demos.TotalOrder;309;9;21;1.034964994950728;0;12
org.jgroups.protocols.pbcast.STABLE;563;36;24;0.9568965435028076;2;19
org.jgroups.demos.wb.ApplFrame;38;12;1;0.8;0;0
org.jgroups.JChannel;802;66;28;0.9280618470290611;2;43
org.jgroups.jmx.protocols.PING;10;3;0;0.0;0;1
org.jgroups.protocols.EXAMPLE;30;4;1;1.0;1;5
org.jgroups.Membership;92;18;2;0.3333333333333333;0;0
org.jgroups.protocols.AUTH;122;7;2;0.6;1;7
org.jgroups.blocks.LockingException;13;3;2;0.0;0;0
org.jgroups.util.ExposedByteArrayOutputStream;11;4;0;0.0;0;1
org.jgroups.util.Rsp;43;12;4;0.6875;0;0
org.jgroups.protocols.MERGEFAST;64;5;3;0.6666666666666666;1;6
org.jgroups.auth.AuthToken;0;3;1;0.0;0;0
org.jgroups.protocols.COMPRESS;132;6;6;0.8166666030883789;2;6
org.jgroups.demos.wb.MessageDialog;23;2;2;0.0;0;0
org.jgroups.demos.QuoteClient;166;18;15;0.9821428656578064;0;5
org.jgroups.protocols.TCP;59;10;1;0.375;0;16
org.jgroups.SuspectedException;9;3;2;0.0;0;0
org.jgroups.debug.Simulator;190;11;12;0.8956044060843331;1;3
org.jgroups.util.ExposedBufferedInputStream;19;3;1;0.0;0;5
org.jgroups.jmx.protocols.pbcast.FLUSH;25;8;1;0.0;0;0
org.jgroups.blocks.ConnectionTable;205;11;0;0.0;0;19
org.jgroups.conf.ProtocolData;79;14;5;0.8727273074063387;0;0
org.jgroups.stack.AckMcastSenderWindow;261;22;13;0.8928571180863814;0;1
org.jgroups.debug.Profiler;96;7;3;0.8333333333333334;0;0
org.jgroups.stack.Protocol;110;30;7;0.9508928571428571;0;0
org.jgroups.util.Stack;30;9;0;0.0;0;5
org.jgroups.protocols.PERF_TP;87;13;6;0.7272727272727273;1;7
org.jgroups.protocols.pbcast.CoordGmsImpl;562;34;8;0.9453441218325966;1;35
org.jgroups.ChannelNotConnectedException;8;3;1;0.0;0;0
org.jgroups.protocols.TCPGOSSIP;104;8;5;0.7142857142857143;1;10
org.jgroups.demos.ReplicatedTreeDemo;410;3;0;0.9650349472508286;0;9
org.jgroups.demos.TotOrderRequest;41;6;10;0.3333333333333333;0;0
org.jgroups.protocols.TpHeader;25;8;2;0.5;0;0
org.jgroups.ChannelClosedException;9;3;1;0.0;0;0
org.jgroups.protocols.UDP;579;27;18;0.8967611606304462;1;20
org.jgroups.demos.CausalMessage;7;2;2;0.0;0;0
org.jgroups.ChannelException;9;3;1;0.0;0;0
org.jgroups.blocks.UpdateException;3;1;1;0.0;0;0
org.jgroups.mux.MuxHeader;48;10;2;0.08333333333333333;1;1
org.jgroups.jmx.Protocol;56;19;1;0.0;0;0
org.jgroups.jmx.protocols.VIEW_SYNC;25;8;1;0.0;0;0
org.jgroups.protocols.MERGE3;169;10;9;0.8977272510528564;1;9
org.jgroups.protocols.MERGE2;203;12;9;0.9000000112196979;2;14
org.jgroups.mux.MuxChannel;164;34;7;0.8645833134651184;1;5
org.jgroups.demos.wb.GraphPanel;234;21;15;0.9230769307989823;1;19
org.jgroups.blocks.DistributedHashtable;360;34;14;0.8862433963351779;0;3
org.jgroups.util.AckCollector;72;14;5;0.7454545281150124;0;1
org.jgroups.blocks.DistributedTree;434;47;11;0.9276018329695159;0;2
org.jgroups.protocols.pbcast.NakAckHeader;89;12;7;0.17857142857142858;1;2
org.jgroups.util.Util;1443;115;19;0.0;2;13
org.jgroups.mux.ServiceInfo;103;9;9;0.20833333333333334;1;2
org.jgroups.util.LinkedListQueue;176;14;6;0.3541666666666667;0;0
org.jgroups.protocols.FRAG;305;14;10;0.96;1;10
org.jgroups.demos.TotalTokenDemo;330;8;9;0.9794871648152669;0;5
org.jgroups.ReceiverAdapter;13;6;0;0.0;0;0
org.jgroups.persistence.CannotPersistException;8;2;3;0.0;0;0
org.jgroups.persistence.PersistenceFactory;71;10;6;0.0;0;0
org.jgroups.demos.Draw;416;27;16;0.9605442592075892;0;16
org.jgroups.conf.ConfiguratorFactory;244;15;4;0.0;0;1
org.jgroups.protocols.FragHeader;33;8;3;0.2;1;2
org.jgroups.demos.DistributedQueueDemo;161;21;10;0.9631578545821341;0;3
org.jgroups.protocols.SHARED_LOOPBACK;0;0;0;0;0;0
org.jgroups.Version;14;4;3;0.0;0;1
org.jgroups.util.ThreadPool;55;5;5;0.6666666666666666;0;0
org.jgroups.protocols.pbcast.STREAMING_STATE_TRANSFER;728;24;23;0.9521829164945163;2;33
org.jgroups.demos.NotificationBusDemo;60;6;6;1.0666666984558106;0;2
org.jgroups.auth.X509Token;0;0;0;0;0;0
org.jgroups.SetStateEvent;13;4;2;0.5;0;0
org.jgroups.auth.SimpleToken;45;7;2;0.25;0;1
org.jgroups.stack.Interval;17;5;2;0.5;0;0
org.jgroups.protocols.SHUFFLE;70;8;3;0.7777777512868246;1;3
org.jgroups.protocols.TunnelHeader;23;8;1;0.0;0;0
org.jgroups.util.Proxy;553;21;10;1.0122807184855143;0;6
org.jgroups.protocols.pbcast.JoinRsp;50;11;4;0.3809523582458496;1;1
org.jgroups.protocols.SIZE;97;7;5;0.8333333333333334;1;5
org.jgroups.jmx.protocols.SFC;62;20;1;0.0;0;0
org.jgroups.auth.FixedMembershipToken;52;6;4;0.75;0;1
org.jgroups.persistence.CannotRemoveException;8;2;3;0.0;0;0
org.jgroups.demos.Chat;212;31;14;0.9605911517965382;0;6
org.jgroups.demos.DistributedTreeDemo;239;19;10;0.9611110687255859;0;4
org.jgroups.jmx.JmxConfigurator;85;9;1;0.0;0;0
org.jgroups.util.ExposedDataOutputStream;9;3;0;0.0;0;2
org.jgroups.blocks.ReplicatedHashtable;299;28;8;0.912727279663086;0;0
org.jgroups.ExtendedReceiverAdapter;32;13;0;0.0;0;0
org.jgroups.protocols.VERIFY_SUSPECT;233;10;9;0.8285714558192662;2;13
org.jgroups.protocols.DELAY;45;5;1;0.75;1;4
