Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.jhotdraw.samples.svg.figures.LinkHandle;0;0;0;0;0;0
org.jhotdraw.samples.pert.figures.TaskFigure;0;0;0;0;0;0
org.jhotdraw.samples.svg.SVGCreateFromFileTool;0;0;0;0;0;0
org.jhotdraw.samples.draw.DrawView;0;0;0;0;0;0
org.jhotdraw.gui.JAttributeTextAreaBeanInfo;0;0;0;0;0;0
org.jhotdraw.samples.svg.figures.SVGPathOutlineHandle;0;0;0;0;0;0
org.jhotdraw.draw.io.ImageInputFormat;0;0;0;0;0;0
org.jhotdraw.draw.AttributeKey;0;0;0;0;0;0
org.jhotdraw.xml.DefaultDOMFactory;0;0;0;0;0;0
org.jhotdraw.draw.action.EditorColorIcon;0;0;0;0;0;0
org.jhotdraw.app.action.file.SaveFileAsAction;0;0;0;0;0;0
org.jhotdraw.gui.JAttributeTextFieldBeanInfo;0;0;0;0;0;0
org.jhotdraw.samples.svg.io.DefaultSVGFigureFactory;0;0;0;0;0;0
org.jhotdraw.samples.svg.figures.SVGImageFigure;0;0;0;0;0;0
org.jhotdraw.draw.action.DrawingColorIcon;0;0;0;0;0;0
org.jhotdraw.app.action.AbstractApplicationAction;0;0;0;0;0;0
org.jhotdraw.color.JColorWheel;0;0;0;0;0;0
org.jhotdraw.draw.handle.TransformHandleKit;0;0;0;0;0;0
org.jhotdraw.samples.svg.gui.StrokeToolBarBeanInfo;0;0;0;0;0;0
org.jhotdraw.draw.QuadTreeDrawing;0;0;0;0;0;0
org.jhotdraw.xml.JavaxDOMOutput;0;0;0;0;0;0
org.jhotdraw.samples.svg.figures.SVGRectRadiusHandle;0;0;0;0;0;0
org.jhotdraw.gui.JLifeFormattedTextFieldBeanInfo;0;0;0;0;0;0
org.jhotdraw.draw.AbstractDrawing;0;0;0;0;0;0
net.n3.nanoxml.StdXMLReader;0;0;0;0;0;0
org.jhotdraw.gui.fontchooser.FontCollectionNode;0;0;0;0;0;0
org.jhotdraw.gui.filechooser.ExtensionFileFilter;0;0;0;0;0;0
org.jhotdraw.color.HSLHarmonicColorWheelImageProducer;0;0;0;0;0;0
org.jhotdraw.gui.JLifeFormattedTexAreaBeanInfo;0;0;0;0;0;0
org.jhotdraw.draw.connector.ChopEllipseConnector;0;0;0;0;0;0
org.jhotdraw.io.BoundedRangeInputStream;0;0;0;0;0;0
org.jhotdraw.samples.odg.ODGPropertiesPanelBeanInfo;0;0;0;0;0;0
org.jhotdraw.draw.FigureLayerComparator;0;0;0;0;0;0
org.jhotdraw.color.HSLPhysiologicColorSpace;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.PaletteUtilities;0;0;0;0;0;0
org.jhotdraw.draw.handle.OrientationHandle;0;0;0;0;0;0
org.jhotdraw.samples.teddy.TeddyApplicationModel;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.PaletteRootPaneUI;0;0;0;0;0;0
org.jhotdraw.color.ColorWheelChooser;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.PaletteSliderThumbIcon;0;0;0;0;0;0
org.jhotdraw.draw.event.AttributeChangeEdit;0;0;0;0;0;0
org.jhotdraw.draw.action.ToggleGridAction;0;0;0;0;0;0
org.jhotdraw.geom.Dimension2DDouble;0;0;0;0;0;0
org.jhotdraw.samples.odg.figures.ODGBezierFigure;0;0;0;0;0;0
org.jhotdraw.util.prefs.PreferencesUtil;0;0;0;0;0;0
org.jhotdraw.samples.teddy.action.ToggleStatusBarAction;0;0;0;0;0;0
org.jhotdraw.geom.DoubleStroke;0;0;0;0;0;0
org.jhotdraw.gui.event.SheetEvent;0;0;0;0;0;0
org.jhotdraw.samples.svg.action.CombineAction;0;0;0;0;0;0
org.jhotdraw.draw.decoration.CompositeLineDecoration;0;0;0;0;0;0
org.jhotdraw.draw.event.SelectionComponentDisplayer;0;0;0;0;0;0
net.n3.nanoxml.ValidatorPlugin;0;0;0;0;0;0
org.jhotdraw.samples.draw.Main;0;0;0;0;0;0
org.jhotdraw.draw.action.ButtonFactory;0;0;0;0;0;0
org.jhotdraw.app.action.app.ReOpenApplicationAction;0;0;0;0;0;0
org.jhotdraw.samples.mini.EditorSample;0;0;0;0;0;0
org.jhotdraw.draw.handle.HandleAttributeKeys;0;0;0;0;0;0
org.jhotdraw.draw.action.PickAttributesAction;0;0;0;0;0;0
org.jhotdraw.samples.odg.ODGAttributeKeys;0;0;0;0;0;0
org.jhotdraw.gui.JAttributeTextArea;0;0;0;0;0;0
org.jhotdraw.gui.JPopupButtonBeanInfo;0;0;0;0;0;0
org.jhotdraw.samples.svg.gui.FigureToolBarBeanInfo;0;0;0;0;0;0
org.jhotdraw.samples.odg.figures.ODGGroupFigure;0;0;0;0;0;0
org.jhotdraw.samples.net.NetPanel;0;0;0;0;0;0
org.jhotdraw.draw.AbstractConstrainer;0;0;0;0;0;0
org.jhotdraw.samples.svg.gui.SummaryToolBar;0;0;0;0;0;0
org.jhotdraw.draw.TriangleFigure;0;0;0;0;0;0
org.jhotdraw.app.action.edit.SelectAllAction;0;0;0;0;0;0
org.jhotdraw.draw.tool.ImageTool;0;0;0;0;0;0
org.jhotdraw.geom.ConvexHull;0;0;0;0;0;0
org.jhotdraw.draw.handle.AbstractConnectionHandle;0;0;0;0;0;0
org.jhotdraw.color.PolarColorWheelImageProducer;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.PaletteLookAndFeel;0;0;0;0;0;0
org.jhotdraw.gui.JAttributeTextField;0;0;0;0;0;0
org.jhotdraw.samples.draw.DrawingPanelBeanInfo;0;0;0;0;0;0
org.jhotdraw.draw.DefaultDrawingViewBeanInfo;0;0;0;0;0;0
org.jhotdraw.app.action.window.ToggleVisibleAction;0;0;0;0;0;0
org.jhotdraw.draw.handle.RoundRectangleRadiusHandle;0;0;0;0;0;0
org.jhotdraw.samples.odg.ODGApplicationModel;0;0;0;0;0;0
org.jhotdraw.samples.svg.gui.ActionsToolBar;0;0;0;0;0;0
org.jhotdraw.samples.mini.MultiEditorSample;0;0;0;0;0;0
org.jhotdraw.app.action.file.ClearFileAction;0;0;0;0;0;0
org.jhotdraw.gui.fontchooser.AbstractFontChooserModel;0;0;0;0;0;0
org.jhotdraw.draw.action.IncreaseHandleDetailLevelAction;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.PaletteToolBarBorder;0;0;0;0;0;0
org.jhotdraw.draw.action.UngroupAction;0;0;0;0;0;0
org.jhotdraw.draw.io.SerializationInputOutputFormat;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.PaletteListUI;0;0;0;0;0;0
org.jhotdraw.app.action.window.MaximizeWindowAction;0;0;0;0;0;0
org.jhotdraw.app.action.file.OpenFileAction;0;0;0;0;0;0
org.jhotdraw.draw.connector.StickyRectangleConnector;0;0;0;0;0;0
org.jhotdraw.color.ComplexColorWheelImageProducer;0;0;0;0;0;0
org.jhotdraw.app.action.file.OpenDirectoryAction;0;0;0;0;0;0
org.jhotdraw.draw.action.AttributeAction;0;0;0;0;0;0
org.jhotdraw.samples.svg.gui.LinkToolBar;0;0;0;0;0;0
org.jhotdraw.draw.handle.DragHandle;0;0;0;0;0;0
org.jhotdraw.app.action.window.MinimizeWindowAction;0;0;0;0;0;0
org.jhotdraw.samples.svg.gui.SummaryToolBarBeanInfo;0;0;0;0;0;0
org.jhotdraw.gui.plaf.palette.colorchooser.PaletteRGBChooser;0;0;0;0;0;0
org.jhotdraw.draw.AbstractAttributedCompositeFigure;0;0;0;0;0;0
org.jhotdraw.app.action.file.NewFileAction;0;0;0;0;0;0
org.jhotdraw.draw.text.FloatingTextArea;0;0;0;0;0;0
org.jhotdraw.net.URIUtil;0;0;0;0;0;0
org.jhotdraw.draw.event.CompositeFigureEdit;0;0;0;0;0;0
org.jhotdraw.draw.handle.ConnectionStartHandle;0;0;0;0;0;0
org.jhotdraw.xml.css.CSSRule;0;0;0;0;0;0
org.jhotdraw.geom.BezierPath;0;0;0;0;0;0
org.jhotdraw.gui.JSheet;0;0;0;0;0;0
org.jhotdraw.draw.locator.FontSizeLocator;0;0;0;0;0;0
org.jhotdraw.samples.mini.ConnectingFiguresSample;0;0;0;0;0;0
org.jhotdraw.color.AbstractColorSlidersModel;0;0;0;0;0;0
