Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
com.ecyrd.jspwiki.tags.WikiBodyTag;13;2;2;0.0;0;1
com.ecyrd.jspwiki.tags.EditorTag;25;2;1;0.0;0;2
com.ecyrd.jspwiki.ui.admin.beans.SearchManagerBean;0;0;0;0;0;0
com.ecyrd.jspwiki.rss.RSSGenerator;214;13;22;0.7878787300803445;0;5
com.ecyrd.jspwiki.render.RenderingManager;59;10;4;0.9629629982842339;0;0
com.ecyrd.jspwiki.diff.TraditionalDiffProvider;59;4;5;0.5714285714285714;0;0
com.ecyrd.jspwiki.ui.admin.SimpleAdminBean;0;0;0;0;0;0
com.ecyrd.jspwiki.ui.InputValidator;41;5;6;0.6666666666666666;0;0
com.ecyrd.jspwiki.SearchResultComparator;7;1;0;0.0;0;0
com.ecyrd.jspwiki.forms.FormInfo;56;18;12;0.9296875;0;0
com.ecyrd.jspwiki.tags.PreviousVersionTag;7;1;1;0.0;0;1
org.apache.catalina.util.HexUtils;50;4;1;0.0;0;0
com.ecyrd.jspwiki.dav.methods.GetMethod;25;2;0;0.0;0;1
com.ecyrd.jspwiki.tags.SearchResultIteratorTag;40;5;3;0.75;0;4
com.ecyrd.jspwiki.xmlrpc.RPCHandlerUTF8;121;12;1;1.0909090909090908;0;11
com.ecyrd.jspwiki.util.CommentedProperties;0;0;0;0;0;0
com.ecyrd.jspwiki.providers.NoSuchVersionException;3;1;1;0.0;0;0
com.ecyrd.jspwiki.event.PageEventFilter;0;0;0;0;0;0
com.ecyrd.jspwiki.plugin.CurrentTimePlugin;15;1;2;0.0;0;0
com.ecyrd.jspwiki.workflow.Outcome;0;0;0;0;0;0
com.ecyrd.jspwiki.i18n.InternationalizationManager;0;0;0;0;0;0
com.ecyrd.jspwiki.ui.WikiRequestWrapper;0;0;0;0;0;0
com.ecyrd.jspwiki.tags.CookieTag;178;16;8;0.855555534362793;0;0
com.ecyrd.jspwiki.plugin.BugReportHandler;84;3;7;0.0;0;1
com.ecyrd.jspwiki.tags.HistoryIteratorTag;49;2;2;0.0;0;3
com.ecyrd.jspwiki.util.WatchDog;0;0;0;0;0;0
com.ecyrd.jspwiki.ui.WikiServletFilter;59;6;1;1.0;0;1
com.ecyrd.jspwiki.dav.WikiDavServlet;72;12;6;0.8909091082486239;0;0
com.ecyrd.jspwiki.rss.AtomFeed;68;5;2;1.0;0;4
com.ecyrd.jspwiki.WikiException;3;1;1;0.0;0;0
com.ecyrd.jspwiki.providers.AbstractFileProvider;191;18;9;0.8055555555555556;0;2
