Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.bson.LazyBSONObject;0;0;0;0;0;0
com.mongodb.DBPort;0;0;0;0;0;0
com.mongodb.io.ZipUtil;0;0;0;0;0;0
com.mongodb.BasicDBList;0;0;0;0;0;0
org.bson.BSON;0;0;0;0;0;0
com.mongodb.util.Args;0;0;0;0;0;0
com.mongodb.util.SimplePool;0;0;0;0;0;0
org.bson.io.Bits;0;0;0;0;0;0
org.bson.types.BSONTimestamp;0;0;0;0;0;0
org.bson.BSONLazyDecoder;0;0;0;0;0;0
com.mongodb.util.Hash;0;0;0;0;0;0
com.mongodb.util.OptionMap;0;0;0;0;0;0
com.mongodb.LazyWriteableDBDecoder;0;0;0;0;0;0
com.mongodb.Mongo;0;0;0;0;0;0
com.mongodb.gridfs.GridFSDBFile;0;0;0;0;0;0
com.mongodb.ReflectionDBObject;0;0;0;0;0;0
com.mongodb.gridfs.CLI;0;0;0;0;0;0
com.mongodb.DBApiLayer;0;0;0;0;0;0
com.mongodb.util.TestNGListener;0;0;0;0;0;0
com.mongodb.MapReduceOutput;0;0;0;0;0;0
org.bson.types.Code;0;0;0;0;0;0
com.mongodb.io.ByteBufferHolder;0;0;0;0;0;0
org.bson.BasicBSONCallback;0;0;0;0;0;0
com.mongodb.LazyDBObject;0;0;0;0;0;0
org.bson.io.UTF8Encoding;0;0;0;0;0;0
org.bson.util.StringRangeSet;0;0;0;0;0;0
org.bson.KeyCachingLazyBSONObject;0;0;0;0;0;0
com.mongodb.util.Util;0;0;0;0;0;0
com.mongodb.DBPortPool;0;0;0;0;0;0
org.bson.BasicBSONObject;0;0;0;0;0;0
org.bson.BasicBSONEncoder;0;0;0;0;0;0
com.mongodb.QueryBuilder;0;0;0;0;0;0
com.mongodb.LazyDBCallback;0;0;0;0;0;0
org.bson.util.ExposedByteArrayInputStream;0;0;0;0;0;0
org.bson.io.BSONInput;0;0;0;0;0;0
org.bson.util.SimplePool;0;0;0;0;0;0
com.mongodb.LazyWriteableDBCallback;0;0;0;0;0;0
com.mongodb.MapReduceCommand;0;0;0;0;0;0
com.mongodb.util.TestCase;0;0;0;0;0;0
com.mongodb.OutMessage;0;0;0;0;0;0
com.mongodb.ServerAddress;0;0;0;0;0;0
