Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
net.sourceforge.pmd.renderers.HTMLRenderer;125;10;7;0.9375;0;4
net.sourceforge.pmd.lang.java.symboltable.Search;39;5;3;0.5;0;1
net.sourceforge.pmd.lang.java.JavaDataFlowHandler;6;2;0;0.0;0;0
net.sourceforge.pmd.lang.jsp.rule.JspRuleChainVisitor;24;2;0;0.0;0;0
net.sourceforge.pmd.lang.ast.xpath.saxon.AbstractNodeInfo;127;39;0;0.0;0;0
net.sourceforge.pmd.lang.java.rule.controversial.AssignmentInOperandRule;20;4;4;0.0;0;0
net.sourceforge.pmd.util.datasource.FileDataSource;31;5;2;0.6666666666666666;0;0
net.sourceforge.pmd.lang.java.rule.JavaRuleViolation;65;5;0;0.0;0;2
net.sourceforge.pmd.lang.java.symboltable.ScopeAndDeclarationFinder;149;21;1;0.85;0;0
net.sourceforge.pmd.lang.java.ast.ASTMemberValue;9;3;0;0.0;0;0
net.sourceforge.pmd.lang.java.rule.unusedcode.UnusedModifierRule;33;4;0;0.0;0;0
net.sourceforge.pmd.lang.cpp.CppTokenManager;9;3;1;0.0;0;0
net.sourceforge.pmd.lang.java.ast.DumpFacade;216;4;2;0.6666666666666666;0;0
net.sourceforge.pmd.lang.jsp.ast.OpenTagRegister;34;3;1;0.5;0;0
net.sourceforge.pmd.lang.java.ast.ASTInclusiveOrExpression;9;3;0;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.ASTCatchClause;18;6;0;0.0;0;1
net.sourceforge.pmd.lang.java.rule.strictexception.ExceptionAsFlowControlRule;18;1;0;0.0;0;0
net.sourceforge.pmd.lang.plsql.PLSQLDataFlowHandler;6;2;0;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.ASTForLoop;18;6;0;0.0;0;0
net.sourceforge.pmd.lang.vm.rule.basic.NoInlineJavaScriptRule;0;0;0;0;0;0
net.sourceforge.pmd.lang.plsql.symboltable.VariableNameDeclaration;0;0;0;0;0;0
net.sourceforge.pmd.lang.java.rule.design.AvoidReassigningParametersRule;21;3;0;0.0;0;0
net.sourceforge.pmd.lang.rule.properties.FloatMultiProperty;17;4;1;0.0;0;0
net.sourceforge.pmd.cpd.CSVRenderer;29;3;2;0.0;0;1
net.sourceforge.pmd.lang.java.ast.ASTPreIncrementExpression;9;3;0;0.0;0;0
net.sourceforge.pmd.lang.java.ast.ASTCastExpression;9;3;0;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.ASTObjectLiteral;18;6;1;0.75;0;1
net.sourceforge.pmd.lang.rule.properties.BooleanMultiProperty;18;6;0;0.0;0;0
net.sourceforge.pmd.lang.vm.directive.Foreach;0;0;0;0;0;0
net.sourceforge.pmd.lang.java.ast.ASTResultType;15;5;0;0.0;0;0
net.sourceforge.pmd.lang.vm.directive.Directive;0;0;0;0;0;0
net.sourceforge.pmd.lang.dfa.LinkerException;6;2;0;0.0;0;0
net.sourceforge.pmd.lang.dfa.report.ReportHTMLPrintVisitor;83;8;5;0.7916666666666666;0;1
net.sourceforge.pmd.lang.java.AbstractJavaHandler;69;7;0;0.0;0;1
net.sourceforge.pmd.lang.ecmascript.ast.ASTIfStatement;18;6;0;0.0;0;1
net.sourceforge.pmd.lang.java.rule.basic.CheckSkipResultRule;27;1;0;0.0;0;0
net.sourceforge.pmd.lang.java.ast.ASTAdditiveExpression;9;3;0;0.0;0;0
net.sourceforge.pmd.RuleSetNotFoundException;3;1;0;0.0;0;0
net.sourceforge.pmd.processor.AbstractPMDProcessor;26;4;1;0.5;0;0
net.sourceforge.pmd.lang.jsp.ast.ASTCData;9;3;0;0.0;0;0
net.sourceforge.pmd.util.viewer.model.SimpleNodeTreeNodeAdapter;43;11;3;0.7407407230801053;0;0
net.sourceforge.pmd.lang.java.typeresolution.rules.SignatureDeclareThrowsException;96;12;2;0.8;0;0
net.sourceforge.pmd.cpd.JavaLanguage;8;2;0;0.0;0;0
net.sourceforge.pmd.lang.java.rule.junit.JUnitAssertionsShouldIncludeMessageRule;29;3;1;1.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.ASTXmlExpression;12;4;0;0.0;0;1
net.sourceforge.pmd.AbstractPropertySource;95;16;2;0.6153846153846154;0;0
net.sourceforge.pmd.lang.xml.rule.XmlRuleViolationFactory;8;3;1;0.0;0;0
net.sourceforge.pmd.lang.java.symboltable.ClassNameDeclaration;6;2;0;0.0;0;0
net.sourceforge.pmd.lang.java.rule.strings.InsufficientStringBufferDeclarationRule;250;11;2;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.ASTDoLoop;12;4;0;0.0;0;0
net.sourceforge.pmd.renderers.SummaryHTMLRenderer;38;4;1;0.0;0;5
net.sourceforge.pmd.lang.plsql.symboltable.ClassNameDeclaration;18;6;0;0.0;0;1
net.sourceforge.pmd.dcd.graph.ConstructorNode;55;7;1;1.0;0;4
net.sourceforge.pmd.lang.java.rule.basic.BooleanInstantiationRule;50;4;1;0.0;0;0
net.sourceforge.pmd.cpd.LanguageFactory;44;5;5;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.DumpFacade;176;3;2;0.5;0;0
net.sourceforge.pmd.lang.java.rule.optimizations.LocalVariableCouldBeFinalRule;17;1;0;0.0;0;0
net.sourceforge.pmd.lang.java.rule.strings.UseStringBufferLengthRule;36;3;1;0.5;0;0
net.sourceforge.pmd.SynchronizedReportListener;9;3;1;0.0;0;0
net.sourceforge.pmd.lang.java.rule.design.GenericClassCounterRule;75;10;11;0.875;0;0
net.sourceforge.pmd.lang.java.rule.design.ExcessiveNodeCountRule;18;2;1;0.0;0;0
net.sourceforge.pmd.lang.java.rule.unnecessary.UnnecessaryConversionTemporaryRule;31;3;4;0.16666662693023682;0;0
net.sourceforge.pmd.lang.java.ast.ASTAnnotationTypeDeclaration;9;3;0;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.ast.ASTWhileLoop;12;4;0;0.0;0;0
net.sourceforge.pmd.lang.java.rule.comments.CommentContentRule;65;9;9;0.8571428571428571;0;1
net.sourceforge.pmd.lang.java.ast.ASTTypeArgument;9;3;0;0.0;0;0
net.sourceforge.pmd.util.viewer.gui.menu.SimpleNodeSubMenu;14;2;2;0.0;0;0
net.sourceforge.pmd.lang.LanguageFilenameFilter;35;4;1;0.0;0;0
net.sourceforge.pmd.lang.ecmascript.Ecmascript3Handler;33;5;0;0.0;0;1
net.sourceforge.pmd.util.database.DBType;0;0;0;0;0;0
net.sourceforge.pmd.dcd.asm.TypeSignatureVisitor;207;25;11;0.9015151804143732;0;9
net.sourceforge.pmd.ant.SourceLanguage;15;5;2;0.5;0;0
net.sourceforge.pmd.lang.vm.ast.ASTMathNode;0;0;0;0;0;0
net.sourceforge.pmd.lang.ast.xpath.DocumentNavigator;277;29;1;0.0;0;0
net.sourceforge.pmd.util.IOUtil;13;3;0;0.0;0;1
net.sourceforge.pmd.cpd.PLSQLTokenizer;0;0;0;0;0;0
net.sourceforge.pmd.lang.java.rule.design.AssignmentToNonFinalStaticRule;26;2;0;0.0;0;0
net.sourceforge.pmd.lang.dfa.SequenceChecker;88;4;6;0.8775510106767926;1;0
net.sourceforge.pmd.lang.vm.rule.VmRuleViolationFactory;0;0;0;0;0;0
net.sourceforge.pmd.util.database.SourceObject;0;0;0;0;0;0
net.sourceforge.pmd.lang.java.ast.MultiLineComment;3;1;0;0.0;0;0
net.sourceforge.pmd.util.filter.OrFilter;19;4;0;0.0;0;1
net.sourceforge.pmd.lang.plsql.rule.PLSQLRuleViolationFactory;8;3;1;0.0;0;0
net.sourceforge.pmd.renderers.AbstractRenderer;47;12;5;0.8800000190734864;0;0
net.sourceforge.pmd.lang.java.rule.AbstractPoorMethodCall;36;5;0;0.0;0;0
net.sourceforge.pmd.lang.vm.rule.basic.AvoidReassigningParametersRule;0;0;0;0;0;0
net.sourceforge.pmd.lang.java.ast.ASTTypeBound;9;3;0;0.0;0;0
net.sourceforge.pmd.lang.ast.AbstractTokenManager;13;4;3;1.0;0;0
net.sourceforge.pmd.lang.java.ast.ASTName;15;5;1;0.5;0;0
net.sourceforge.pmd.lang.java.rule.codesize.ModifiedCyclomaticComplexityRule;0;0;0;0;0;0
net.sourceforge.pmd.lang.java.rule.basic.AvoidUsingHardCodedIPRule;134;9;11;0.8571428571428571;0;0
net.sourceforge.pmd.lang.jsp.ast.ASTText;9;3;0;0.0;0;0
net.sourceforge.pmd.cpd.CsTokenizer;166;1;0;0.0;0;0
