Class;LOC;NMD;NAD;LCOM5;DataClass;ATFD
org.apache.html.dom.HTMLLinkElementImpl;57;19;0;0.0;0;0
org.apache.xerces.dom.ElementNSImpl;183;16;5;0.7272727272727273;1;15
org.apache.xerces.parsers.XML11NonValidatingConfiguration;0;0;0;0;0;0
org.apache.xerces.impl.xpath.regex.Match;79;12;6;0.6333333015441894;0;0
org.apache.wml.dom.WMLEmElementImpl;21;7;0;0.0;0;0
org.apache.xerces.impl.dv.xs.FullDVFactory;82;3;2;0.0;1;38
org.apache.xerces.parsers.XML11DTDConfiguration;0;0;0;0;0;0
org.apache.xerces.impl.xs.identity.IdentityConstraint;96;21;9;0.9239765970330489;0;1
org.apache.xerces.parsers.StandardParserConfiguration;73;7;9;1.0;1;16
org.apache.xerces.dom.AttrNSImpl;146;14;5;0.6666666666666666;1;12
org.apache.wml.dom.WMLPrevElementImpl;15;5;0;0.0;0;0
org.apache.xerces.dom.DOMErrorImpl;32;10;6;0.952380929674421;0;1
org.apache.html.dom.HTMLTextAreaElementImpl;70;23;0;0.0;0;0
org.apache.xml.serialize.Printer;154;18;8;0.7142857313156128;0;0
org.apache.html.dom.HTMLHeadingElementImpl;9;3;0;0.0;0;0
org.apache.html.dom.HTMLLIElementImpl;15;5;0;0.0;0;0
org.apache.html.dom.HTMLFrameSetElementImpl;15;5;0;0.0;0;0
org.apache.xerces.impl.xs.XMLSchemaException;10;3;2;1.0;0;0
org.apache.xerces.parsers.DOMParserImpl;485;19;14;0.9142857279096331;2;59
org.apache.xerces.impl.dtd.XMLDTDDescription;76;9;2;0.6;0;3
org.apache.xml.serialize.HTMLSerializer;437;18;3;0.75;1;23
org.apache.xerces.impl.xs.util.XSGrammarPool;13;1;0;0.0;0;5
org.apache.xerces.dom.DeferredElementNSImpl;40;4;2;0.0;0;6
org.apache.wml.dom.WMLAccessElementImpl;27;9;0;0.0;0;0
org.apache.xerces.impl.dv.InvalidDatatypeValueException;3;1;0;0.0;0;0
org.apache.xerces.jaxp.UnparsedEntityHandler;0;0;0;0;0;0
org.apache.xerces.dom.ObjectFactory;225;7;5;1.0;0;2
org.apache.xerces.dom.DeferredAttrImpl;23;4;2;0.0;0;4
org.apache.xerces.impl.XMLScanner;738;28;33;0.9084967154043692;1;13
org.apache.xerces.dom.ASDOMImplementationImpl;13;4;1;0.0;1;2
org.apache.xerces.impl.xs.traversers.OneAttr;6;1;4;0.0;0;0
org.apache.xerces.impl.XMLEntityScanner;1019;33;7;0.8064516129032258;0;20
org.apache.html.dom.HTMLHeadElementImpl;9;3;0;0.0;0;0
org.apache.xerces.impl.xs.XSNotationDecl;21;7;5;1.0;0;1
org.apache.wml.dom.WMLOptionElementImpl;39;13;0;0.0;0;0
org.apache.xerces.dom.ProcessingInstructionImpl;34;7;2;0.8;0;3
org.apache.xerces.dom.CommentImpl;9;3;1;0.0;0;1
org.apache.xerces.impl.dv.SecuritySupport;34;9;1;0.0;0;0
org.apache.xerces.impl.xs.util.StringListImpl;32;5;3;0.33333325386047363;0;0
org.apache.xerces.parsers.XMLParser;10;3;4;1.0;0;0
org.apache.xerces.impl.dv.XSFacets;14;1;25;0.0;1;0
org.apache.xerces.dom.PSVIDocumentImpl;31;10;1;0.0;0;1
org.apache.xerces.util.DefaultErrorHandler;35;6;1;1.0;0;0
org.apache.xerces.impl.xs.SchemaGrammar;423;50;40;0.976773407499669;2;31
org.apache.xerces.impl.xpath.regex.REUtil;245;16;2;0.0;0;12
org.apache.xerces.impl.dv.xs.DurationDV;198;6;1;0.0;0;10
org.apache.xerces.impl.xpath.regex.Token;997;51;65;0.9896193859623927;0;30
org.apache.xerces.util.SymbolTable;96;8;3;0.4799999713897705;0;0
org.apache.xerces.parsers.CachingParserPool;85;7;6;0.8000000317891439;0;0
org.apache.xerces.dom.TreeWalkerImpl;246;23;5;0.8476190112885975;1;5
org.apache.xerces.impl.xs.models.CMNodeFactory;53;8;8;0.7083333333333334;1;6
org.apache.xerces.impl.xs.XSWildcardDecl;267;20;6;0.831578907213713;1;9
org.apache.xerces.impl.dv.xs.PrecisionDecimalDV;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.AbstractXMLSchema;0;0;0;0;0;0
org.apache.xerces.impl.dtd.XMLDTDValidator;840;48;64;0.9370953103770381;2;58
org.apache.html.dom.HTMLBaseElementImpl;15;5;0;0.0;0;0
org.apache.xerces.impl.dv.xs.SchemaDateTimeException;6;2;0;0.0;0;0
org.apache.xml.serialize.TextSerializer;150;17;0;0.0;1;16
org.apache.xerces.impl.dv.xs.TypeValidator;20;9;4;0.0;0;0
org.apache.xerces.impl.dv.ObjectFactory;225;7;5;1.0;0;2
org.apache.xerces.impl.xs.identity.Selector;80;5;3;0.825396802690294;0;0
org.apache.xerces.jaxp.SAXParserImpl;79;8;2;0.4166666666666667;1;8
org.apache.html.dom.HTMLOptionElementImpl;82;15;0;0.0;0;0
org.apache.xerces.dom.ChildNode;27;8;4;0.866666603088379;0;1
org.apache.html.dom.HTMLFrameElementImpl;51;17;0;0.0;0;0
org.apache.xerces.impl.xs.ElementPSVImpl;65;17;15;0.9375;0;3
org.apache.xerces.dom3.as.DOMASException;4;1;5;0.0;0;0
org.apache.html.dom.HTMLDirectoryElementImpl;9;3;0;0.0;0;0
org.apache.html.dom.HTMLTableCaptionElementImpl;9;3;0;0.0;0;0
org.apache.xerces.dom.EntityImpl;103;18;9;0.9453125;0;1
org.apache.xerces.jaxp.SchemaValidatorConfiguration;0;0;0;0;0;0
org.apache.html.dom.HTMLFormElementImpl;53;18;1;1.0;0;1
org.apache.xerces.impl.dv.dtd.XML11NMTOKENDatatypeValidator;8;2;0;0.0;0;0
org.apache.xerces.impl.io.MalformedByteSequenceException;24;5;6;0.8888888359069824;0;0
org.apache.xerces.impl.dv.xs.BooleanDV;10;2;1;0.0;0;4
org.apache.xerces.dom.NotationImpl;55;9;5;0.8928571428571429;1;3
org.apache.xerces.dom.DeferredCommentImpl;13;3;2;0.0;0;1
org.apache.xerces.impl.dv.DTDDVFactory;13;5;1;0.0;0;0
org.apache.html.dom.HTMLAppletElementImpl;69;23;0;0.0;0;0
org.apache.xerces.impl.xs.util.XIntPool;4;1;2;0.0;0;0
org.apache.xerces.util.HTTPInputSource;0;0;0;0;0;0
org.apache.wml.dom.WMLRefreshElementImpl;15;5;0;0.0;0;0
org.apache.xerces.impl.xpath.XPathException;11;3;1;0.0;0;0
org.apache.xerces.jaxp.validation.ReadOnlyGrammarPool;0;0;0;0;0;0
org.apache.xerces.impl.xpath.regex.BMPattern;153;8;3;0.2;0;0
org.apache.xerces.impl.xs.XSGroupDecl;18;6;4;1.0;0;1
org.apache.html.dom.HTMLAnchorElementImpl;83;27;0;0.0;0;0
org.apache.xerces.dom.DeferredProcessingInstructionImpl;14;3;2;0.0;0;2
org.apache.html.dom.NameNodeListImpl;27;2;0;0.0;0;3
org.apache.xerces.impl.dtd.models.CMNode;26;9;5;0.8999999761581421;0;0
org.apache.xerces.impl.xs.opti.DefaultDocument;95;32;0;0.0;1;1
org.apache.wml.dom.WMLInputElementImpl;75;25;0;0.0;0;0
org.apache.xerces.impl.dv.xs.QNameDV;36;3;1;0.0;0;9
org.apache.wml.dom.WMLBrElementImpl;21;7;0;0.0;0;0
org.apache.xerces.impl.xs.XSComplexTypeDecl;162;37;16;0.9010989052908761;1;9
org.apache.xerces.impl.XMLErrorReporter;135;18;15;0.8854166269302368;1;4
org.apache.wml.dom.WMLOneventElementImpl;21;7;0;0.0;0;0
org.apache.xerces.dom.SecuritySupport;34;9;1;0.0;0;0
org.apache.xerces.dom.PSVIAttrNSImpl;65;18;13;0.9277777353922526;0;0
org.apache.xml.serialize.SecuritySupport;34;9;1;0.0;0;0
org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser;209;6;0;0.0;3;44
org.apache.xerces.impl.xs.SubstitutionGroupHandler;127;9;4;0.8333332879202706;0;15
org.apache.xerces.impl.dtd.models.SimpleContentModel;72;2;5;0.0;0;7
org.apache.xerces.dom.DeferredEntityImpl;31;4;2;0.0;0;9
org.apache.html.dom.HTMLUListElementImpl;15;5;0;0.0;0;0
org.apache.xerces.util.XMLStringBuffer;61;11;1;0.0;0;3
org.apache.xerces.util.NamespaceSupport;117;11;5;0.7045454545454546;1;4
org.apache.xerces.parsers.XMLGrammarCachingConfiguration;78;13;6;1.0;1;11
org.apache.xerces.impl.dv.DVFactoryException;6;2;0;0.0;0;0
org.apache.xerces.xni.XMLString;52;9;3;0.0;0;0
org.apache.xerces.impl.dv.DatatypeException;31;4;2;0.5;0;0
org.apache.xerces.impl.XML11NamespaceBinder;5;2;0;0.0;0;0
org.apache.xerces.impl.dv.xs.YearMonthDurationDV;0;0;0;0;0;0
org.apache.xerces.util.EncodingMap;20;7;2;0.0;0;0
org.apache.xerces.parsers.XIncludeAwareParserConfiguration;0;0;0;0;0;0
org.apache.xerces.xinclude.ObjectFactory;225;7;5;1.0;0;2
org.apache.xerces.impl.xs.util.XSNamedMap4Types;47;5;1;0.5;0;5
org.apache.html.dom.HTMLAreaElementImpl;55;17;0;0.0;0;0
org.apache.xerces.dom.DeferredAttrNSImpl;31;4;2;0.0;0;6
org.apache.xerces.impl.dv.xs.YearMonthDV;29;3;0;0.0;0;6
org.apache.xerces.impl.xs.XSAnnotationImpl;60;9;2;0.7857142857142857;0;4
org.apache.xerces.impl.xs.opti.SchemaDOMParser;110;13;9;0.7045454545454546;1;9
