Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
bsh.Capabilities;24;4;2;0.8750;0;0.0;8
bsh.CollectionManager;0;0;0;0;0;0;0
bsh.ClassGeneratorImpl;0;0;0;0;0;0;0
gnu.regexp.CharIndexedReader;95;4;8;0.7500;0;1.0;25
org.gjt.sp.jedit.search.BoyerMooreSearchMatcher;112;6;12;0.8194;0;1.0;35
bsh.LHS;89;3;11;0.5974;0;0.0;31
org.gjt.sp.jedit.PerspectiveManager;102;2;0;0.0000;1;23.0;18
org.gjt.sp.jedit.buffer.ExplicitFoldHandler;38;1;0;0.0000;0;0.0;10
org.gjt.sp.jedit.textarea.ChunkCache;322;24;8;0.7917;3;16.0;96
bsh.ParserTokenManager;1621;47;24;0.9149;1;15.0;722
bsh.TargetError;50;7;2;0.7500;0;0.0;15
org.gjt.sp.jedit.Mode;88;9;5;0.7833;0;2.0;34
bsh.BSHPrimarySuffix;80;5;7;1.0286;0;3.0;29
org.gjt.sp.jedit.Buffer;1625;127;51;0.9768;3;44.0;495
org.gjt.sp.jedit.options.WindowTableModel;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.Token;21;3;27;1.2346;0;0.0;5
bsh.BSHThrowStatement;8;1;0;0.0000;0;0.0;3
macos.Delegate;108;11;2;0.9545;0;9.0;22
org.gjt.sp.jedit.textarea.ExtensionManager;61;6;1;0.0000;0;1.0;17
gnu.regexp.REToken;32;6;3;0.8571;0;0.0;11
org.gjt.sp.jedit.options.AppearanceOptionPane;89;3;15;0.6444;0;1.0;12
org.gjt.sp.jedit.io.VFS;182;26;11;0.9749;1;8.0;61
org.gjt.sp.jedit.Macros;222;20;6;0.9286;0;10.0;56
bsh.InterpreterError;3;0;0;0.0000;0;0.0;1
gnu.regexp.REMatchEnumeration;35;5;9;0.7556;0;2.0;12
org.gjt.sp.jedit.gui.IOProgressMonitor;30;3;3;0.6667;0;2.0;6
org.gjt.sp.jedit.gui.ActionBar;120;4;7;0.7429;0;6.0;28
org.gjt.sp.jedit.help.HistoryButton;0;0;0;0;0;0;0
org.gjt.sp.jedit.EBComponent;1;1;0;0.0000;0;0.0;1
installer.SwingInstall;102;2;14;0.6786;0;2.0;15
gnu.regexp.REMatch;95;12;8;0.7019;0;0.0;34
bsh.NameSource;2;2;0;0.0000;0;0.0;2
org.gjt.sp.util.WorkThreadProgressListener;2;2;0;0.0000;0;0.0;2
org.gjt.sp.jedit.options.EditingOptionPane;113;5;17;0.4706;1;1.0;10
org.gjt.sp.jedit.gui.StatusBar;273;11;29;0.8871;0;14.0;66
gnu.regexp.IntPair;0;0;2;0.0000;0;0.0;0
gnu.regexp.REFilterReader;46;4;6;0.8750;0;5.0;14
bsh.Variable;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.PluginManagerOptionPane;45;2;9;0.7778;0;3.0;4
org.gjt.sp.jedit.buffer.KillRing;0;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.ScrollListener;2;2;0;0.0000;0;0.0;2
org.gjt.sp.jedit.gui.DefaultFocusComponent;0;0;0;0;0;0;0
installer.ConsoleInstall;64;1;1;1.0000;0;3.0;15
org.gjt.sp.jedit.OperatingSystem;106;10;8;0.9125;0;0.0;24
org.gjt.sp.jedit.textarea.Gutter;257;20;25;0.9511;1;16.0;79
bsh.BSHMethodDeclaration;26;2;4;0.8750;0;4.0;9
bsh.BSHFormalComment;3;0;1;0.0000;0;0.0;1
org.gjt.sp.jedit.options.TextAreaOptionPane;71;2;21;0.5000;0;1.0;4
org.gjt.sp.jedit.browser.BrowserView;211;14;13;0.8510;1;9.0;60
bsh.BSHVariableDeclarator;12;1;1;2.0000;0;3.0;5
installer.Install;61;4;2;0.6250;0;0.0;17
bsh.BSHAllocationExpression;71;7;0;0.0000;0;3.0;20
org.gjt.sp.jedit.search.SearchAndReplace;471;30;10;0.7241;0;14.0;148
gnu.regexp.RETokenChar;35;4;2;0.3750;0;1.0;10
com.microstar.xml.XmlHandler;13;13;0;0.0000;0;0.0;13
org.gjt.sp.jedit.buffer.BufferInsertRequest;0;0;0;0;0;0;0
gnu.regexp.RETokenRepeated;120;5;4;0.5417;0;1.0;33
gnu.regexp.CharIndexedCharArray;14;3;2;0.0000;0;1.0;6
org.gjt.sp.jedit.help.HelpHistoryModel;0;0;0;0;0;0;0
bsh.BSHTernaryExpression;8;1;0;0.0000;0;0.0;3
org.gjt.sp.jedit.gui.FontSelector;28;1;0;0.0000;0;0.0;7
org.gjt.sp.jedit.indent.CloseBracketIndentRule;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.DirectoryListSet;59;5;3;0.5000;0;1.0;13
org.gjt.sp.jedit.ServiceManager;0;0;0;0;0;0;0
org.gjt.sp.jedit.EditServer;115;4;5;0.7600;0;7.0;24
QuickNotepadOptionPane;47;4;3;0.6667;0;0.0;8
org.gjt.sp.jedit.gui.DefaultInputHandler;235;12;7;0.7582;0;2.0;87
org.gjt.sp.jedit.gui.EnhancedButton;14;1;1;1.0000;0;0.0;3
org.gjt.sp.jedit.menu.DynamicMenuProvider;0;0;0;0;0;0;0
org.gjt.sp.jedit.buffer.BufferLoadRequest;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.AddAbbrevDialog;36;0;5;0.0000;0;3.0;2
org.gjt.sp.jedit.search.HyperSearchResult;26;3;8;0.6875;0;1.0;7
org.gjt.sp.jedit.textarea.Anchor;0;0;0;0;0;0;0
gnu.regexp.RETokenOneOf;69;3;2;0.1250;0;3.0;23
org.gjt.sp.jedit.browser.VFSDirectoryEntryTable;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.DockablePanel;0;0;0;0;0;0;0
installer.CRC;16;3;2;0.6667;0;0.0;5
org.gjt.sp.jedit.gui.PasteFromListDialog;0;0;0;0;0;0;0
org.gjt.sp.jedit.menu.RecentDirectoriesProvider;47;2;0;0.0000;0;1.0;7
installer.TarBuffer;162;11;11;0.7545;0;0.0;57
org.gjt.sp.jedit.browser.VFSBrowser;548;32;37;0.9637;2;26.0;161
org.gjt.sp.jedit.browser.BrowserCommandsMenu;115;3;7;0.9048;1;14.0;27
org.gjt.sp.jedit.search.SearchMatcher;2;2;0;0.0000;0;0.0;2
gnu.regexp.RETokenWordBoundary;38;2;4;0.2500;0;6.0;14
bsh.BSHBinaryExpression;55;3;1;1.0000;1;11.0;37
bsh.BSHWhileStatement;35;1;1;1.0000;1;5.0;12
macos.script.AppleScriptHandler;18;4;1;0.7500;0;1.0;7
org.gjt.sp.jedit.EditPlugin;25;6;1;1.0000;0;0.0;10
QuickNotepadPlugin;6;2;4;1.7500;0;0.0;2
org.gjt.sp.jedit.menu.FavoritesProvider;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.SyntaxStyle;20;0;4;0.8000;0;0.0;6
org.gjt.sp.jedit.ActionContext;0;0;0;0;0;0;0
bsh.DelayedEvalBshMethod;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.ParserRuleSet;98;10;17;0.9459;0;3.0;32
bsh.Node;7;7;0;0.0000;0;0.0;7
bsh.BSHArrayDimensions;40;3;3;0.7778;0;2.0;12
org.gjt.sp.jedit.help.HelpHistoryModelListener;0;0;0;0;0;0;0
doclet.GenerateTocXML;44;3;4;1.1250;0;0.0;7
bsh.BSHPackageDeclaration;0;0;0;0;0;0;0
gnu.regexp.CharIndexed;3;3;1;1.5000;0;0.0;3
org.gjt.sp.jedit.browser.BrowserListener;2;2;0;0.0000;0;0.0;2
org.gjt.sp.jedit.pluginmgr.PluginListHandler;133;11;23;0.8814;0;17.0;47
bsh.BSHAmbiguousName;21;6;1;0.8333;0;0.0;7
com.microstar.xml.XmlException;18;0;4;0.7500;0;0.0;5
bsh.Types;0;0;0;0;0;0;0
bsh.BSHClassDeclaration;0;0;0;0;0;0;0
bsh.commands.dir;74;4;1;1.0000;0;0.0;19
bsh.BSHUnaryExpression;42;4;2;0.8750;1;4.0;22
org.gjt.sp.jedit.options.BrowserColorsOptionPane;42;3;4;0.7500;0;0.0;4
bsh.ReflectError;6;0;0;0.0000;0;0.0;2
org.gjt.sp.jedit.buffer.JEditBuffer;0;0;0;0;0;0;0
org.gjt.sp.jedit.buffer.BufferListener;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.RESearchMatcher;48;2;7;0.5000;0;7.0;19
installer.VariableGridLayout;176;12;10;0.8750;0;0.0;49
org.gjt.sp.jedit.gui.HistoryTextField;195;11;7;0.8503;0;0.0;65
org.gjt.sp.jedit.help.HelpTOCPanel;82;4;5;0.6500;0;8.0;17
bsh.BSHPrimaryExpression;11;1;0;0.0000;0;0.0;5
installer.ConsoleProgress;10;4;0;0.0000;0;0.0;4
org.gjt.sp.jedit.gui.VariableGridLayout;176;12;10;0.8750;0;0.0;49
com.microstar.xml.HandlerBase;28;13;0;0.0000;0;0.0;13
bsh.BSHReturnStatement;9;1;1;1.0000;0;1.0;3
org.gjt.sp.jedit.gui.InputHandler;142;12;6;0.7917;0;4.0;45
org.gjt.sp.jedit.gui.BeanShellErrorDialog;37;2;0;0.0000;0;0.0;3
org.gjt.sp.jedit.textarea.ScrollLayout;0;0;0;0;0;0;0
org.objectweb.asm.Edge;0;0;0;0;0;0;0
org.gjt.sp.jedit.search.HyperSearchOperationNode;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.MutableListModel;0;0;0;0;0;0;0
org.gjt.sp.jedit.gui.FilesChangedDialog;0;0;0;0;0;0;0
bsh.BSHMethodInvocation;26;1;0;0.0000;0;1.0;7
org.gjt.sp.util.ReadWriteLock;73;8;7;0.7551;0;1.0;22
org.gjt.sp.jedit.textarea.TextAreaTransferHandler;0;0;0;0;0;0;0
bsh.BSHStatementExpressionList;11;1;0;0.0000;0;1.0;3
bsh.BSHTypedVariableDeclaration;32;2;1;1.0000;0;3.0;13
org.gjt.sp.jedit.search.HyperSearchTreeNodeCallback;0;0;0;0;0;0;0
org.gjt.sp.jedit.View;579;41;35;0.9719;2;25.0;191
gnu.regexp.RETokenStart;32;2;1;0.5000;0;6.0;12
org.gjt.sp.jedit.textarea.DisplayManager;257;15;9;0.7431;0;7.0;88
org.gjt.sp.jedit.options.ShortcutsOptionPane;65;6;5;0.8333;0;2.0;15
gnu.regexp.RETokenLookAhead;29;2;2;0.0000;0;0.0;10
org.gjt.sp.jedit.Registers;184;16;5;0.8625;0;9.0;61
org.gjt.sp.jedit.syntax.XModeHandler;327;16;33;0.8920;1;15.0;111
org.gjt.sp.jedit.indent.IndentRuleFactory;0;0;0;0;0;0;0
org.gjt.sp.jedit.syntax.DisplayTokenHandler;87;6;13;0.7821;1;10.0;25
org.gjt.sp.jedit.browser.VFSDirectoryEntryTableModel;0;0;0;0;0;0;0
bsh.TokenMgrError;59;3;5;1.1600;0;0.0;20
bsh.BSHEnhancedForStatement;0;0;0;0;0;0;0
bsh.BSHLiteral;61;4;1;0.5000;0;0.0;21
org.gjt.sp.jedit.io.VFSManager;112;14;10;0.9222;0;6.0;37
org.gjt.sp.jedit.AbstractOptionPane;105;12;4;0.8269;0;0.0;17
macos.menu.MacOSMenu;32;5;2;0.6000;0;2.0;8
org.gjt.sp.jedit.search.HyperSearchFolderNode;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.AbbrevsOptionPane;94;4;8;0.7500;0;2.0;10
org.gjt.sp.jedit.search.SearchFileSet;5;5;0;0.0000;0;0.0;5
QuickNotepad;99;8;6;0.7407;0;5.0;23
org.gjt.sp.jedit.pluginmgr.MirrorList;17;2;1;0.0000;1;1.0;3
bsh.ClassPathException;3;0;0;0.0000;0;0.0;1
bsh.BSHReturnType;7;1;1;1.0000;0;1.0;3
org.gjt.sp.util.Log;142;9;16;0.8750;0;0.0;40
gnu.regexp.RETokenBackRef;21;2;2;0.5000;0;3.0;7
bsh.BSHForStatement;42;1;8;1.1250;1;5.0;17
org.gjt.sp.jedit.search.CurrentBufferSet;16;5;0;0.0000;0;1.0;6
org.gjt.sp.jedit.search.HyperSearchResults;147;8;7;0.8143;1;5.0;32
org.gjt.sp.jedit.buffer.BufferChangeAdapter;10;5;0;0.0000;0;0.0;5
org.gjt.sp.jedit.BeanShellAction;52;4;8;0.8393;0;1.0;13
gnu.regexp.CharIndexedStringBuffer;14;3;2;0.0000;0;1.0;6
org.gjt.sp.jedit.options.ContextOptionPane;66;3;6;0.6667;0;0.0;10
