Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.xerces.impl.xs.XMLSchemaValidator.getEmptyAugs(Augmentations);org.apache.xerces.xni.Augmentations;1;0;2;0.9844;1259;51;103;2;0;0.7500;5;5;0
org.apache.xerces.dom.ElementImpl.setAttributeNodeNS(Attr);org.apache.xerces.dom.AttributeMap;4;1;1;0.9556;458;37;3;1;0;0.9524;311;14;0
org.apache.xerces.parsers.XML11NonValidatingConfiguration.reset();org.apache.xerces.xni.parser.XMLComponent;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.DOMNormalizer.namespaceFixUp(ElementImpl, AttributeMap);org.apache.xerces.dom.NodeImpl;6;3;10;0.8000;571;26;22;2;0;0.9802;595;78;21
org.apache.xerces.jaxp.validation.DOMValidatorHelper.DOMNamespaceContext.getPrefix(String);org.apache.xerces.jaxp.validation.DOMValidatorHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDHandler.findGrammar(XSDDescription);org.apache.xerces.xni.grammars.XMLGrammarPool;1;1;2;0.9667;1018;32;76;1;0;0.9167;6;6;0
org.apache.xerces.impl.xs.traversers.XSDHandler.findQName(String, XSDocumentInfo);org.apache.xerces.util.SymbolTable;2;0;1;0.9890;1018;32;76;1;0;0.9333;84;6;3
org.apache.html.dom.HTMLCollectionImpl.item(Element, CollectionIndex);org.apache.html.dom.CollectionIndex;1;3;0;0.8333;120;8;13;2;0;0.6000;12;2;1
org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser.traverseGlobal(Element, XSDocumentInfo, SchemaGrammar);org.apache.xerces.util.DOMUtil;6;0;0;1.0000;63;2;0;3;0;1.0000;409;35;0
org.apache.xerces.dom.RangeImpl.checkIndex(Node, int);org.apache.xerces.dom.DOMMessageFormatter;4;0;0;1.0000;878;50;14;1;1;1.0000;28;1;2
org.apache.xerces.dom.CoreDocumentImpl.checkQName(String, String);org.apache.xerces.dom.DOMMessageFormatter;2;0;1;0.9905;930;88;17;1;1;1.0000;28;1;2
org.apache.xerces.impl.xs.traversers.XSDGroupTraverser.traverseGlobal(Element, XSDocumentInfo, SchemaGrammar);org.apache.xerces.util.DOMUtil;8;0;0;1.0000;95;2;0;2;0;1.0000;409;35;0
org.apache.xerces.dom.DOMNormalizer.updateQName(Node, QName);org.apache.xerces.xni.QName;2;0;1;0.9796;571;26;22;0;4;0.7500;77;7;4
org.apache.xerces.impl.dv.xs.BooleanDV.getAllowedFacets();org.apache.xerces.xs.XSSimpleTypeDefinition;1;0;0;1.0000;10;2;1;0;2;1.0000;18;18;20
org.apache.xerces.impl.xs.XMLSchemaValidator.processElementContent(QName);org.apache.xerces.impl.xs.SchemaSymbols;11;2;13;0.8913;1259;51;103;0;2;1.0000;0;0;160
org.apache.xerces.impl.xs.XMLSchemaLoader.resolveDocument(XSDDescription, Hashtable, XMLEntityResolver);org.apache.xerces.util.XMLResourceIdentifierImpl;3;0;0;1.0000;356;16;31;0;3;0.8125;76;4;4
org.apache.xerces.impl.dtd.XMLDTDProcessor.checkStandaloneEntityRef(String, DTDGrammar, XMLEntityDecl, XMLErrorReporter);org.apache.xerces.impl.dtd.DTDGrammar;3;0;0;1.0000;499;43;37;2;0;0.9868;1257;90;75
org.apache.xerces.impl.xs.identity.XPathMatcher.toString();org.apache.xerces.impl.xpath.XPath.LocationPath;1;0;2;0.8824;254;8;18;0;1;0.8571;28;2;1
org.apache.xerces.impl.xs.XMLSchemaValidator.processAttributes(QName, XMLAttributes, XSAttributeGroupDecl);org.apache.xerces.xs.XSWildcard;14;3;5;0.9521;1259;51;103;0;0;1.0000;4;4;6
org.apache.xerces.jaxp.validation.XMLSchemaValidatorComponentManager.restoreInitialState();org.apache.xerces.impl.xs.XMLSchemaValidator;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.XMLSchemaFactory.setProperty(String, Object);org.apache.xerces.util.SAXMessageFormatter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.SAXParserImpl.JAXPSAXParser.parse(InputSource);org.apache.xerces.jaxp.SAXParserImpl;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xml.serialize.BaseMarkupSerializer.prepare();org.apache.xml.serialize.ElementState;3;0;12;0.8750;969;60;20;0;10;0.6552;0;0;11
org.apache.xerces.parsers.DOMParserImpl.canSetParameter(String, Object);org.apache.xerces.impl.Constants;1;0;0;1.0000;386;11;12;0;19;1.0000;34;6;99
org.apache.xerces.impl.xs.traversers.XSDHandler.checkForDuplicateNames(String, Hashtable, Hashtable, Element, XSDocumentInfo);org.apache.xerces.impl.xs.traversers.XSDocumentInfo;0;0;0;0;0;0;0;0;0;0;0;0;0
