Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.html.dom.HTMLLinkElementImpl;57;18;0;0.0000;0;0.0;19
org.apache.xerces.dom.ElementNSImpl;106;6;4;0.7778;0;5.0;36
org.apache.xerces.parsers.XML11NonValidatingConfiguration;0;0;0;0;0;0;0
org.apache.xerces.dom3.as.ASObject;12;12;6;1.0909;0;0.0;12
org.apache.xerces.impl.xpath.regex.Match;79;11;6;0.6667;0;0.0;34
org.apache.wml.dom.WMLEmElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.impl.dv.xs.FullDVFactory;0;0;0;0;0;0;0
org.apache.xerces.parsers.XML11DTDConfiguration;0;0;0;0;0;0;0
org.apache.xerces.xs.datatypes.XSQName;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.identity.IdentityConstraint;81;10;7;0.8889;0;1.0;29
org.apache.xerces.dom.AttrNSImpl;107;5;5;0.7750;0;4.0;41
org.apache.xerces.parsers.StandardParserConfiguration;69;3;5;1.0333;1;13.0;20
org.apache.wml.dom.WMLPrevElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.dom.DOMErrorImpl;41;2;4;0.7273;1;4.0;12
org.apache.wml.WMLUElement;2;2;0;0.0000;0;0.0;2
org.apache.html.dom.HTMLTextAreaElementImpl;70;22;0;0.0000;0;0.0;27
org.apache.xml.serialize.Printer;154;16;8;0.6838;0;0.0;45
org.apache.wml.WMLIElement;2;2;0;0.0000;0;0.0;2
org.apache.html.dom.HTMLHeadingElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.html.dom.HTMLLIElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.xs.XSTerm;0;0;0;0.0000;0;0.0;0
org.apache.html.dom.HTMLFrameSetElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.impl.xs.XMLSchemaException;10;0;2;0.5000;0;0.0;3
org.apache.xerces.dom.DeferredNode;1;1;0;0.0000;0;0.0;1
org.apache.xerces.parsers.DOMParserImpl;386;11;12;0.9375;1;44.0;131
org.apache.xerces.impl.dtd.XMLDTDDescription;58;4;2;0.4286;1;4.0;29
org.apache.xml.serialize.HTMLSerializer;425;12;2;0.8125;1;26.0;143
org.apache.xerces.impl.xs.util.XSGrammarPool;0;0;0;0;0;0;0
org.apache.xerces.dom.DeferredElementNSImpl;42;2;2;0.6667;0;2.0;8
org.apache.wml.dom.WMLAccessElementImpl;27;8;0;0.0000;0;0.0;9
org.apache.xerces.impl.dv.InvalidDatatypeValueException;3;0;0;0.0000;0;0.0;1
org.apache.xerces.jaxp.UnparsedEntityHandler;0;0;0;0;0;0;0
org.apache.xerces.dom3.as.ASNotationDeclaration;4;4;0;0.0000;0;0.0;4
org.apache.xerces.dom.DeferredAttrImpl;21;2;2;0.6667;0;0.0;4
org.apache.xerces.dom.ObjectFactory;215;7;4;0.8750;0;0.0;53
org.apache.xerces.impl.XMLScanner;655;20;29;0.9074;1;12.0;197
org.apache.xerces.dom.ASDOMImplementationImpl;12;3;1;1.0000;0;1.0;4
org.apache.xerces.xs.XSAttributeDeclaration;6;6;0;0.0000;0;0.0;6
org.apache.xerces.impl.xs.traversers.OneAttr;6;0;4;0.0000;0;0.0;1
org.apache.xerces.impl.XMLEntityScanner;14;14;0;0.0000;0;0.0;14
org.apache.html.dom.HTMLHeadElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.wml.dom.WMLOptionElementImpl;39;12;0;0.0000;0;0.0;13
org.apache.xerces.impl.xs.XSNotationDecl;18;2;4;1.0000;0;1.0;6
org.apache.xerces.dom.ProcessingInstructionImpl;40;7;3;0.9048;0;1.0;14
org.apache.xerces.dom.CommentImpl;9;2;1;1.5000;0;1.0;3
org.apache.xerces.impl.dv.SecuritySupport;34;9;1;1.0000;0;0.0;10
org.apache.xerces.impl.xs.util.StringListImpl;18;1;3;0.4444;0;0.0;7
org.apache.xerces.parsers.XMLParser;10;2;4;1.1250;0;0.0;3
org.apache.xerces.impl.dv.XSFacets;0;0;13;0.0000;0;0.0;0
org.apache.xerces.impl.XMLEntityDescription;0;0;0;0;0;0;0
org.apache.xerces.dom.PSVIDocumentImpl;0;0;0;0;0;0;0
org.apache.xerces.util.DefaultErrorHandler;35;4;1;0.8000;1;3.0;8
org.apache.xerces.impl.xs.SchemaGrammar;276;37;35;0.9688;1;32.0;71
org.apache.xerces.impl.xpath.regex.REUtil;241;15;2;1.0000;0;11.0;91
org.apache.xerces.impl.dv.xs.DurationDV;200;6;2;1.0000;0;0.0;44
org.apache.xerces.util.SymbolTable;84;6;3;0.6190;0;0.0;26
org.apache.xerces.impl.xpath.regex.Token;539;47;62;0.9674;0;2.0;250
