Learning rate;Beta;Layers;Dropout;F-mesure
0.0243556458767;0.0638279991583;[24, 22];1.0;0.66356313
0.038817926793;0.0552144529519;[47, 20];0.5;0.6496253
0.0626457571162;0.0474679833652;[130, 54];0.5;0.6437208354473114
0.0138458230692;0.00524392182547;[118, 10];0.5;0.6428341865539551
0.0114657108515;0.0382931408563;[102, 32, 26];1.0;0.6411916166543961
0.0110435830141;0.00656781131769;[90, 71];1.0;0.6411723122000694
0.147279756767;0.0417277402294;[97, 60];1.0;0.6392113342881203
0.0479294321324;0.00376094697914;[30, 29];1.0;0.6367975
0.0229375594806;0.0599866655365;[116, 108];1.0;0.6359416544437408
0.00790058877436;0.00376640560553;[88, 73, 11];1.0;0.6320921555161476
0.0366403457085;0.0260552240727;[85, 37, 14];1.0;0.6259419
0.239282599698;0.0366935249856;[131, 32];1.0;0.6236706897616386
0.276463079208;0.00573834001022;[134, 56];1.0;0.62352395
0.20553921927;0.0330454386226;[22, 9];1.0;0.6215661242604256
0.0488721656837;0.0203434964836;[25, 9, 4];1.0;0.6205976158380508
0.019939905815;0.0034759173024;[65, 40];1.0;0.6204099953174591
0.173264661042;0.02762753461;[98, 94];1.0;0.6179717928171158
0.0171426750556;0.0059094234084;[62, 59];1.0;0.6130087599158287
0.0506292346064;0.0227381471304;[138, 22, 19];1.0;0.6123569384217262
0.0378100633876;0.0235727618049;[4, 4];1.0;0.600253
0.032685284771;0.00490764525723;[24, 5];0.5;0.5968249924480915
0.0325289865718;0.00504443399791;[45, 7];1.0;0.5954602062702179
0.580145861032;0.01164951718;[130, 34, 31];1.0;0.5940942317247391
0.0590335045165;0.00642847171806;[124, 40];1.0;0.59354496
0.0201671321194;0.0632767547691;[111, 68, 51];0.5;0.5897902399301529
0.044174196936;0.00560020586691;[72, 12];1.0;0.5897589
0.185594018673;0.00628075673309;[123, 13];0.5;0.5894042868167162
0.234828841974;0.00354503590914;[101, 45, 39];1.0;0.58906114
0.0745974762124;0.0372985886211;[111, 88, 59];0.5;0.5885643251240253
0.125774055004;0.00350917030707;[7, 5];1.0;0.58743155
0.23924182935;0.00568548797483;[32, 28];1.0;0.5828033164143562
0.0354344433949;0.00602594631157;[52, 8];0.5;0.5755973439663649
0.0438130936891;0.00369998647043;[64, 37, 12];1.0;0.57166624
0.0483961822946;0.00360082820224;[108, 54, 21];1.0;0.5697434
0.218601655774;0.00824378226473;[118, 44];0.5;0.5692123
0.017820714232;0.0103725295636;[65, 15, 8];0.5;0.5671608997508883
0.147656785211;0.00539164222604;[68, 16, 15];1.0;0.5666666850447655
0.0575181569094;0.00334121453824;[29, 17];1.0;0.5636360719799995
0.322171361809;0.026762082335;[89, 81];1.0;0.5600158870220184
0.0614837683726;0.00332886088616;[41, 26];1.0;0.55688965
0.136586107158;0.00740884628747;[40, 30, 26];1.0;0.5529135
0.222055869872;0.0803456593185;[122, 117, 89];1.0;0.5510335573926568
0.010191412248;0.0184578937079;[45, 29];1.0;0.5485381931066513
0.0123916498202;0.00480304844969;[25, 5, 5];1.0;0.5450306
0.550964783801;0.00804834570587;[69, 36, 16];1.0;0.5355847142636776
0.0422464652733;0.00558336493883;[66, 17, 11];0.5;0.5262271836400032
0.246995038902;0.00858019550441;[61, 27];1.0;0.5255296286195517
0.203651700084;0.0142809160678;[28, 8, 8];0.5;0.5202393541112542
0.116478781621;0.0262188878958;[30, 4];0.5;0.5180300157517195
0.0867635926291;0.00687907888688;[104, 75, 15];0.5;0.5168357947841287
0.0100482747761;0.119117516934;[96, 17, 16];1.0;0.5133889
0.39668709898;0.00991377669562;[61, 14, 11];1.0;0.5120786242187023
0.0131304783026;0.00955228800446;[37, 12, 11];1.0;0.5108795
0.369845894898;0.011280984311;[111, 12];0.5;0.5043726898729801
0.15364648745;0.0331077871657;[132, 129];0.5;0.5013477578759193
0.051371868157;0.00330915684433;[110, 79, 75];0.5;0.4997805077582598
0.0508216100176;0.00328871326588;[14, 5, 5];0.5;0.4942653579637408
0.0101298656833;0.0117802432595;[69, 17];1.0;0.4764693155884743
0.00867512450305;0.0246194650445;[44, 18];1.0;0.4712405502796173
0.263584054889;0.00492276810064;[114, 40, 30];0.5;0.46199647
0.0108021519544;0.0882455386335;[128, 90, 29];1.0;0.46181688
0.00713979352314;0.0101343063163;[77, 27];1.0;0.4559337478131056
0.116783756407;0.0703947296719;[128, 46];0.5;0.45136032
0.490441698511;0.0188260981859;[110, 66];1.0;0.45034978725016117
0.137731468458;0.00479726640689;[35, 8, 7];1.0;0.4494339842349291
0.0306339520339;0.0146016914144;[14, 9, 9];0.5;0.4433887992054224
0.141565039364;0.0156087366146;[32, 25];0.5;0.44103505183011293
0.479267318759;0.00743221630044;[26, 25];0.5;0.4342078808695078
0.649052451695;0.0168453382924;[120, 14];1.0;0.43407013081014156
0.537847298699;0.0142358650691;[124, 115];0.5;0.4312869505956769
0.54238395879;0.0432588139912;[59, 48, 19];0.5;0.4288771077990532
0.413006477585;0.0324476613688;[59, 17];1.0;0.41341916657984257
0.19298186992;0.00945911037648;[89, 20];0.5;0.40974130434915423
0.218026409408;0.00460124981299;[128, 23];0.5;0.4034663215279579
0.011538637825;0.0350759344735;[68, 31, 11];0.5;0.39198852
0.386159508213;0.00346418073413;[121, 114, 66];0.5;0.39153795689344406
0.268716344493;0.0235304929921;[40, 5];1.0;0.38704646565020084
0.013044976783;0.0134518389564;[60, 5, 4];1.0;0.36450307816267014
0.0140465367541;0.0920798541078;[45, 7];1.0;0.35682473
0.00798586730008;0.00425387876829;[20, 19, 4];1.0;0.3520572
0.589293605529;0.00450188806196;[66, 24, 9];1.0;0.3506111316382885
0.00815014390169;0.155343053757;[117, 39];1.0;0.31980717
0.898858208593;0.0367190816092;[129, 110];0.5;0.31200194
0.0049185361547;0.198834311693;[127, 108, 73];1.0;0.29677528
0.935509375488;0.0211435354229;[60, 22, 16];0.5;0.2895430321805179
0.579684835846;0.00751297563488;[47, 10, 9];0.5;0.2889243960380554
0.00514977053744;0.27913198531;[103, 78, 20];0.5;0.28826183
0.00360446099698;0.0237050203005;[140, 35];1.0;0.25420997
0.00722893740479;0.0794520453489;[95, 50];1.0;0.24789345
0.593671370244;0.00610401722658;[16, 7];1.0;0.24309179186820984
0.66617778163;0.0737509622679;[83, 16];1.0;0.2341933
0.00833296524735;0.131051497836;[126, 50];0.5;0.22978361
0.112273826305;0.0595805543138;[54, 40, 29];0.5;0.1986011
0.00667544773453;0.0403402547668;[47, 39, 38];0.5;0.18891889
0.544043775481;0.00559047245629;[36, 5];1.0;0.1889055371284485
0.00338089737954;0.0266375644154;[121, 25, 22];0.5;0.18241128
0.00341306315605;0.634991503593;[54, 22];1.0;0.17971614
0.00489218654653;0.104090964044;[83, 45, 37];1.0;0.17257237
0.00334494037259;0.0967767853765;[87, 68, 13];1.0;0.17074986
0.224330381661;0.08652801276;[75, 67, 62];1.0;0.16981599
0.00567638309807;0.367538040345;[99, 69, 69];0.5;0.1608259123750031
0.00515343583821;0.0608298317075;[82, 76];0.5;0.15686661
0.00336438679428;0.107510295902;[127, 41];1.0;0.15565804
0.00433874987569;0.0298838082211;[60, 30, 11];0.5;0.152902
0.00448374140774;0.0725966130202;[120, 101];0.5;0.15095803
0.0038421609508;0.0193037277983;[66, 16, 4];0.5;0.14865449
0.00429899178057;0.0126811662567;[47, 35];0.5;0.14601223
0.00348782261188;0.0876688276183;[90, 89];1.0;0.14550409
0.0033327126261;0.321909787806;[81, 33];0.5;0.14449325
0.0036236375272;0.00644549778308;[91, 91, 91];0.5;0.14341792
