Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.0890885143895;0.00323162616162;9;[35];[4];[10];[65, 64, 54];0.24334600760456274
0.0367924004069;0.103333191341;9;[];[];[];[100, 92, 79];0.23107569721115537
0.141132479987;0.0510128602578;8;[10];[3];[2];[16, 14, 12];0.23015873015873015
0.132770017284;0.0055704637441;6;[47];[2];[5];[42, 37, 36];0.20555555555555552
0.731032549329;0.00411205631567;10;[];[];[];[55, 27, 19];0.20491803278688525
0.341603466017;0.096886950751;7;[16];[4];[5];[66, 42];0.2043343653250774
0.231996796569;0.0080224359178;8;[26];[4];[2];[44, 30];0.19662921348314608
0.315675975122;0.00502840086519;4;[];[];[];[46, 34];0.1893491124260355
0.235740070317;0.00380677796757;10;[];[];[];[94];0.1889763779527559
0.197167394485;0.0134332278219;4;[10];[2];[10];[79];0.18243243243243243
0.0805341594295;0.00685596330879;9;[43];[2];[5];[85, 40, 14];0.18128654970760233
0.36517758652;0.0242135257802;5;[];[];[];[77, 68, 24];0.1804123711340206
0.0730303210803;0.0101905526394;4;[22];[3];[10];[75, 45];0.17924528301886794
0.118341185939;0.0831942044807;8;[];[];[];[19];0.17857142857142855
0.277418901237;0.0187511923909;3;[];[];[];[91, 84];0.17846153846153845
0.245711709005;0.0275492347375;10;[45];[4];[5];[4, 4];0.17452830188679244
0.971788938782;0.0389461362592;4;[51];[2];[10];[8];0.17363344051446944
0.230741364226;0.102061536906;10;[18];[4];[2];[69, 36, 31];0.17159763313609466
0.365269240099;0.00343497773673;2;[];[];[];[42, 26, 13];0.16359918200409
0.698142732604;0.131122106574;6;[26];[2];[2];[65];0.1631578947368421
0.512687919819;0.0245006297433;10;[];[];[];[85, 72];0.15789473684210525
0.857534821762;0.0190516901374;1;[54];[3];[5];[84, 32];0.15763546798029557
0.115579554374;0.140925463991;5;[43];[2];[10];[90];0.1568627450980392
0.687115124617;0.0100262000959;3;[];[];[];[52, 22];0.14264919941775836
0.923956484192;0.0145865262722;7;[];[];[];[7];0.1365079365079365
0.364907898851;0.00467902126528;7;[];[];[];[35, 19, 14];0.13398692810457516
0.23484931568;0.067899945572;10;[];[];[];[92];0.13095238095238096
0.578212272576;0.0433771632677;1;[42];[2];[5];[99];0.1288723667905824
