Learning rate;Beta;Gamma;Filters;Kernel;Pool;Dense;F-measure
0.115220602833;0.162462750034;4;[20];[4];[2];[95];0.43113772455089816
0.538504814924;0.0284453752399;7;[22];[2];[10];[23, 9];0.42622950819672134
0.0524843465942;0.438265049711;9;[50, 57];[3, 3];[5, 5];[39, 37, 24];0.42372881355932196
0.00559854845189;0.313864824748;10;[31];[4];[5];[54, 51, 31];0.4060150375939849
0.0523004562914;0.397102998795;8;[52, 57];[3, 2];[2, 5];[34, 8, 8];0.40310077519379844
0.274859995933;0.0874765932773;3;[45, 15];[2, 3];[2, 10];[18, 18];0.4024390243902439
0.0441638479969;0.0152540357667;9;[16, 43];[4, 2];[2, 5];[61, 60];0.4
0.0388779402292;0.394503990436;3;[16, 42];[2, 3];[5, 5];[37];0.3972602739726028
0.0509431944634;0.186879394651;2;[53, 57];[4, 2];[2, 10];[66];0.39520958083832336
0.22171932628;0.0408759344901;2;[38];[3];[10];[49];0.39520958083832336
0.270461917543;0.021799544742;4;[48];[3];[10];[62, 4, 4];0.39490445859872614
0.00780609873238;0.833638680607;8;[50, 22];[4, 4];[5, 2];[97, 46, 29];0.39160839160839156
0.108867180358;0.200726903487;6;[54, 27];[3, 3];[10, 5];[90, 81];0.39097744360902253
0.319561136393;0.00930193661071;2;[26];[4];[5];[37, 15];0.3902439024390244
0.0836215239587;0.208458956965;2;[56];[2];[2];[25];0.38974358974358975
0.0181127661652;0.501345201205;8;[25];[2];[5];[16, 8];0.3884892086330935
0.166182421978;0.0521778649721;3;[40];[2];[10];[25, 17, 9];0.38636363636363635
0.032185832206;0.166479555377;8;[15, 24];[3, 4];[5, 10];[4];0.38596491228070173
0.304165765364;0.0588198521885;6;[44, 19];[4, 3];[2, 10];[22, 20];0.3855421686746988
0.0769886521542;0.00936528891853;5;[36];[4];[2];[98, 54];0.3842364532019704
0.0153149263139;0.311560041422;6;[31, 55];[4, 3];[5, 10];[26, 11];0.38399999999999995
0.124462955511;0.206077184043;9;[59, 29];[3, 4];[2, 2];[92];0.37894736842105264
0.00824636657358;0.0714937370095;6;[28, 44];[3, 3];[10, 10];[62];0.37714285714285717
0.0230268909899;0.022523691361;6;[28, 42];[3, 2];[5, 5];[49, 41];0.37606837606837606
0.167686145911;0.0628819751317;6;[45, 13];[2, 4];[10, 2];[12, 8];0.3733333333333334
0.0395678510621;0.300808123364;9;[27];[3];[2];[65, 18];0.3724137931034483
0.434841797852;0.157085355619;9;[25];[2];[5];[99, 8, 8];0.37073170731707317
0.0137125082949;0.00450108516668;5;[16, 32];[3, 3];[10, 5];[49, 25];0.36923076923076925
0.358078288446;0.0468169849703;6;[30, 59];[3, 3];[5, 2];[74, 17];0.3657142857142857
0.291716245267;0.0349594731097;2;[32, 41];[3, 3];[5, 10];[52, 48];0.36538461538461536
0.0416960704443;0.375968488467;2;[35, 11];[2, 2];[2, 2];[80, 22];0.36363636363636365
0.630151331089;0.0270606063329;1;[49];[4];[5];[30, 16];0.36190476190476195
0.194377768933;0.0043155268635;6;[60, 23];[2, 2];[2, 10];[28, 19, 16];0.35928143712574845
0.20841014539;0.0206742542926;9;[20];[3];[5];[20, 4];0.3582089552238806
0.0216297354225;0.104122829984;4;[57, 10];[2, 2];[5, 2];[57];0.34965034965034963
